nsn,address,items_with_price,lat,lon
1199,"800 W NORTHERN LIGHTS, ANCHORAGE, AK, 99503-3713",409,61.194617,-149.898632
1657,"5716 DEBARR RD, ANCHORAGE, AK, 99504-2306",403,61.209323,-149.775045
2155,"1930 AIRPORT WAY, FAIRBANKS, AK, 99701-4092",447,64.837255,-147.759486
4820,"2601 TUDOR RD, ANCHORAGE, AK, 99503-1133",399,61.18132,-149.832403
5964,"11808 OLD GLENN HWY, EAGLE RIVER, AK, 99577-7797",395,61.327018,-149.571341
6123,"2285 TROUT ST, JUNEAU, AK, 99801-8036",412,58.364486,-134.576119
6723,"44420 STERLING HWY, SOLDOTNA, AK, 99669",424,60.483175,-151.070798
7049,"801 E PARKS HWY, WASILLA, AK, 99654-8105",391,61.581584,-149.430913
7148,"209 THORSHEIM AVE, KODIAK, AK, 99615-6036",410,57.790773,-152.407014
7153,"1320 HUFFMAN BLVD, ANCHORAGE, AK, 99515-3566",400,61.108265,-149.857891
7468,"2417 TONGASS AVE SUITE 108, KETCHIKAN, AK, 99901",407,55.348905,-131.67241
7548,"3656 BEN WALTERS LN, HOMER, AK, 99603-7702",420,59.642583,-151.522907
7601,"701 E 36TH AVE, ANCHORAGE, AK, 99503-4141",402,61.188539,-149.870531
7602,"3828 DIMOND BLVD, ANCHORAGE, AK, 99515-1211",412,61.137134,-149.950886
7943,"600 DARON DR, PALMER, AK, 99645-6522",387,61.598982,-149.12364
7953,"3006 MOUNTAIN VIEW DR, ANCHORAGE, AK, 99501-3105",405,61.219374,-149.823563
7972,"913 HALIBUT POINT RD, SITKA, AK, 99835-7105",0,57.060111,-135.349288
8007,"352 N SANTA CLAUS LN, NORTH POLE, AK, 99705-6053",447,64.75782,-147.350925
8015,"10447 SPUR HWY, KENAI, AK, 99611-7812",420,60.559768,-151.235642
11173,"3905 GEIST RD, FAIRBANKS, AK, 99709-3551",0,64.848734,-147.820013
13355,"4350 SPENARD RD, ANCHORAGE, AK, 99517",385,61.181581,-149.937022
13378,"255 MULDOON RD, ANCHORAGE, AK, 99504",384,61.221444,-149.732514
14195,"3101 A ST (W*M #2070), ANCHORAGE, AK, 99503",0,61.192778,-149.880636
14196,"8900 OLD SEWARD HWY (W*M #2071), ANCHORAGE, AK, 99515",0,61.140175,-149.868903
18138,"3035 MULDOON RD, ANCHORAGE, AK, 99504",397,61.192947,-149.732712
18691,"9100 LAKE OTIS PKY, ANCHORAGE, AK, 99507",402,61.138219,-149.835083
25845,"1350 S SEWARD MERIDIAN (WALMART #2074), WASILLA, AK, 99654",0,61.568752,-149.363649
27354,"8915 OLD SEWARD HWY, ANCHORAGE, AK, 99515",406,61.139912,-149.863216
31791,"449 HAROLD BENTLEY AVE, FAIRBANKS, AK, 99701",447,64.859406,-147.696844
33728,"5000 W INTERNATIONAL AIRPORT RD, ANCHORAGE, AK, 99502",428,61.173637,-149.981801
35221,"1166 NORTH MULDOON ROAD/GLENN HWY, ANCHORAGE, AK, 99504",397,61.229837,-149.736869
