nsn,address,items_with_price,lat,lon
1034,"3310 E 22ND ST, TUCSON, AZ, 85713-2352",444,32.206701,-110.921247
1035,"1711 E SPEEDWAY BLVD, TUCSON, AZ, 85719-4514",438,32.235672,-110.944557
1092,"4430 E THOMAS, PHOENIX, AZ, 85018-7608",407,33.480701,-111.985696
1158,"2305 W BETHANY HOME RD, PHOENIX, AZ, 85015-1825",402,33.5237,-112.108586
1258,"2427 W THOMAS RD, PHOENIX, AZ, 85015-5941",403,33.480186,-112.110857
1403,"3323 NORTH 24TH STREET, PHOENIX, AZ, 85016-7317",436,33.486675,-112.029725
1440,"4401 W GLENDALE AVE, GLENDALE, AZ, 85301-2804",400,33.538086,-112.153843
2210,"2560 S 4TH AVE, YUMA, AZ, 85364-7221",439,32.680607,-114.625204
2397,"4495 N ORACLE RD, TUCSON, AZ, 85705-1635",435,32.287983,-110.978619
2531,"10230 NORTH 32ND STREET, PHOENIX, AZ, 85028-3823",394,33.579988,-112.013564
2638,"1802 FRY BLVD, SIERRA VISTA, AZ, 85635-2703",412,31.554329,-110.278522
2640,"1401 S MILTON RD, FLAGSTAFF, AZ, 86001-6308",432,35.186842,-111.662048
2709,"6762 WEST CAMELBACK ROAD, GLENDALE, AZ, 85303",419,33.509595,-112.205097
2771,"2130 W SOUTHERN AVE., MESA, AZ, 85202",426,33.393416,-111.877947
2967,"3264 E ANDY DEVINE, KINGMAN, AZ, 86401-3702",381,35.218357,-114.007267
3250,"5144 S RURAL RD, TEMPE, AZ, 85282-7045",0,33.378739,-111.930185
3326,"8849 N 7TH ST, PHOENIX, AZ, 85020-2910",388,33.565782,-112.06471
3510,"8220 W INDIAN SCHOOL RD, PHOENIX, AZ, 85033-2905",478,33.4947,-112.23736
3570,"1325 W BROADWAY, TEMPE, AZ, 85282-1212",404,33.407133,-111.958688
3571,"750 WEST CAMELBACK ROAD, PHOENIX, AZ, 85013-2207",411,33.509799,-112.084833
3610,"3232 N CAMPBELL AVE, TUCSON, AZ, 85719-2305",399,32.265743,-110.943329
3811,"252 W CRAWFORD ST, NOGALES, AZ, 85621-3208",411,31.335074,-110.942587
3812,"8001 E INDIAN SCHOOL RD, SCOTTSDALE, AZ, 85257",434,33.494536,-111.908455
3995,"1905 W NORTHERN AVE, PHOENIX, AZ, 85021-5155",400,33.552882,-112.100652
4076,"1608 E ASH, GLOBE, AZ, 85501-1430",396,33.393497,-110.767832
4094,"3455 W PEORIA, PHOENIX, AZ, 85029-4606",476,33.581546,-112.133587
4180,"539 MILLER VALLEY RD, PRESCOTT, AZ, 86301-2313",428,34.550335,-112.47837
4440,"1830 THATCHER BLVD, SAFFORD, AZ, 85546",400,32.835591,-109.730418
4441,"5750 W THOMAS, PHOENIX, AZ, 85031-3227",484,33.48093,-112.184268
4442,"7369 VIA PASEO DEL SUR, SCOTTSDALE, AZ, 85257",0,33.544205,-111.905295
4497,"1851 WEST BELL ROAD, PHOENIX, AZ, 85023-3415",436,33.639804,-112.099237
4518,"4302 W THUNDERBIRD, GLENDALE, AZ, 85306-5027",483,33.61119,-112.151727
4560,"1249 E FLORENCE BLVD, CASA GRANDE, AZ, 85222-4224",391,32.878968,-111.733742
4699,"4505 E CACTUS RD, PHOENIX, AZ, 85032-7701",376,33.599341,-111.984418
4909,"3255 S 48TH ST, TEMPE, AZ, 85282-3148",408,33.393262,-111.977738
5077,"US HWY 180 PO BOX 3026, TUSAYAN, AZ, 86023-3026",400,35.972081,-112.126397
5239,"6102 E BROADWAY BLVD, TUCSON, AZ, 85711",399,32.222043,-110.861986
5346,"1105 REX ALLEN DR, WILLCOX, AZ, 85643-1013",414,32.264716,-109.841108
5455,"220 N 35TH AVE, PHOENIX, AZ, 85009-4726",416,33.450994,-112.135001
5481,"540 W VALENCIA RD, TUCSON, AZ, 85706",399,32.134452,-110.976964
5526,"100 SWANSON AVE, LAKE HAVASU CITY, AZ, 86403",382,34.470848,-114.343369
5554,"2001 N COUNTRY CLUB, MESA, AZ, 85201-1204",436,33.452086,-111.83927
5589,"870 N DYSART, GOODYEAR, AZ, 85338-1111",408,33.456021,-112.341737
5600,"1617 E NAVAJO BLVD, HOLBROOK, AZ, 86047",396,34.918743,-110.15184
5740,"4930 N HWY 89, FLAGSTAFF, AZ, 86001",418,35.226609,-111.579683
5783,"107 E HWY 260, PAYSON, AZ, 85541-4926",399,34.240227,-111.322383
5851,"1195 E 16TH ST, YUMA, AZ, 85364",421,32.697885,-114.609279
6044,"3830 W INA RD, TUCSON, AZ, 85741-2240",436,32.33806,-111.048392
6045,"225 WHITE MOUNTAIN ROAD, SHOW LOW, AZ, 85901",394,34.251651,-110.028136
6085,"2447 E BELL RD, PHOENIX, AZ, 85032-2411",381,33.640193,-112.028928
6217,"370 E WICKENBURG WAY, WICKENBURG, AZ, 85390",386,33.972116,-112.725169
6260,"5640 N SWAN, TUCSON, AZ, 85718-4525",399,32.309478,-110.892167
6329,"2665 S ALMA SCHOOL RD, MESA, AZ, 85210-4018",400,33.366258,-111.858603
6410,"125 N. 24TH STREET, PHOENIX, AZ, 85034-1332",422,33.450139,-112.029766
6473,"10823 S 51ST ST, AHWATUKEE, AZ, 85044",0,33.348539,-111.975168
