nsn,address,items_with_price,lat,lon
1181,"2207 E NETTLETON AVE, JONESBORO, AR, 72401-5246",461,35.828059,-90.678235
1263,"7721 CANTRELL RD, LITTLE ROCK, AR, 72207-3321",422,34.773429,-92.360991
1330,"4800 TOWSON AVENUE, FORT SMITH, AR, 72901-8424",513,35.337729,-94.423032
1363,"1641 N COLLEGE AVE, FAYETTEVILLE, AR, 72701",425,36.083752,-94.1563
1803,"816 W MAIN ST, JACKSONVILLE, AR, 72076",425,34.867505,-92.117966
2738,"1800 MISSOURI AVE, WEST MEMPHIS, AR, 72301-1750",452,35.165846,-90.18497
2769,"3229 CENTRAL AVE, HOT SPRINGS, AR, 71901",414,34.47717,-93.059372
2810,"1730 NORTHWEST AVE, EL DORADO, AR, 71730-3867",417,33.23054,-92.666188
2872,"220 E. OAK ST, CONWAY, AR, 72032-4683",415,35.092114,-92.426541
2900,"10201 RODNEY PARHAM RD, LITTLE ROCK, AR, 72207-4821",402,34.766297,-92.38769
3150,"1031 EAST MAIN STREET, BLYTHEVILLE, AR, 72315-9802",434,35.92825,-89.882036
3385,"520 S THOMPSON, SPRINGDALE, AR, 72764",426,36.18034,-94.139369
3539,"1023 MILITARY ROAD, BENTON, AR, 72015",407,34.573032,-92.58046
3560,"4008 MCCAIN, NORTH LITTLE ROCK, AR, 72116",421,34.789757,-92.226858
3700,"903 W WALNUT, ROGERS, AR, 72756-3539",426,36.334008,-94.1273
3963,"1214 ALBERT PIKE HWY, HOT SPRINGS, AR, 71901",413,34.493622,-93.082414
4146,"2301 N WASHINGTON ST, FORREST CITY, AR, 72335-1800",448,35.030997,-90.790151
4173,"5821 ROGERS AVENUE, FORT SMITH, AR, 72901",465,35.361043,-94.366842
4330,"600 E BROADWAY, NORTH LITTLE ROCK, AR, 72114-5712",418,34.755694,-92.261381
4516,"1122 NORTH ARKANSAS AVENUE, RUSSELLVILLE, AR, 72801-2938",418,35.28939,-93.1329
4569,"1314 N MAIN, HARRISON, AR, 72601",453,36.245126,-93.116853
4921,"145 VALLEY STREET, CADDO VALLEY, AR, 71923",441,34.182675,-93.071226
5283,"801 W KEISER ST, OSCEOLA, AR, 72370-3507",0,35.697433,-89.979433
5430,"201 S WALTON BLVD, BENTONVILLE, AR, 72712-5701",426,36.37141,-94.220936
5440,"8400 WARDEN RD, SHERWOOD, AR, 72120",430,34.83063,-92.182416
5712,"1019 HWY 62E, MOUNTAIN HOME, AR, 72653-3215",423,36.350432,-92.369582
5786,"1290 STHY 4 SPUR, CAMDEN, AR, 71701",0,33.573669,-92.854428
5864,"1601 N HERVEY, HOPE, AR, 71801",450,33.680367,-93.605773
5937,"1400 US HWY 412, SILOAM SPRINGS, AR, 72761",0,36.175706,-94.556062
6230,"202 E 22ND ST, STUTTGART, AR, 72160-6725",0,34.478873,-91.551445
6286,"1127 E MAIN ST, MAGNOLIA, AR, 71753-3712",454,33.267182,-93.22478
6436,"1805 N BUSINESS 9, MORRILTON, AR, 72110-4509",443,35.170448,-92.719423
6663,"2300 MALCOLM AVE, NEWPORT, AR, 72112-3670",0,35.605617,-91.252552
6667,"1470 N. FALLS BLVD., WYNNE, AR, 72396-1624",0,35.234692,-90.784024
6786,"7101 JOHN F KENNEDY BLVD, NORTH LITTLE ROCK, AR, 72118",422,34.820289,-92.234866
6823,"1232 S ROGERS AVE, CLARKSVILLE, AR, 72830-9159",447,35.454728,-93.465646
7159,"800 HWY 67 N, WALNUT RIDGE, AR, 72476",0,36.079154,-90.955892
7191,"111 E. HIGHLAND, JONESBORO, AR, 72401-5917",459,35.821111,-90.704841
7251,"1611 HWY 25B, HEBER SPRINGS, AR, 72543",458,35.508236,-92.028692
7523,"307 E PAGE ST, MALVERN, AR, 72104-4247",449,34.362968,-92.809556
7585,"1260 CONSTITUTION AVE, ASHDOWN, AR, 71822",430,33.659338,-94.116154
7721,"201 N MISSOURI AVE, CORNING, AR, 72422",438,36.412968,-90.586709
7741,"2400 OLD JACKSONVILLE HWY, NORTH LITTLE ROCK, AR, 72117",413,34.775928,-92.199504
7761,"1504 HWY 67 S, POCAHONTAS, AR, 72455-4001",459,36.250891,-90.961388
7851,"4422 CAMP ROBINSON RD, NORTH LITTLE ROCK, AR, 72118-3602",415,34.795252,-92.270764
8045,"701 BROADWAY, LITTLE ROCK, AR, 72201-4121",0,34.742538,-92.276088
10109,"11500 W MARKHAM RD, LITTLE ROCK, AR, 72211-2702",400,34.75434,-92.403635
10114,"2908 E HARDING, PINE BLUFF, AR, 71601-6853",428,34.20846,-91.971425
10146,"148 E VAN BUREN, EUREKA SPRINGS, AR, 72632",454,36.391258,-93.737883
10180,"601 HWY 65 S, DUMAS, AR, 71639",423,33.879802,-91.482183
10201,"1512 S. 4TH STREET, NASHVILLE, AR, 71852-3011",478,33.929749,-93.851639
10298,"709 HWY 71 & 88 N, MENA, AR, 71953",503,34.586199,-94.223873
10513,"711 E 7TH ST, TEXARKANA, AR, 71854-5328",430,33.430554,-94.037144
10526,"1001 W MAIN ST, CABOT, AR, 72023",448,34.975723,-92.025986
10667,"450 HWY 65 N, CONWAY, AR, 72032-3507",419,35.112868,-92.431436
10753,"247 HIGHWAY 71, ALMA, AR, 72921-3204",457,35.486987,-94.22663
10810,"606 E COLLIN RAYE DR, DE QUEEN, AR, 71832-4138",478,34.045103,-94.331546
10849,"3901 PETRO RD, WEST MEMPHIS, AR, 72301-3754",450,35.153138,-90.136709
10900,"20605 HWY 365, NORTH LITTLE ROCK, AR, 72113-9108",423,34.883732,-92.383246
10937,"1963 W MLK BLVD, FAYETTEVILLE, AR, 72701-6212",425,36.055758,-94.188235
11061,"4600 W SUNSET, SPRINGDALE, AR, 72764",425,36.175804,-94.181461
11164,"2214 N REYNOLDS, BRYANT, AR, 72022",408,34.616007,-92.497733
11165,"107 S BLAKE ST, PINE BLUFF, AR, 71601-3537",427,34.2299,-92.042696
11417,"2030 N 1ST ST, JACKSONVILLE, AR, 72076-2845",428,34.884878,-92.10665
11594,"2221 GRAND AVE, FORT SMITH, AR, 72901",456,35.386404,-94.403621
12099,"JUNCTION HWY 62 & 63, HARDY, AR, 72542",425,36.317943,-91.486663
12243,"3515 E RACE ST, SEARCY, AR, 72143-6202",438,35.249784,-91.686025
12405,"1910 E JOHNSON AVE, JONESBORO, AR, 72401",455,35.845948,-90.681243
12413,"2415 W CENTER ST  (OIL), BEEBE, AR, 72012",439,35.068506,-91.911796
12517,"1834 HWY 31 N, LONOKE, AR, 72086",422,34.8067,-91.887696
12619,"HIGHWAY 65 N, CLINTON, AR, 72031",455,35.595446,-92.457402
12627,"1260 E ROBINSON AVE, SPRINGDALE, AR, 72764",426,36.167355,-94.118015
12991,"8820 BASELINE RD, LITTLE ROCK, AR, 72209",401,34.670564,-92.376906
13114,"HWY 62 W, BERRYVILLE, AR, 72616",438,36.378522,-93.587411
13261,"203 W HUDSON RD, ROGERS, AR, 72756",427,36.355616,-94.11696
13440,"578 E JOYCE BLVD, FAYETTEVILLE, AR, 72703",426,36.124199,-94.149307
14057,"1815 E HIGHLAND DR (W*M #45), JONESBORO, AR, 72401",0,35.819508,-90.685145
14653,"406 S WALTON (W*M #100), BENTONVILLE, AR, 72712",0,36.368142,-94.224468
14699,"HWY 62- 412 (W*M #160), ASH FLAT, AR, 72513",357,36.241092,-91.596029
15491,"2875 W 6TH ST (W*M #144), FAYETTEVILLE, AR, 72701",0,36.05053,-94.201044
15757,"923 WEST CENTER STREET, GREENWOOD, AR, 72936",522,35.217138,-94.271876
15957,"HWY 79 & UPTON RD (WALMART #0339), FORDYCE, AR, 71742",0,33.820684,-92.435655
15989,"600 S MAIN ST, SEARCY, AR, 72143",444,35.243316,-91.735798
16174,"3610 CAMDEN RD, PINE BLUFF, AR, 71603",427,34.192962,-92.061183
16196,"8311 ROGERS AVENUE, FORT SMITH, AR, 72903",502,35.347747,-94.338716
16503,"325 S MARTIN ST., WARREN, AR, 71671-2898",425,33.610249,-92.071248
17711,"1903 FAYETTEVILLE RD, VAN BUREN, AR, 72956",455,35.46458,-94.356916
17892,"100 N 46TH ST, ROGERS, AR, 72756",425,36.335575,-94.181253
17935,"81 SR 331, RUSSELLVILLE, AR, 72801",415,35.278718,-93.093229
18377,"3114 PINE ST, ARKADELPHIA, AR, 71923",449,34.118508,-93.095407
18378,"55 S BROADVIEW, GREENBRIER, AR, 72058",451,35.228663,-92.388608
18622,"503 W MONROE, LOWELL, AR, 72745",425,36.253881,-94.146076
18761,"9200 HWY 71 S, FORT SMITH, AR, 72908",518,35.295966,-94.388088
18891,"1870 N CROSSOVER RD, FAYETTEVILLE, AR, 72701",425,36.086298,-94.120819
19519,"2802 W KINGS HWY (WALMART #0036), PARAGOULD, AR, 72450",0,36.057774,-90.522891
20236,"3440 & I-55 SERVICE ROAD, MARION, AR, 72364",436,35.213227,-90.206069
20237,"208 HESTER PARKER DR, MARKED TREE, AR, 72365",450,35.528519,-90.431867
21364,"4111 S UNIVERSITY AVE, LITTLE ROCK, AR, 72204",411,34.714205,-92.341995
21605,"4395 CENTRAL AVE, HOT SPRINGS, AR, 71913",410,34.451791,-93.073727
22039,"1014 HIGHWAY 65, LAKE VILLAGE, AR, 71653",431,33.323551,-91.292575
22041,"1401 PHYLLIS ST, BENTONVILLE, AR, 72712",427,36.35567,-94.179787
22458,"7403 HWY 62 W, GASSVILLE, AR, 72634",422,36.288062,-92.480538
23020,"34 HWY 71 BYPASS NORTH, WALDRON, AR, 72958",594,34.904332,-94.108053
23327,"3715 HWY 367 N, BALD KNOB, AR, 72010",439,35.317881,-91.562448
23781,"3080 W WEDINGTON DR, FAYETTEVILLE, AR, 72704",427,36.079085,-94.203367
24035,"8710 FOURCHE DAM PIKE, LITTLE ROCK, AR, 72206",421,34.717661,-92.189846
24053,"369 HWY 425 NORTH, MONTICELLO, AR, 71655",425,33.635582,-91.802215
24221,"501 S TIMBERLANE, EL DORADO, AR, 71730",418,33.207403,-92.68698
24480,"1220 S SAINT LOUIS, BATESVILLE, AR, 72501",461,35.767181,-91.641699
24499,"611 UNION STREET, DARDANELLE, AR, 72834",414,35.219805,-93.163842
25635,"3195 BILL FOSTER MEMORIAL HIGHWAY, CABOT, AR, 72023",437,34.946323,-92.062271
25636,"1820 HWY 64 W (STO), EL PASO, AR, 72045",0,35.109982,-92.088834
25722,"207 W MAIN ST, FARMINGTON, AR, 72730",426,36.04092,-94.249785
25757,"11001 MAUMELLE BLVD, NORTH LITTLE ROCK, AR, 72113",422,34.82588,-92.383288
25829,"7200 W 12TH ST, LITTLE ROCK, AR, 72205",421,34.742447,-92.355156
25939,"2230 N 3RD ST, OZARK, AR, 72949",454,35.511391,-93.82092
26195,"3703 S DIVISION ST, BLYTHEVILLE, AR, 72315",0,35.888843,-89.917805
26624,"1202 N CHURCH STREET  (STO), ATKINS, AR, 72823",438,35.254738,-92.936737
26633,"3101 ALBERT PIKE RD, HOT SPRINGS, AR, 71913",416,34.502945,-93.126266
26698,"8012 SHERIDAN RD, WHITE HALL, AR, 71602",424,34.259646,-92.100741
26869,"110 EAST MAIN STREET, BOONEVILLE, AR, 72927-3735",517,35.139677,-93.919926
26966,"1407 W KINGS HWY, PARAGOULD, AR, 72450",455,36.053247,-90.504546
27418,"4610 W KINGSHWY, PARAGOULD, AR, 72450",0,36.059562,-90.547295
27964,"200 E GRAND AVENUE, HOT SPRINGS, AR, 71901",412,34.503649,-93.046972
28810,"2004 S PLEASANT (W*M #54), SPRINGDALE, AR, 72762",0,36.166202,-94.146317
28815,"2901 HWY 412 E (W*M #4), SILOAM SPRINGS, AR, 72761-8673",0,36.183175,-94.512615
28860,"5501 S. OLIVE STREET (W*M #3331), PINE BLUFF, AR, 71603",0,34.181407,-92.006562
29008,"1212 S ROCK, SHERIDAN, AR, 72150",422,34.291321,-92.398351
29290,"1920 MARTIN LUTHER KING BLVD., MALVERN, AR, 72104",452,34.392582,-92.829836
29430,"2425 S ZERO ST (W*M #125), FORT SMITH, AR, 72901",0,35.329128,-94.407037
29917,"705 SALEM ROAD, CONWAY, AR, 72034",419,35.087651,-92.472137
30299,"65 WAL-MART DRIVE (W*M #11), MOUNTAIN HOME, AR, 72653",0,36.355355,-92.340768
30437,"2000 JOHN HARDEN DR (W*M #24), JACKSONVILLE, AR, 72076",0,34.884089,-92.110011
30459,"8011 GEYER SPRINGS ROAD, LITTLE ROCK, AR, 72209",405,34.676922,-92.343372
30525,"843 N. SEBASTIAN, WEST HELENA, AR, 72390",437,34.554059,-90.659142
30902,"4208 PLEASANT CROSSING BLVD., ROGERS, AR, 72745",0,36.279465,-94.151523
30928,"19301 CANTRELL ROAD, LITTLE ROCK, AR, 72223",0,34.788716,-92.391812
31118,"101 E.  CENTERTON BLVD., CENTERTON, AR, 72719",425,36.358063,-94.284473
31320,"2409 E.MAIN STREET, RUSSELLVILLE, AR, 72801",0,35.276816,-93.096727
31339,"105 UNITY ROAD, CROSSETT, AR, 71635",429,33.136602,-91.95294
31353,"304 S ROCKWOOD, CABOT, AR, 72023",0,34.977621,-92.040018
31354,"1200 W. WILSON, SUITE 2, FAYETTEVILLE, AR, 72701",425,35.997794,-94.197758
31708,"203 N CURTIS AVE, PEA RIDGE, AR, 72751",425,36.443718,-94.116543
32165,"1713 AIRPORT ROAD, HOT SPRINGS, AR, 71913",412,34.4652,-93.143729
32170,"20726 INTERSTATE 30, BENTON, AR, 72019",407,34.606875,-92.533029
32191,"2819 S.OLIVE ST., PINE BLUFF, AR, 71603",420,34.1994,-92.00645
32295,"3805 US 71 HIGHWAY, BENTONVILLE, AR, 72758",425,36.42101,-94.223772
32312,"9053 HWY 107, SHERWOOD, AR, 72120",0,34.8328,-92.2191
32461,"3010 ALMA HIGHWAY, VAN BUREN, AR, 72956",460,35.443271,-94.325416
32556,"10501 STAGECOACH RD, LITTLE ROCK, AR, 72210",407,34.655439,-92.42579
32861,"2601 PLEASANT CROSSING DR., ROGERS, AR, 72758",425,36.282924,-94.152216
32901,"1440 DAVE WARD DRIVE, CONWAY, AR, 72034",419,35.067041,-92.441458
32918,"1089 E. HENRI DE TONTI BLVD., TONTITOWN, AR, 72770",425,36.175515,-94.217104
33009,"12001 MAUMELLE BLVD, NORTH LITTLE ROCK, AR, 72113",0,34.832003,-92.394574
33169,"4720 HWY 67(STO), BENTON, AR, 72015",408,34.542783,-92.632574
33300,"805 SW REGIONAL AIRPORT BLVD., BENTONVILLE, AR, 72712",425,36.33543,-94.22213
33380,"500 INDUSTRIAL DRIVE, TRUMANN, AR, 72472",450,35.679034,-90.550041
33471,"5712 KELLEY HWY., FORT SMITH, AR, 72904",460,35.403189,-94.368178
