nsn,address,items_with_price,lat,lon
37,"3115  N BLACKSTONE AVE, FRESNO, CA, 93703-1017",420,36.778893,-119.790847
38,"18761 SHERMAN WAY, RESEDA, CA, 91335-4018",400,34.201477,-118.542305
39,"6904 LA TIJERA BLVD., LOS ANGELES, CA, 90045-1954",415,33.975582,-118.373344
47,"5425 FRUITRIDGE ROAD, SACRAMENTO, CA, 95820-5508",458,38.525289,-121.441728
52,"12542 HARBOR BLVD, GARDEN GROVE, CA, 92840-5803",413,33.780876,-117.914421
342,"1203 ARTESIA BLVD., MANHATTAN BEACH, CA, 90266-6904",404,33.873142,-118.393692
353,"2457 LINCOLN BLVD, VENICE, CA, 90291-5040",420,33.992996,-118.451073
380,"522 EL CAMINO REAL, BELMONT, CA, 94002-2121",387,37.524906,-122.281845
416,"185 CHESTNUT ST, REDWOOD CITY, CA, 94063-2105",391,37.479259,-122.224258
437,"1452 W CARSON ST, TORRANCE, CA, 90501-3920",406,33.831196,-118.303329
460,"606 N TUSTIN AVE, ORANGE, CA, 92867",429,33.796955,-117.836197
476,"2707 E CARSON ST, LAKEWOOD, CA, 90712",412,33.832909,-118.159531
483,"2411 WEST BALL ROAD, ANAHEIM, CA, 92804-5210",380,33.817852,-117.96846
486,"14024 OSBORNE ST, ARLETA, CA, 91331-6025",408,34.233231,-118.437851
513,"119 WEST BALL ROAD, ANAHEIM, CA, 92805-6045",379,33.818447,-117.909157
520,"90 E SAN CARLOS ST, SAN JOSE, CA, 95112-3607",0,37.332121,-121.885145
524,"1127 NORTH SAN FERNANDO BLVD, BURBANK, CA, 91504",411,34.188576,-118.319695
534,"5019 TORRANCE BLVD, TORRANCE, CA, 90503-4115",418,33.837914,-118.367485
540,"2020 W BEVERLY BLVD, MONTEBELLO, CA, 90640-3939",423,34.020676,-118.121056
552,"16908 PARTHENIA ST, NORTH HILLS, CA, 91343-4506",377,34.228283,-118.500664
561,"801 E WHITTIER BLVD, LA HABRA, CA, 90631-3932",419,33.939461,-117.937729
572,"1747 WEST EL SEGUNDO BLVD., GARDENA, CA, 90249-2011",473,33.916763,-118.308289
578,"303 SOUTH GAFFEY STREET, SAN PEDRO, CA, 90732",421,33.741211,-118.292656
593,"1701 WEST OLIVE AVENUE, BURBANK, CA, 91506-2433",403,34.167419,-118.323448
599,"9309 SLAUSON AVE, PICO RIVERA, CA, 90660-4525",407,33.969341,-118.09845
603,"1435 S WINCHESTER BLVD, SAN JOSE, CA, 95128-4331",427,37.298073,-121.950347
605,"7045 VAN NUYS BLVD, VAN NUYS, CA, 91405",420,34.198868,-118.44915
616,"9852 WESTMINSTER AVENUE, GARDEN GROVE, CA, 92844-2907",411,33.759178,-117.957336
620,"1169 W EL CAMINO REAL, SUNNYVALE, CA, 94087-1026",0,37.373863,-122.05484
623,"1146 E VALLEY PKY, ESCONDIDO, CA, 92025",408,33.130364,-117.067956
625,"2200 N GAREY ST, POMONA, CA, 91767-2331",431,34.088161,-117.749825
632,"1365 BLOSSOM HILL RD, SAN JOSE, CA, 95118-3804",412,37.245586,-121.888138
633,"12256 PARAMOUNT BLVD, DOWNEY, CA, 90242-3549",407,33.928738,-118.147865
634,"230 E PACIFIC COAST HWY, WILMINGTON, CA, 90744-2615",404,33.791004,-118.260895
654,"1150 S DE ANZA BLVD., SAN JOSE, CA, 95129-3629",482,37.303898,-122.031822
658,"1728 LOMITA BLVD, LOMITA, CA, 90717",404,33.797634,-118.308525
661,"2985 FREEPORT BLVD, SACRAMENTO, CA, 95818-3842",528,38.550532,-121.488576
682,"1830 NORTH HACIENDA BLVD., LA PUENTE, CA, 91744-1141",450,34.051022,-117.942711
685,"832 NORTH MOUNTAIN AVENUE, ONTARIO, CA, 91762-2546",454,34.07333,-117.669632
688,"5008 AUBURN BLVD, SACRAMENTO, CA, 95841-2621",504,38.659893,-121.347345
690,"840 E ALISAL ST, SALINAS, CA, 93901-2606",396,36.67286,-121.629259
713,"4121 MARCONI AVE, SACRAMENTO, CA, 95821-4213",424,38.617889,-121.367011
724,"5980 TELEGRAPH RD, VENTURA, CA, 93003-4300",403,34.277855,-119.213669
