nsn,address,items_with_price,lat,lon
109,"1800 28TH STREET, BOULDER, CO, 80301",482,40.019257,-105.257711
147,"207 NORTH WAHSATCH, COLORADO SPRINGS, CO, 80903-3408",418,38.836886,-104.817363
181,"2440 8TH AVE, GREELEY, CO, 80631-7035",416,40.398691,-104.690574
190,"2401 S COLLEGE AVE, FORT COLLINS, CO, 80525-1725",405,40.556045,-105.077633
219,"11025 E COLFAX AVE, AURORA, CO, 80010-2502",420,39.740594,-104.859771
232,"1905 S FEDERAL BLVD, DENVER, CO, 80219-5509",487,39.681991,-105.025599
405,"800 W 6TH ST, PUEBLO, CO, 81002",425,38.272161,-104.618195
422,"599 WEST 104TH AVE., NORTHGLENN, CO, 80234-4002",429,39.885781,-104.994653
434,"505 EAST COLFAX AVENUE, DENVER, CO, 80203-2017",446,39.740544,-104.980848
875,"1244 N ACADEMY BLVD, COLORADO SPRINGS, CO, 80909-4422",478,38.850752,-104.757837
1053,"2920 BASELINE RD, BOULDER, CO, 80303-2314",470,39.999461,-105.255144
1079,"7075 EAST HAMPDEN AVENUE, DENVER, CO, 80224-3032",438,39.653472,-104.906839
2205,"4801 NORTH ACADEMY BLVD., COLORADO SPRINGS, CO, 80918",471,38.902058,-104.768183
2580,"8001 WADSWORTH BLVD, ARVADA, CO, 80005",409,39.842248,-105.082611
2594,"711 HWY 50 W, PUEBLO, CO, 81008-1603",380,38.308589,-104.617409
2668,"3320 W 38TH AVE, DENVER, CO, 80211-1910",428,39.769114,-105.030666
2742,"1900 NORTH MAIN STREET, LONGMONT, CO, 80501-1914",407,40.192544,-105.101713
2751,"5880 LEETSDALE DRIVE, DENVER, CO, 80224-1223",432,39.7062,-104.920349
2878,"8700 N WASHINGTON, THORNTON, CO, 80229-4712",431,39.854613,-104.977477
2956,"1809 WEST EISENHOWER ROAD, LOVELAND, CO, 80537-3132",468,40.407597,-105.101814
2980,"5550 W DARTMOUTH AVE, DENVER, CO, 80227-5504",436,39.655341,-105.055381
3099,"2912 W 10TH ST, GREELEY, CO, 80634-5427",408,40.422443,-104.72766
3277,"3350 COLORADO BLVD, DENVER, CO, 80205-3810",442,39.763696,-104.940086
3319,"4475 PEORIA STREET, DENVER, CO, 80239-4817",466,39.776985,-104.847468
3898,"1250 W ELIZABETH ST, FORT COLLINS, CO, 80525-4509",411,40.575058,-105.100002
4032,"4020 WEST COLFAX, DENVER, CO, 80204-1462",430,39.740108,-105.039751
4126,"324 E FILLMORE ST, COLORADO SPRINGS, CO, 80907-6368",418,38.874631,-104.815928
4226,"214 W MAIN ST, STERLING, CO, 80751-3143",412,40.625672,-103.214002
4264,"2171 N. FRONTAGE RD, WEST, VAIL, CO, 81657-4957",469,39.63006,-106.4192
4267,"200 16TH ST, DENVER, CO, 80202-5101",0,39.741792,-104.988084
4319,"595 HWY 287, BROOMFIELD, CO, 80020-1731",446,39.923566,-105.091329
4553,"6686 SOUTH YOSEMITE COURT, ENGLEWOOD, CO, 80110",466,39.59578,-104.886779
4690,"1080 WEST VICTORY WAY, CRAIG, CO, 81625-2940",480,40.513739,-107.560678
4741,"1035 MAIN ST, MONTROSE, CO, 81401-4041",462,38.484549,-107.869967
4754,"2305 FREMONT DR, CANON CITY, CO, 81212",426,38.448554,-105.213898
4771,"201 W 6TH ST, DURANGO, CO, 81301-5464",397,37.270055,-107.883028
5066,"6650 W COAL MINE RD, LITTLETON, CO, 80123-4572",0,39.594805,-105.06984
5067,"390 S 8TH ST, COLORADO SPRINGS, CO, 80906",468,38.828556,-104.841348
5234,"220 SUMMIT PL, SILVERTHORNE, CO, 80498",468,39.62719,-106.064531
5274,"1322 E. MAIN ST., CORTEZ, CO, 81321-2914",405,37.349253,-108.567972
5369,"895 KUNER RD, BRIGHTON, CO, 80601-2857",418,39.972759,-104.828131
5560,"16891 E ILIFF, AURORA, CO, 80013-1136",419,39.674167,-104.791611
5562,"6050 PARKWAY DRIVE, COMMERCE CITY, CO, 80022-3250",398,39.806484,-104.929661
5575,"245 SOUTH MAIN, LONGMONT, CO, 80501-6423",414,40.153523,-105.103179
5767,"27680 HWY 50 FRONTAGE ROAD, LA JUNTA, CO, 81050-9717",396,37.991418,-103.570852
5818,"9190 NORTH FEDERAL BLVD., FEDERAL HEIGHTS, CO, 80221-5835",430,39.86314,-105.024602
5819,"6300 SOUTH BROADWAY, LITTLETON, CO, 80120",486,39.602029,-104.987548
5925,"100 CRAFT DR, ALAMOSA, CO, 81101-2272",399,37.475398,-105.893806
5966,"612 W NORTHERN AVE, PUEBLO, CO, 81008",416,38.244007,-104.618193
6009,"630 WEST HAMPDEN AVENUE, ENGLEWOOD, CO, 80110-2114",486,39.652873,-104.995481
6010,"17500 S. GOLDEN ROAD, GOLDEN, CO, 80401-2694",434,39.739444,-105.197302
6047,"9995 WADSWORTH, WESTMINSTER, CO, 80020",426,39.877259,-105.096394
6084,"3994 EAST 120TH, THORNTON, CO, 80233",431,39.913422,-104.940945
6149,"8120 VOYAGER PARKWAY, COLORADO SPRINGS, CO, 80918",412,38.949742,-104.802986
6315,"800 E TOMICHI, GUNNISON, CO, 81230-2065",462,38.544872,-106.917466
