nsn,address,items_with_price,lat,lon
148,"2375 BERLIN TPKE, NEWINGTON, CT, 6111",430,41.687704,-72.708146
180,"4219 MAIN ST, BRIDGEPORT, CT, 6606",424,41.217571,-73.215118
201,"57 BOSTON POST ROAD, ORANGE, CT, 06477-3237",412,41.27862,-72.987816
301,"646 FARMINGTON AVE, BRISTOL, CT, 06010-3911",471,41.690398,-72.922442
621,"914 WASHINGTON ST, MIDDLETOWN, CT, 06457-2907",453,41.554654,-72.683104
627,"675 QUEEN ST, SOUTHINGTON, CT, 6489",501,41.635104,-72.872751
683,"45 THOMASTON AVENUE, WATERBURY, CT, 06708-2951",410,41.558694,-73.053008
739,"783 EAST MAIN STREET, MERIDEN, CT, 06450-6005",484,41.52881,-72.777368
748,"268 WEST PUTNAM AVENUE, GREENWICH, CT, 06830-5242",413,41.024105,-73.635384
820,"439 BRIDGEPORT AVENUE, MILFORD, CT, 06460-4105",412,41.204921,-73.093139
890,"340 MAIN STREET, NORWALK, CT, 6854",426,41.137642,-73.425034
949,"NEWTOWN RD AND RT 6, DANBURY, CT, 6810",419,41.406063,-73.417641
982,"755 LAKEWOOD RD, WATERBURY, CT, 6704",0,41.571744,-73.008595
1026,"129 WASHINGTON AVE, NORTH HAVEN, CT, 6473",474,41.396382,-72.855472
1032,"536 POST RD, FAIRFIELD, CT, 6430",426,41.149143,-73.244774
1086,"89 TALCOTVILLE RD, VERNON, CT, 6066",433,41.828946,-72.496524
1166,"78 TOWN ST, NORWICH, CT, 6360",390,41.547932,-72.094358
1223,"561 LONGHILL RD, GROTON, CT, 6340",452,41.352088,-72.059171
1225,"1464 W MAIN, WILLIMANTIC, CT, 6226",453,41.717094,-72.23407
1240,"22 ALBANY TPKE, SIMSBURY, CT, 6070",467,41.817951,-72.868365
1257,"2915 MAIN ST, GLASTONBURY, CT, 6033",438,41.723,-72.615462
1293,"611 S MAIN, MIDDLETOWN, CT, 6457",453,41.54041,-72.653586
1346,"1061 BOSTON POST RD, OLD SAYBROOK, CT, 6475",421,41.28794,-72.393723
1351,"424 WEST MAIN STREET, BRANFORD, CT, 6450",405,41.280226,-72.84801
1382,"214 PROSPECT AVE, HARTFORD, CT, 6106",453,41.752493,-72.714552
1389,"2439 BARNUM AVE, STRATFORD, CT, 6614",418,41.189678,-73.154495
1438,"412 W MAIN ST, MERIDEN, CT, 6450",476,41.539431,-72.817142
1589,"185 NEW BRITAIN ROAD, BERLIN, CT, 06037-1353",407,41.643612,-72.76957
1603,"48 DANBURY RD, NEW MILFORD, CT, 6776",417,41.567379,-73.414787
1835,"76 BRAINARD ROAD, HARTFORD, CT, 06114-1604",443,41.738644,-72.659332
1913,"726 CONNECTICUT AVE, NORWALK, CT, 6054",421,41.093704,-73.45179
2070,"97 ELM ST, ENFIELD, CT, 6082",440,41.998263,-72.583619
2104,"44 DIVISION ST, DERBY, CT, 6418",475,41.331193,-73.081516
2109,"15 S MAIN ST RTE 44, WINSTED, CT, 6098",439,41.919404,-73.058495
2194,"718 RUBBER AVE, NAUGATUCK, CT, 6770",406,41.492481,-73.079275
2464,"1094 WHALLEY AVE, NEW HAVEN, CT, 6515",467,41.328502,-72.966584
2617,"195 TURNPIKE RD, WINDSOR LOCKS, CT, 6096",434,41.928487,-72.66972
2618,"280 KIMBERLY AVE, NEW HAVEN, CT, 6519",419,41.284976,-72.936379
2714,"1994 SILAS DEANE HWY, ROCKY HILL, CT, 6067",440,41.673532,-72.64572
2873,"538 NORWICH, MONTVILLE, CT, 6382",0,41.440915,-72.106702
2951,"25 BEDFORD STREET, STAMFORD, CT, 06901-1908",426,41.05545,-73.538658
3260,"COOGAN BLVD - ROUTE 27, MYSTIC, CT, 6355",450,41.372042,-71.959625
3345,"1207 EAST PUTNAM AVENUE, RIVERSIDE, CT, 06878-1410",427,41.041808,-73.579461
3353,"100 N MAIN ST, BRISTOL, CT, 6011",0,41.671584,-72.944204
3422,"635 HARTFORD ROAD, NEW BRITAIN, CT, 06053-1526",459,41.715673,-72.762565
3455,"608 N COLONY, WALLINGFORD, CT, 6492",509,41.470375,-72.816777
3534,"564 STRAITS TPKE, WATERTOWN, CT, 6795",405,41.57627,-73.100859
3810,"850 SOUTH MAIN STREET, CHESHIRE, CT, 06410-3417",425,41.481484,-72.904981
4015,"109 SALEM TPKE, NORWICH, CT, 06360-6476",389,41.511551,-72.115151
4054,"1221 TOLLAND TPKE, MANCHESTER, CT, 6040",433,41.797098,-72.556078
4311,"530 REIDVILLE DRIVE, WATERBURY, CT, 06705-2646",411,41.539408,-72.99618
4621,"89 W STAFFORD RD, STAFFORD SPRINGS, CT, 6076",446,41.969567,-72.330545
4623,"118 STORRS RD, MANSFIELD CENTE, CT, 6250",390,41.736077,-72.198295
4960,"321 MAIN ST, TERRYVILLE, CT, 6786",409,41.679227,-73.019948
5311,"693 N MAIN ST, TORRINGTON, CT, 6790",438,41.81441,-73.121959
5370,"1025 MAIN ST, BRIDGEPORT, CT, 6604",0,41.178528,-73.189384
5397,"406 COLEMAN ST, NEW LONDON, CT, 6320",461,41.360428,-72.116538
5512,"108 WEST MAIN STREET, CLINTON, CT, 06413-1625",428,41.277443,-72.538205
5529,"100 MAIN ST - NORTH (RTS 6 & 67), SOUTHBURY, CT, 6488",397,41.478355,-73.211502
5729,"7 MAPLE ST, PLAINVILLE, CT, 6062",0,41.670999,-72.86107
5850,"894 MERIDEN WATERBURY TURNPIKE, PLANTSVILLE, CT, 06479-2010",499,41.562779,-72.87444
5956,"30 SHUNPIKE RD, CROMWELL, CT, 6416",429,41.601279,-72.675764
5988,"225 FOXON BLVD, NEW HAVEN, CT, 6513",422,41.32197,-72.878092
6150,"1376 POST RD TURNPIKE SQUARE, MILFORD, CT, 6460",400,41.240642,-73.034258
6314,"617 BOSTON POST ROAD, GUILFORD, CT, 06437-2711",419,41.289211,-72.668966
6394,"1129 CAMPBELL AVE, WEST HAVEN, CT, 6516",467,41.289525,-72.958359
6452,"250 WHALLEY AVE, NEW HAVEN, CT, 6501",403,41.31564,-72.941321
6744,"308 FERRY ST, NEW HAVEN, CT, 6510",418,41.308258,-72.895628
6826,"2320 DIXWELL AVENUE, HAMDEN, CT, 06514-2106",407,41.373123,-72.917156
6882,"1303 ALBANY AVE, HARTFORD, CT, 6112",438,41.782209,-72.698288
6899,"RT 67 & 255 BANK ST, SEYMOUR, CT, 6483",407,41.39732,-73.081989
6943,"97 RIVER RD, JEWETT CITY, CT, 6351",392,41.591865,-71.991636
7039,"RTE 6 554 PROVIDENCE RD, DANIELSON, CT, 6239",540,41.799622,-71.902709
7051,"15 E HIGH ST, EAST HAMPTON, CT, 6424",432,41.583785,-72.503708
7351,"1261 BURNSIDE AVE, EAST HARTFORD, CT, 6108",429,41.783343,-72.584642
7362,"1103 EAST MAIN STREET, STAMFORD, CT, 06902-4312",423,41.057156,-73.515327
7456,"I - 95 EASTBOUND, BRANFORD, CT, 6405",420,41.285164,-72.833928
7457,"267 ROUND HILL RD, FAIRFIELD, CT, 6430",394,41.147945,-73.256592
7458,"165 ROUND HILL RD, FAIRFIELD, CT, 6430",374,41.146307,-73.256017
7459,"I-95 EASTBOUND, MADISON, CT, 6443",0,41.290426,-72.580471
7460,"MILFORD WESTBD RT 95, MILFORD, CT, 6460",413,41.247049,-73.009972
7461,"MILFORD EAST BOUND RT 95, MILFORD, CT, 6460",422,41.245782,-73.008438
7473,"DARIEN WEST BOUND I-95 SOUTH, DARIEN, CT, 6820",385,41.067914,-73.504284
7474,"I-95 DARIEN EAST, DARIEN, CT, 6820",386,41.080398,-73.461251
7475,"I-95 WESTBOUND, MADISON, CT, 6443",404,41.291849,-72.580126
7573,"FEDERAL RD & BEVERLY DR, BROOKFIELD, CT, 6804",414,41.440918,-73.406586
7620,"28 HAZARD AVE, ENFIELD, CT, 6082",435,41.989307,-72.579974
7681,"375 S MAIN ST, COLCHESTER, CT, 6415",422,41.567943,-72.325499
7809,"18 MAIN ST, NORTH CANAAN, CT, 6018",558,42.025151,-73.325632
7987,"769 JOHN FITCH BLVD. ROUTE 5, SOUTH WINDSOR, CT, 06074-9811",452,41.823784,-72.608536
10052,"7 BACKUS AVENUE SUITE 246, DANBURY, CT, 6810",0,41.380508,-73.479732
10197,"2534 ALBANY AVENUE, WEST HARTFORD, CT, 6107",0,41.786423,-72.748557
10336,"698 W. MAIN STREET, NEW BRITAIN, CT, 6051",476,41.665976,-72.805923
10391,"70 W CENTER RD, MANCHESTER, CT, 6040",430,41.77155,-72.537916
10567,"184 CHASE AVE, WATERBURY, CT, 6704",409,41.580669,-73.031984
10719,"170-176 WASHINGTON ST, HARTFORD, CT, 6106",447,41.757247,-72.681945
10877,"365 UNIVERSAL DRIVE, NORTH HAVEN, CT, 06473-3154",409,41.356576,-72.87142
10914,"ROUTE 12 MILTARY HIGHWAY, GALES FERRY, CT, 6335",422,41.430457,-72.081423
11138,"687 MAIN STREET, EAST HAVEN, CT, 06512-2032",422,41.286056,-72.887251
11253,"RTE 12 - 796 NORWICH RD, PLAINFIELD, CT, 6374",550,41.666989,-71.915667
11580,"531 WESTPORT AVE, NORWALK, CT, 6851",418,41.127808,-73.384857
11601,"571 NEW HAVEN RD, NAUGATUCK, CT, 6770",402,41.474318,-73.043135
11823,"1900 FAIRFIELD AVE, BRIDGEPORT, CT, 6605",423,41.16782,-73.216873
11886,"98 WESTON ST, HARTFORD, CT, 6120",440,41.78767,-72.662174
12107,"280 BRANFORD ROAD, NORTH BRANFORD, CT, 6471",405,41.325134,-72.7718
12289,"2 LAKE AVE. EXTENSION, DANBURY, CT, 6810",422,41.386726,-73.477608
12527,"5065 MAIN ST, TRUMBULL, CT, 6611",0,41.229908,-73.225498
12533,"250 N AVE, BRIDGEPORT, CT, 6606",422,41.200294,-73.192848
13538,"RTE 44 - 6 PROVIDENCE TURNPIKE, PUTNAM, CT, 6260",545,41.925004,-71.881723
13568,"125 BERLIN RD, CROMWELL, CT, 6416",425,41.604247,-72.707174
13706,"390 MONROE TURNPIKE, MONROE, CT, 6468",418,41.31039,-73.220955
14737,"273 COTTAGE GROVE RD, BLOOMFIELD, CT, 6002",441,41.817058,-72.712997
15009,"585 HAZARD AVE, ENFIELD, CT, 6082",437,41.985827,-72.511777
15431,"5 BANK ST (SATELLITE), GRANBY, CT, 06035-2303",0,41.95234,-72.784214
15868,"1260 DIXWELL AVENUE, HAMDEN, CT, 6514",409,41.34796,-72.933656
16332,"701 POST ROAD EAST, WESTPORT, CT, 6880",413,41.138012,-73.341911
16426,"2 PADANARUM ROAD, DANBURY, CT, 6810",420,41.414116,-73.458183
16907,"350 BLOOMFIELD AVE, WINDSOR, CT, 6095",413,41.852521,-72.661525
17138,"1835 BLACK ROCK TPKE, FAIRFIELD, CT, 6825",414,41.179787,-73.247101
17261,"220 ALBANY TPKE, CANTON, CT, 6019",0,41.826094,-72.8984
17764,"1858 E MAIN ST, TORRINGTON, CT, 06790-3131",468,41.82062,-73.078732
18361,"117 BOSTON POST RD, WATERFORD, CT, 6385",450,41.342656,-72.124888
18676,"155 WATERFORD PARKWAY (WAL*MART #2331), NORTH WATERFORD, CT, 06385-1208",375,41.370108,-72.155446
18799,"144 DEMING ST, MANCHESTER, CT, 6040",434,41.8131,-72.525692
19434,"40 MARTIN LUTHER KING JR DR, NEW BRITAIN, CT, 6051",458,41.671715,-72.776526
21796,"325 UNION ST, WATERBURY, CT, 6706",479,41.552555,-73.030761
22257,"34 ENDFIELD ST, ENFIELD, CT, 6082",438,42.024178,-72.585335
23601,"533 SOUTH BROAD ST., MERIDEN, CT, 6450",523,41.508577,-72.80803
23853,"260 NEW BRITIAN AVE, PLAINVILLE, CT, 6062",473,41.675905,-72.841324
24117,"470 LEWIS AVE, MERIDEN, CT, 6451",0,41.550691,-72.806901
26737,"411 BARNUM AVE, STRATFORD, CT, 6615",416,41.198179,-73.122861
27001,"652 NEW HAVEN AVE, DERBY, CT, 6418",463,41.311676,-73.051788
27610,"74 RESERVOIR ROAD, ROCKVILLE, CT, 6066",434,41.856265,-72.429796
27878,"60 HAWLEY LANE, TRUMBULL, CT, 6611",422,41.231286,-73.153732
28784,"NEW MAIN TERMINAL, WINDSOR LOCKS, CT, 6096",385,41.929997,-72.685057
29864,"507 FLATBUSH AVE, HARTFORD, CT, 6106",450,41.742128,-72.712526
30002,"26 BELDEN AVENUE, NORWALK, CT, 6850",414,41.118584,-73.417431
32044,"FARMINGTON AVE., FARMINGTON, CT, 6085",434,41.756731,-72.883847
32045,"1141 KILLINGLY COMMONS DR, KILLINGLY, CT, 6241",546,41.839489,-71.876678
32393,"ROUTE 83, ELLINGTON, CT, 6029",426,41.888559,-72.46301
32967,"19 CHESTERFIELD RD, EAST LYME, CT, 06333-1252",453,41.366483,-72.209395
35693,"465 LIBERTY STREET, PAWCATUCK, CT, 6379",425,41.403209,-71.847453
