nsn,address,items_with_price,lat,lon
225,"374 EAST MAIN STREET, NEWARK, DE, 19711-7149",424,39.685636,-75.737484
571,"101 NEW RD, WILMINGTON, DE, 19805-4117",539,39.741454,-75.583418
1122,"2507 CONCORD PIKE, WILMINGTON, DE, 19803-5002",423,39.795385,-75.546905
1429,"915 SOUTH DUPONT HIGHWAY, DOVER, DE, 19901-4419",477,39.145969,-75.51583
2313,"4111 NORTH MARKET STREET, WILMINGTON, DE, 19802-2221",513,39.761239,-75.521743
2491,"700 N. DUPONT HIGHWAY, NEW CASTLE, DE, 19720",444,39.685573,-75.584892
2774,"333 N DUPONT HWY, SMYRNA, DE, 19977",448,39.306704,-75.607929
3822,"879 N. DUPONT HIGHWAY, DOVER, DE, 19901-2000",482,39.182956,-75.531019
4566,"101 SOUTH DUPONT HIGHWAY, NEW CASTLE, DE, 19720",445,39.664836,-75.60566
4735,"815 SOUTH COLLEGE AVENUE, NEWARK, DE, 19713-4001",423,39.654952,-75.7506
4959,"20817 DUPONT BLVD, GEORGETOWN, DE, 19947",455,38.692585,-75.398376
5243,"2702 PHILADELPHIA PIKE, CLAYMONT, DE, 19703-2512",554,39.794123,-75.467334
5309,"653 NORTH DUPONT HIGHWAY, MILFORD, DE, 19963-1001",468,38.918849,-75.441217
5635,"300 NORTH DUAL HIGHWAY, SEAFORD, DE, 19973-1734",461,38.653074,-75.595114
7312,"3010 NEW CASTLE AVE, NEW CASTLE, DE, 19720",428,39.700425,-75.551553
7959,"USHY 1 & ADDY RD, BETHANY BEACH, DE, 19930",437,38.52108,-75.055672
10019,"700 WEST 4TH STREET, WILMINGTON, DE, 19801-2004",532,39.742851,-75.55812
10394,"4625 KIRKWOOD HIGHWAY, WILMINGTON, DE, 19808-5005",443,39.722992,-75.66086
10492,"2351 S COLLEGE AVE, GLASGOW, DE, 19702",423,39.605391,-75.744535
11072,"18733 JUSSEX HWY, BRIDGEVILLE, DE, 19933",455,38.721682,-75.589491
11185,"1704 EAST LEBANON RD - ROUTE 10, DOVER, DE, 19901-5845",473,39.129375,-75.494105
11303,"1424 FORREST AVE - ROUTE 8, DOVER, DE, 19901-3315",475,39.158585,-75.558162
11892,"1790 W NEWPORT, STANTON, DE, 19804",444,39.715424,-75.630316
12024,"3318 KIRKWOOD HWY #3320, WILMINGTON, DE, 19808-6132",449,39.73593,-75.629333
12681,"16758 S DUPONT HWY, HARRINGTON, DE, 19952",460,38.929751,-75.566181
12682,"1401 GOVERNOR'S PLACE, BEAR, DE, 19701-9807",425,39.633093,-75.66112
16119,"38215 DUPONT BLVD, SELBYVILLE, DE, 19975",456,38.459518,-75.232873
16850,"1788N DUPONT HIGHWAY, DOVER, DE, 19901",486,39.198839,-75.555159
20274,"580 MIDDLETOWN-WARWICK ROAD, MIDDLETOWN, DE, 19709",425,39.450991,-75.72523
21140,"4160 OGLETOWN/STANTON ROAD, NEWARK, DE, 19713",445,39.685885,-75.682625
24322,"18878 COASTAL HWY, REHOBOTH BEACH, DE, 19971",463,38.731586,-75.134762
28851,"CHRISTIANA MALL, NEWARK, DE, 19702",0,39.678595,-75.651351
30110,"263 WALMART DRIVE (W*M #5039), CAMDEN, DE, 19934",0,39.102507,-75.54563
31570,"24943 JOHN J. WILLIAMS HWY., MILLSBORO, DE, 19966",459,38.633944,-75.194071
31673,"705 MIDDLETOWN WARWICK RD, MIDDLETOWN, DE, 19709",0,39.445838,-75.737768
32987,"38667 SUSSEX HIGHWAY, DELMAR, DE, 19940",436,38.45699,-75.557617
34154,"30255 COMMERCE DR, MILLSBORO, DE, 19966",457,38.571258,-75.28331
