nsn,address,items_with_price,lat,lon
40,"4950 S DAKOTA NE, WASHINGTON, DC, 20017",438,38.949527,-76.993283
650,"75 NEW YORK AVE NE, WASHINGTON, DC, 20002",489,38.90793,-77.006302
695,"5948 GEORGIA AVE NW, WASHINGTON, DC, 20011",394,38.962396,-77.028342
858,"4301 NH BURRGHS AVE NE, WASHINGTON, DC, 20019",459,38.901179,-76.941614
1373,"1619 17TH ST NW, WASHINGTON, DC, 20009",400,38.912005,-77.038232
1453,"2481-83 18TH ST NW, WASHINGTON, DC, 20009",460,38.922619,-77.042348
2943,"2228 NEW YORK AVE NE, WASHINGTON, DC, 20002",443,38.91771,-76.973433
5176,"2328 GEORGIA AVE NW, WASHINGTON, DC, 20001",427,38.920612,-77.022295
6083,"2529 GOOD HOPE RD SE, WASHINGTON, DC, 20020",424,38.860001,-76.968874
6449,"7425 GEORGIA AVE NW, WASHINGTON, DC, 20011",429,38.980646,-77.026208
6763,"1916 M STREET NW, WASHINGTON, DC, 20036",399,38.90552,-77.044238
7394,"1539 PENNSYLVANIA S.E., WASHINGTON, DC, 20003-3117",499,38.878647,-76.982239
7564,"2 I ST SE, WASHINGTON, DC, 20003",0,38.879767,-77.008411
10099,"424 RHODE ISLAND AVE NE, WASHINGTON, DC, 20002",445,38.920553,-76.999432
10219,"1635 BENNING RD, WASHINGTON, DC, 20002",489,38.899242,-76.980218
10288,"555 13TH ST NW, WASHINGTON, DC, 20004-1109",460,38.89686,-77.028915
10382,"750 17TH ST NW, WASHINGTON, DC, 20006",439,38.899573,-77.039676
10625,"3901 MINNESOTA AVENUE N.E., WASHINGTON, DC, 20019-2662",462,38.893411,-76.949857
11311,"1901 9TH ST NE, WASHINGTON, DC, 20018",454,38.915887,-76.993363
11491,"UNION STA/50 MASS AVE, WASHINGTON, DC, 20002",421,38.897304,-77.005947
13934,"955 LENFANT PLAZA NORTH SW, WASHINGTON, DC, 20024",0,38.884368,-77.025438
14307,"14TH & U ST NW, WASHINGTON, DC, 20009",452,38.916853,-77.032147
14618,"839 8TH & H ST NE, WASHINGTON, DC, 20002",0,38.89977,-76.993968
20860,"400 C ST SW, WASHINGTON, DC, 20024",461,38.885832,-77.017782
20863,"4130 WISCONSIN AVE NW, WASHINGTON, DC, 20016",429,38.942967,-77.077411
20865,"450 5TH ST NW, WASHINGTON, DC, 20001",0,38.895975,-77.019471
23854,"5300 WISCONSIN AVE, WASHINGTON, DC, 20015",0,38.960144,-77.086093
24251,"2616 CONNECTICUT AVENUE NW, WASHINGTON, DC, 20008",477,38.92425,-77.052179
25449,"1235 NEW YORK AVE NW, WASHINGTON, DC, 20005",492,38.900612,-77.029348
26266,"6TH STREET & INDEPENDENCE AVE. SW., WASHINGTON, DC, 20560",0,38.888066,-77.019635
28772,"601 F ST NW, WASHINGTON, DC, 20004",0,38.898571,-77.02158
28853,"6TH & INDEPENDENCE AVE SW (OUTDOOR), WASHINGTON, DC, 20037",0,38.888422,-77.021284
32419,"911 EAST ST NW, WASHINGTON, DC, 20004",0,38.89632,-77.024749
