nsn,address,items_with_price,lat,lon
86,"3515 S DALE MABRY, TAMPA, FL, 33629",453,27.910894,-82.506659
100,"715 EAST MEMORIAL BLVD., LAKELAND, FL, 33810",448,28.054668,-81.950658
151,"8214 N FLORIDA AVE, TAMPA, FL, 33604",449,28.023042,-82.459846
152,"3645 CLEVELAND AVENUE, FORT MYERS, FL, 33901-7905",471,26.609511,-81.871417
250,"5170 PARK BLVD, PINELLAS PARK, FL, 33781-3414",464,27.838784,-82.703379
252,"1107 N NAVY BLVD, WEST PENSACOLA, FL, 32507-1250",397,30.405824,-87.275594
454,"717 HARRISON AVE, PANAMA CITY, FL, 32401",0,30.161386,-85.660565
468,"3551 N BROADWAY, RIVIERA BEACH, FL, 33404",441,26.790993,-80.054739
482,"1860 GULF-TO-BAY BLVD., CLEARWATER, FL, 33765",438,27.960953,-82.7604
500,"245 6TH ST, NW, WINTER HAVEN, FL, 33880",445,28.025646,-81.733615
568,"151 RIDGEWOOD AVE, HOLLY HILL, FL, 32117",431,29.228298,-81.031551
569,"3411 BUSCH BLVD, TAMPA, FL, 33612",447,28.032384,-82.422009
613,"3001 N ATLANTIC AVE, DAYTONA BEACH, FL, 32118",437,29.267795,-81.028909
669,"25 W HIBISCUS BLVD, MELBOURNE, FL, 32901",443,28.084596,-80.622757
681,"1352 E COMMERCIAL, FORT LAUDERDALE, FL, 33334",434,26.188694,-80.128907
701,"4009 N ARMENIA, TAMPA, FL, 33607",447,27.97475,-82.484476
717,"2735 S FLORIDA AVE, LAKELAND, FL, 33803",443,28.011547,-81.957398
725,"3120 W BROWARD BLVD, FT LAUDERDALE, FL, 33312-1111",0,26.121007,-80.186964
740,"4711 14TH ST W, BRADENTON, FL, 34207-2002",455,27.457322,-82.574918
749,"6546 NORMANDY BLVD, JACKSONVILLE, FL, 32205",531,30.30521,-81.752898
766,"1101 W 49TH ST, HIALEAH, FL, 33012",465,25.866973,-80.3052
788,"1612 DELAWARE AVENUE, FORT PIERCE, FL, 34950-3976",493,27.443895,-80.340267
791,"200 NE 167TH ST, NORTH MIAMI BEACH, FL, 33162",482,25.927854,-80.195929
792,"6150 S DIXIE HWY, MIAMI, FL, 33143-5003",488,25.701277,-80.292742
826,"10775 NW 27TH AVE, MIAMI, FL, 33167",494,25.872286,-80.242256
856,"4333 W HILLSBOROUGH AVE, TAMPA, FL, 33614",448,27.996659,-82.517253
904,"265 WEST OAKLAND PARK BLVD., OAKLAND PARK, FL, 33311",406,26.166799,-80.148806
924,"5835 HOLLYWOOD BLVD, HOLLYWOOD, FL, 33021",456,26.010492,-80.204989
927,"460 HIALEAH DRIVE, HIALEAH, FL, 33012",418,25.822662,-80.271915
1013,"3091 NORTH FEDERAL HIGHWAY, POMPANO BEACH, FL, 33064-6851",432,26.268923,-80.098918
1077,"2421 OKEECHOBEE, WEST PALM BEACH, FL, 33401",432,26.706936,-80.089086
1088,"201 N.W. 13TH STREET, GAINESVILLE, FL, 32601-5125",0,29.653062,-82.338907
1098,"7281 S.W. 8TH STREET, MIAMI, FL, 33144-4653",421,25.763141,-80.313
1099,"2315 TYRONE BLVD, ST. PETERSBURG, FL, 33710",455,27.793287,-82.728743
1108,"30335 S FEDERAL HWY, HOMESTEAD, FL, 33030",512,25.485196,-80.459808
1124,"300 38TH AVE N, SAINT PETERSBURG, FL, 33704-1332",465,27.806384,-82.63784
1125,"5890 S. ORANGE BLOSSOM TRAIL, ORLANDO, FL, 32809",430,28.473261,-81.397104
1155,"4443 W KENNEDY, TAMPA, FL, 33607",446,27.945169,-82.519888
1167,"12647 S DIXIE HWY, PINE CREST, FL, 33156",493,25.652864,-80.329566
1183,"3704 N ROOSEVELT BLVD, KEY WEST, FL, 33040",421,24.571897,-81.756906
1264,"5309 USHY 19S, NEW PORT RICHEY, FL, 34652",453,28.236125,-82.72857
1265,"502 W BRANDON BLVD, BRANDON, FL, 33511",451,27.938259,-82.291666
1291,"539 S MISSOURI AVENUE, CLEARWATER, FL, 33756",498,27.959784,-82.787078
