nsn,address,items_with_price,lat,lon
338,"5220 BUFORD HWY, DORAVILLE, GA, 30340",0,33.895668,-84.283562
359,"1450 ROCKY CREEK RD, MACON, GA, 31206",449,32.790703,-83.670381
455,"3315 MACON RD, COLUMBUS, GA, 31906",429,32.482322,-84.941197
553,"1124 PRINCE AVENUE, ATHENS, GA, 30601",454,33.962504,-83.395861
558,"1464 WALTON WAY, AUGUSTA, GA, 30904",479,33.474339,-81.986077
579,"1504 TURNER MCCALL BLVD, ROME, GA, 30161",523,34.246075,-85.161697
647,"4346 ROSWELL RD., N.E., ATLANTA, GA, 30342",453,33.873859,-84.381409
662,"6049 ROSWELL ROAD, SANDY SPRINGS, GA, 30328-4005",577,33.91988,-84.378571
944,"2929 PEACHTREE RD NE, ATLANTA, GA, 30305",412,33.835169,-84.381729
1047,"5493 PEACHTREE INDUSTRIAL BLVD, CHAMBLEE, GA, 30341-2256",391,33.897263,-84.302147
1168,"4021 LAWRENCEVILLE HIGHWAY, TUCKER, GA, 30084-4620",447,33.849751,-84.216934
1182,"1821 GLYNN AVE HWY 17, BRUNSWICK, GA, 31520",474,31.157587,-81.479696
1278,"2102 NORTH ASHLEY ST., VALDOSTA, GA, 31602-2607",456,30.858098,-83.281726
1279,"3893 LAVISTA RD, TUCKER, GA, 30084",0,33.843369,-84.257767
1620,"7894 TARA BLVD, JONESBORO, GA, 30236",452,33.539272,-84.36512
1634,"707 JESSE JEWELL PARKWAY, GAINESVILLE, GA, 30501",415,34.292545,-83.829895
1692,"1176 RALPH DAVID ABERNATHY BLVD, ATLANTA, GA, 30310",411,33.738166,-84.425756
1700,"3324 NORTHSIDE PKWY N, ATLANTA, GA, 30327-2207",413,33.847015,-84.429665
1704,"3795 BUFORD HIGHWAY, NE, ATLANTA, GA, 30329-1001",0,33.854507,-84.315102
1705,"1015 SOUTH COBB DRIVE, MARIETTA, GA, 30060-3303",0,33.928257,-84.550598
1788,"1291 BELLS FERRY RD, MARIETTA, GA, 30066",0,33.982471,-84.558487
1817,"266 N DIXIE AVE, CARTERSVILLE, GA, 30120",419,34.176216,-84.786964
1837,"5115 OLD NATIONAL HWY, COLLEGE PARK, GA, 30349",458,33.615967,-84.47316
1867,"824 EAST 2ND STREET, TIFTON, GA, 31794-4256",465,31.457585,-83.526707
1890,"2215 SHORTER AVE, ROME, GA, 30165",494,34.27103,-85.228645
1938,"1879 WATSON BLVD, WARNER ROBINS, GA, 31093",427,32.617842,-83.640741
2051,"4358 BUFORD DRIVE, BUFORD, GA, 30518",409,34.094597,-84.012009
2054,"730 CLAYTON STREET S.W., LAWRENCEVILLE, GA, 30045",452,33.948624,-83.987518
2066,"146 COMMERCE AVE, LAGRANGE, GA, 30240",441,33.049004,-85.023689
2089,"1495 ROSWELL RD, MARIETTA, GA, 30062",0,33.951286,-84.509438
2103,"6745 GEORGIA HWY 85, RIVERDALE, GA, 30274",497,33.571003,-84.413063
2219,"1523 WALNUT AVE, DALTON, GA, 30720",471,34.760363,-84.999618
2258,"1683 E OGLETHORPE, ALBANY, GA, 31705",439,31.570493,-84.10811
2261,"885 INDUSTRIAL BLVD, MCDONOUGH, GA, 30253",477,33.428516,-84.179184
2267,"611 W TAYLOR ST, GRIFFIN, GA, 30223-2717",450,33.247684,-84.272675
2326,"1303 S MAPLE, CARROLLTON, GA, 30117",476,33.572155,-85.093285
2558,"3414 S COBB DR, SMYRNA, GA, 30080",0,33.86998,-84.528221
2624,"3010 CANTON RD, MARIETTA, GA, 30066",414,34.024632,-84.528221
2625,"2490 NORTH COLUMBIA STREET, MILLEDGEVILLE, GA, 31061-2066",499,33.112936,-83.259388
2628,"3534 MARTIN LUTHER KING DR, ATLANTA, GA, 30331",459,33.757763,-84.503471
2629,"2624 DEAN BRIDGES RD, AUGUSTA, GA, 30906",482,33.440483,-82.021358
2691,"1940 WASHINGTON ROAD, THOMSON, GA, 30824",475,33.509079,-82.502116
2726,"4957 NEW JESUP HWY, BRUNSWICK, GA, 31520",471,31.216552,-81.519247
2846,"1840 WEST HILL AVE, VALDOSTA, GA, 31601-5154",455,30.820599,-83.312904
2847,"3201 CAMP CREEK PKY, EAST POINT, GA, 30344",428,33.654648,-84.494354
2848,"1320 KLONDIKE RD, CONYERS, GA, 30094",460,33.664124,-84.031395
2899,"9502 HWY 5, DOUGLASVILLE, GA, 30135",466,33.724514,-84.762733
2903,"749 HWY 53 EAST SE, CALHOUN, GA, 30701",438,34.471916,-84.9217
2909,"2304 MEMORIAL DR, WAYCROSS, GA, 31501",502,31.197686,-82.324873
2947,"4819 LOWER ROSWELL RD, MARIETTA, GA, 30068",450,33.966644,-84.410652
2959,"1501 EAST SHOTWELL STREET, BAINBRIDGE, GA, 31717-4255",437,30.904459,-84.553381
3039,"660 ATLANTA RD., CUMMING, GA, 30130-2704",444,34.187035,-84.142448
3042,"6360 POWER FERRY RD, ATLANTA, GA, 30339",567,33.905064,-84.429848
3096,"3531 FLAT SHOALS RD, DECATUR, GA, 30034",445,33.704243,-84.271423
3132,"31 FORSYTH ST, ATLANTA, GA, 30303",0,33.753826,-84.392797
3149,"58 BULLSBORO RD, NEWNAN, GA, 30263",429,33.384846,-84.784729
3159,"6210 ZEBULEN RD, MACON, GA, 31210",446,32.879536,-83.765256
3200,"4112 HIGHWAY 278, N.E., COVINGTON, GA, 30014",453,33.602665,-83.853027
3269,"550 GRAY HWY, MACON, GA, 31201",447,32.849163,-83.626081
3273,"4075 MEMORIAL DRIVE, DECATUR, GA, 30032-1804",444,33.767277,-84.251961
3323,"591 HOLCOMB BRIDGE ROAD, ROSWELL, GA, 30022",456,34.035378,-84.342995
3341,"US 41 AND GA HWY 293, KENNESAW, GA, 30144",547,34.002243,-84.599052
3379,"150 GAINES SCHOOL ROAD, ATHENS, GA, 30601",457,33.937647,-83.324324
3410,"2230 W BROAD ST, ATHENS, GA, 30601",450,33.949856,-83.411278
3432,"4612 AUGUSTA RD, GARDEN CITY, GA, 31408",456,32.108218,-81.1555
3505,"1003 SOUTH SLAPPEY BLVD., ALBANY, GA, 31705",439,31.562985,-84.177
3712,"1310 EAST LAMAR ST., AMERICUS, GA, 31709-3847",428,32.071632,-84.216418
3820,"328 N MAIN, CEDARTOWN, GA, 30125",477,34.01865,-85.252808
3867,"2826 EVANS MILL RD, LITHONIA, GA, 30058",498,33.702026,-84.115608
3910,"806 E 1ST ST, VIDALIA, GA, 30474",440,32.213572,-82.4027
3968,"1680 EAST JACKSON STREET, THOMASVILLE, GA, 31792-3941",429,30.858396,-83.949921
3985,"1613 EAST 16TH AVENUE, CORDELE, GA, 31015-2067",428,31.96121,-83.756308
4004,"1300 SOUTH PETERSON AVENUE, DOUGLAS, GA, 31533-5116",447,31.491928,-82.850528
4045,"4133 LAWRENCEVILLE HWY, LILBURN, GA, 30047",489,33.903988,-84.119125
4073,"30519 HWY 441, COMMERCE, GA, 30529",504,34.258873,-83.464432
4093,"1110 E. CHERRY STREET, JESUP, GA, 31545-3116",450,31.594622,-81.870662
4227,"250 N LEE ST, FORSYTH, GA, 31029",476,33.040501,-83.938828
4239,"506 FIRST AVENUE, S.E., MOULTRIE, GA, 31768",438,31.1785,-83.782307
4263,"1099 HWY 19 N, THOMASTON, GA, 30286",489,32.926327,-84.334404
4302,"3804 WASHINGTON ROAD, MARTINEZ, GA, 30907-2370",474,33.512441,-82.086722
4400,"6165 MCDONOUGH BLVD, NORCROSS, GA, 30093-1204",460,33.910393,-84.208199
4430,"US HWY 8, WINDER, GA, 30680",448,33.991284,-83.723232
4538,"2684 MAIN ST W, SNELLVILLE, GA, 30278",491,33.855511,-84.025185
4565,"1920 EATONTON RD, MADISON, GA, 30650",456,33.557919,-83.474609
4627,"465 N GLYNN ST, FAYETTEVILLE, GA, 30214",450,33.457455,-84.453316
