nsn,address,items_with_price,lat,lon
1190,"AINA HAINA SHOPPING CENTER, HONOLULU, HI, 96821",521,21.278452,-157.753585
1206,"3254 WAIALAE AVE, HONOLULU, HI, 96816",389,21.286669,-157.80628
1260,"406 KUULEI RD, KAILUA, HI, 96734",433,21.395473,-157.742839
1402,"1414 DILLINGHAM BLVD, HONOLULU, HI, 96817-4818",393,21.324232,-157.875919
1485,"1065 WAIMANO HOME RD, PEARL CITY, HI, 96782",384,21.394489,-157.969645
1502,"75-5729 KUAKINI HWY, KAILUA KONA, HI, 96740",471,19.639758,-155.990748
1519,"155 PUUNENE AVE, KAHULUI, HI, 96732-2403",435,20.887667,-156.464868
1621,"85-770 FARRINGTON HIGHWAY, WAIANAE, HI, 96792",503,21.447831,-158.188961
1681,"95-281 KIPAPA DRIVE, MILILANI, HI, 96789",394,21.456457,-158.016075
1682,"4618 KILAUEA AVE, HONOLULU, HI, 96816",518,21.275447,-157.78567
1683,"3113 KUHIO HWY, LIHUE, HI, 96766",436,21.977832,-159.368738
1896,"45-480 KANEOHE BAY DRIVE, KANEOHE, HI, 96744",391,21.402491,-157.797779
1969,"1055 S BERETANIA ST, HONOLULU, HI, 96814",390,21.302412,-157.846474
2221,"414 N SCHOOL ST, HONOLULU, HI, 96817",382,21.321575,-157.859667
2331,"2121 S KING ST, HONOLULU, HI, 96826",382,21.293925,-157.8282
2820,"114 S KAM HWY, WAHIAWA, HI, 96786",389,21.494338,-158.028696
3856,"1058 KEOLU DR, KAILUA, HI, 96734-3845",432,21.377948,-157.728776
4029,"928 VALKENBURGH ST, HONOLULU, HI, 96818",390,21.344114,-157.928129
4544,"1778 ALA MOANA BLVD, HONOLULU, HI, 96815-1605",431,21.285214,-157.838033
4552,"910 KEEAUMOKU ST, HONOLULU, HI, 96814-2311",389,21.297285,-157.841009
4903,"2915 E MANOA RD, HONOLULU, HI, 96822",457,21.309661,-157.809588
5485,"4-0771 KUHIO HWY, KAPAA, HI, 96746",436,22.061149,-159.321851
5763,"1101 FORT STREET MALL, HONOLULU, HI, 96813",435,21.30986,-157.860991
6604,"885 WAINEE ST, LAHAINA, HI, 96761",0,20.877909,-156.679397
7267,"81-6655 MAMALAHOA HWY, KEALAKEKUA, HI, 96750",471,19.51759,-155.920444
7320,"2476 KALAKAUA AVE, HONOLULU, HI, 96815",410,21.274599,-157.824149
7369,"2138 MAIN ST, WAILUKU, HI, 96793",427,20.887568,-156.503724
7519,"99-115 AIEA HTS DRIVE, AIEA, HI, 96701-3924",509,21.378909,-157.930208
7520,"41-1033 KALANIANAOLE HWY, WAIMANALO, HI, 96795",434,21.340635,-157.704103
7627,"55-400 KAMEHAMEHA HWY, LAIE, HI, 96762",0,21.641122,-157.919888
7830,"3320 HALEAKALA HWY, PUKALANI, HI, 96788",444,20.836092,-156.337278
7831,"881 FREDRICK ST., HONOLULU, HI, 96818",454,21.349632,-157.945114
10646,"87-2028 FARRINGTON HIGHWAY, WAIANAE, HI, 96792",501,21.387552,-158.151428
