nsn,address,items_with_price,lat,lon
249,"510 N ORCHARD, BOISE, ID, 83704",393,43.609385,-116.242896
1774,"831 YELLOWSTONE HWY, POCATELLO, ID, 83201-4414",390,42.889931,-112.451916
1945,"711 21ST STREET, LEWISTON, ID, 83501-3322",432,46.41317,-117.00143
2302,"305 BLUE LAKES BLVD N, TWIN FALLS, ID, 83301-4828",427,42.567099,-114.46078
2743,"148 CALDWELL BLVD, NAMPA, ID, 83651-2333",401,43.586641,-116.574762
3307,"616 E Green St, , ",482,47.700518,-116.788235
3568,"7811 FAIRVIEW AVE, BOISE, ID, 83704",400,43.619055,-116.279698
3969,"1404 MOSCOW-PULLMAN HIGHWAY, MOSCOW, ID, 83843",431,46.732956,-117.021355
4289,"1185 VISTA AVE, BOISE, ID, 83705-2430",395,43.593863,-116.214174
4951,"1011 S 5TH, POCATELLO, ID, 83201-6636",393,42.859303,-112.435513
4952,"7222 OVERLAND RD, BOISE, ID, 83709",396,43.590711,-116.272046
4979,"394 N OVERLAND AVE, BURLEY, ID, 83318-3433",425,42.559891,-113.7938
5138,"175 VALLEY RIVER DR, REXBURG, ID, 83440",407,43.833695,-111.778588
5582,"2923 CLEVELAND BLVD, CALDWELL, ID, 83605-4425",396,43.648592,-116.665716
7235,"1275 PARKWAY DR, BLACKFOOT, ID, 83221-1833",403,43.195973,-112.360095
7261,"205 BONNER MALL WAY, PONDERAY, ID, 83852-9748",451,48.300865,-116.545522
7873,"4825 GLENWOOD, BOISE, ID, 83714-1323",395,43.648824,-116.280325
8160,"2828 AIRPORT WAY (SATELLITE), BOISE CITY, ID, 83705",0,43.570182,-116.217508
10172,"1375 BROADWAY, BOISE, ID, 83706-3703",402,43.59621,-116.194206
11069,"W 3820 - 5TH, POST FALLS, ID, 83854",521,47.711409,-116.999341
11233,"755 AIR BASE RD, MOUNTAIN HOME, ID, 83647",425,43.126132,-115.700656
11492,"4260 YELLOWSTONE, CHUBBUCK, ID, 83202-2400",393,42.910992,-112.465672
11887,"195 E CENTRAL DR, MERIDIAN, ID, 83642",402,43.597103,-116.392626
12174,"650 E 17TH ST, IDAHO FALLS, ID, 83401",407,43.482214,-112.020592
12706,"2516 S APPLE ST, BOISE, ID, 83706-5170",0,43.580191,-116.173013
12846,"820 W. CAMERON, KELLOGG, ID, 83837",452,47.547418,-116.133468
