any,26,28,29,32,49,53,55,56,59,72,73,76,78,80,82,83,87,88,90,101,108,119,154,168,189,199,204,216,240,278,302,315,326,329,335,396,401,415,475,490,512,566,600,715,716,738,753,770,799,805,812,844,853,866,870,888,891,897,910,912,933,1000,1001,1018,1152,1340,1344,1369,1392,1393,1460,1463,1493,1494,1513,1537,1581,1627,1654,1655,1715,1727,1729,1771,1783,1786,1863,1919,1924,1968,2000,2006,2053,2077,2106,2114,2171,2215,2224,2238,2242,2257,2319,2362,2367,2380,2382,2504,2505,2519,2541,2592,2648,2670,2672,2733,2752,2887,2953,2966,3002,3049,3144,3173,3174,3182,3199,3209,3243,3276,3304,3381,3420,3433,3444,3445,3448,3485,3488,3518,3523,3543,3579,3661,3694,3717,3718,3754,3755,3788,3796,3814,3823,3883,3900,3901,3902,3924,3926,3951,3957,3967,3996,4006,4049,4061,4081,4107,4152,4184,4187,4188,4274,4299,4338,4367,4379,4380,4402,4415,4417,4444,4490,4508,4513,4514,4526,4528,4531,4532,4551,4588,4590,4649,4650,4655,4736,4737,4748,4788,4791,4805,4887,4897,4899,4900,4922,4971,5026,5082,5091,5115,5119,5136,5137,5153,5185,5199,5200,5201,5202,5209,5230,5233,5246,5254,5272,5289,5291,5292,5293,5332,5348,5377,5442,5452,5471,5472,5495,5496,5507,5511,5588,5617,5618,5620,5665,5668,5673,5682,5694,5697,5702,5708,5714,5716,5744,5745,5754,5780,5813,5816,5836,5881,5895,5947,6000,6016,6039,6063,6107,6113,6119,6143,6148,6193,6243,6248,6265,6275,6298,6310,6323,6336,6337,6370,6393,6418,6469,6491,6494,6511,6561,6606,6646,6673,6676,6726,6733,6746,6749,6771,6791,6796,6818,6842,6888,6928,6941,7040,7050,7069,7087,7101,7124,7181,7199,7217,7218,7238,7249,7292,7323,7354,7385,7450,7463,7466,7472,7527,7546,7631,7639,7690,7739,7740,7746,7747,7787,7788,7854,8033,8042,8046,8058,8149,8171,10016,10035,10039,10164,10175,10192,10231,10316,10353,10466,10533,10541,10547,10577,10642,10655,10672,10673,10677,10720,10742,10743,10744,10745,10873,11009,11038,11039,11049,11054,11068,11102,11168,11198,11231,11261,11279,11286,11290,11304,11341,11358,11374,11433,11454,11547,11558,11559,11603,11606,11627,11630,11673,11714,11728,11857,11902,11929,11965,12003,12044,12055,12097,12102,12180,12184,12188,12229,12244,12256,12285,12401,12437,12452,12512,12515,12636,12637,12638,12723,12785,12850,12886,12931,12987,12989,13027,13058,13087,13383,13414,13468,13477,13512,13513,13514,13574,13594,13639,13641,13650,13651,13711,13727,13738,13748,13816,13820,13837,13838,13875,13876,13877,13989,13990,13991,14000,14013,14021,14173,14242,14324,14328,14403,14528,14530,14738,14779,14806,14807,14843,14992,15229,15655,15672,15701,15705,15712,15803,15807,15822,15879,15921,16045,16120,16136,16339,16372,16373,16605,16661,16664,16669,16671,16743,16776,16867,17089,17274,17275,17276,17277,17278,17460,17618,17694,17760,17769,17893,17911,17960,17974,18236,18237,18658,18914,18980,19226,19324,19338,19354,19621,19630,19705,19706,19721,19765,19979,20005,20065,20104,20245,20313,20518,20900,21097,21233,21353,21397,21446,21553,21638,21795,22100,22338,22347,22409,22424,22430,22511,22772,22821,22878,22889,22911,23208,23305,23475,23664,23755,23784,23867,24046,24208,24267,24633,24759,24819,24835,24837,24911,24966,25000,25088,25124,25192,25194,25509,25662,25668,25705,25870,25871,25899,26099,26230,26289,26362,26364,26371,26619,26635,26673,26694,26777,26960,27142,27249,27316,27556,27597,27672,27841,28079,28082,28128,28636,28783,28953,28955,28956,28966,29307,29365,29420,29838,30665,30725,30766,30788,30793,30889,30908,30930,31049,31145,31420,31591,31592,31593,31594,31637,31663,31728,31729,31769,31787,31817,32030,32034,32057,32193,32216,32257,32320,32404,32545,32786,32809,32865,33078,33227,33294,33426,33519,33824,33932,34338,34643,34745,34869,34979,34993,35169,35226,35282,35354,35422,35667,36377
Y,239,229,219,219,219,269,249,229,229,219,249,219,259,239,199,279,249,229,199,249,209,239,249,,249,,189,249,189,259,259,239,229,229,239,,229,229,229,229,199,164,199,199,,219,249,199,219,219,179,219,249,189,239,219,239,259,199,219,179,209,199,219,209,149,,199,239,199,199,,229,249,,,259,199,229,189,219,249,239,219,269,279,199,219,209,219,219,219,239,239,239,169,279,199,199,239,249,209,229,249,169,239,189,199,219,149,229,239,179,259,229,239,199,219,239,259,219,,,219,219,239,239,249,249,239,219,,,219,239,199,239,249,239,219,219,239,239,219,189,219,259,249,279,239,239,199,229,209,199,239,229,199,149,229,199,,199,209,229,229,249,269,229,239,239,219,219,239,189,239,249,249,209,249,229,,269,189,259,,229,249,239,259,209,229,249,159,219,209,,259,189,239,249,269,199,219,199,219,,249,219,239,219,259,199,229,,229,,229,159,229,239,239,219,189,219,229,229,199,,259,179,199,229,229,249,179,199,229,189,179,219,199,249,199,,199,209,239,209,259,,259,219,169,229,239,219,259,219,229,259,,199,149,219,219,219,229,259,,159,259,229,239,291,189,279,199,209,199,229,199,,,259,199,219,159,229,,219,199,249,249,249,199,319,199,219,199,199,249,199,,229,219,269,229,219,249,209,199,219,199,,199,239,,291,229,179,159,199,199,219,269,,229,269,199,249,199,169,219,219,199,199,,229,249,229,199,179,,159,229,219,239,239,219,199,,219,229,219,279,199,189,239,259,219,169,199,219,219,169,189,249,219,219,249,199,219,239,,219,229,269,,239,189,239,249,174,249,,199,279,239,229,219,179,,239,259,209,229,189,229,249,239,229,199,219,,239,,,229,209,219,199,269,229,239,199,249,229,189,229,219,189,219,249,179,279,,351,219,229,219,249,249,249,249,229,249,249,259,229,199,259,249,229,229,199,,229,219,199,239,229,189,239,,199,,219,,239,199,209,229,259,229,259,229,249,219,199,259,249,229,199,229,189,249,239,239,199,199,190,249,219,229,239,239,229,209,359,219,,199,,199,229,189,229,239,219,,189,239,259,259,323,323,323,323,319,229,229,199,249,,269,179,,219,219,189,219,229,229,199,199,249,199,259,219,229,239,,259,219,,219,259,199,,,189,,219,149,199,199,229,,239,259,209,229,189,199,249,199,199,323,229,249,249,259,199,249,239,149,185,239,219,229,,229,,,239,189,139,,259,,149,219,164,249,219,199,259,229,219,199,169,219,199,219,,,229,189,239,,323,239,199,,,,199,199,219,239,229,,,269,279,,291,209,249,,,199,249,219,,,,239,,,,189,179,,239,,149,219,229,249,249,219,229,249,239,249,259,249,229,199,249,239,189,249,229,249,,199,199,219,229,229,249,239,199,249,259,259,239,209,199,269,229,209,199,209
Y,289,289,289,319,299,339,319,279,269,259,319,329,359,289,,,329,399,259,329,429,349,299,,,,289,,259,,369,,299,,319,,329,369,299,319,299,,329,,,299,329,279,289,319,249,299,299,279,269,,339,,,,,329,349,429,,259,,339,299,329,,,349,289,,,,349,349,289,319,,289,319,329,329,299,299,,,319,289,,329,319,,359,329,329,,339,429,289,299,279,329,349,319,299,269,319,289,289,,299,299,379,429,319,329,299,,,269,299,,329,329,319,299,269,,,319,339,319,319,,329,,429,,299,,289,279,319,359,369,289,369,349,299,289,,299,289,279,259,,289,,,429,359,289,289,349,279,269,,279,429,339,249,,349,299,289,,289,,349,299,329,,319,,289,319,429,,,219,,299,,,289,299,,329,279,299,,,,359,279,299,309,319,379,289,,319,,319,,329,,289,,279,279,,279,329,,,239,,339,319,,289,279,289,269,289,319,279,,349,,349,429,299,429,,,,289,199,369,389,,329,319,329,,,329,,,299,329,329,,,,,,,,239,349,,429,329,,289,,,,289,379,229,359,,289,279,289,289,289,329,,389,269,289,,329,299,,289,319,339,329,319,369,289,299,319,319,,339,,,339,329,239,,329,269,319,359,,279,319,289,299,299,279,,309,249,289,,339,329,269,269,,,199,319,319,329,289,329,249,,269,299,319,359,319,319,329,339,,249,289,329,309,,229,329,,319,,289,319,339,,329,359,359,,339,,329,329,,289,,259,349,,,269,269,,299,,,359,289,349,,329,369,329,429,,339,,,319,289,,389,329,359,,379,289,289,269,319,279,289,429,299,,369,,384,249,359,289,,,,319,299,299,299,339,299,,,329,,299,269,,319,319,389,,299,299,379,,339,,399,,359,299,329,319,,299,319,299,289,329,259,339,299,319,299,299,,329,289,259,259,,,329,299,,,,319,429,449,269,,319,,319,289,269,299,319,319,,279,,339,339,382,382,382,382,339,299,279,,,,,259,,,329,319,329,319,,289,289,289,319,,329,289,319,,339,319,,329,329,289,,,289,,329,259,379,279,359,,389,329,299,429,269,299,289,329,279,382,299,329,359,349,,,329,269,279,289,329,359,,329,,,,269,199,,,,259,429,,319,269,289,,329,309,329,279,,319,299,,,399,269,329,,382,339,289,,,,259,279,429,,,,,319,,,,429,319,,,329,349,289,,,,329,,,,279,,,289,,219,319,,319,319,329,449,,,289,,339,319,319,289,339,349,289,299,,,339,279,319,329,339,319,339,279,299,299,329,389,429,299,299,319,429,329,429
Y,259,259,239,239,239,279,259,239,259,239,259,259,269,269,239,289,259,249,239,269,239,259,259,,259,,219,259,219,289,269,259,259,249,269,,279,269,259,249,239,194,229,219,,249,259,239,229,239,199,249,279,199,259,259,259,289,219,259,194,239,249,239,229,199,,229,249,219,239,,279,259,,,289,249,279,199,239,259,259,249,279,289,219,259,239,269,239,229,249,279,259,179,289,239,229,249,259,239,249,259,179,279,219,229,249,199,249,249,199,289,239,259,249,239,259,269,239,,,249,229,259,249,259,259,269,249,,,239,259,229,249,259,250,259,239,249,269,269,249,239,269,269,289,249,269,249,249,239,229,269,249,249,199,239,209,,259,239,279,239,259,279,249,249,249,229,239,249,199,249,319,259,229,259,259,,319,199,269,,249,259,259,269,239,249,259,189,259,239,,289,219,249,259,289,209,239,219,269,,269,249,269,249,269,249,249,,249,,249,189,249,259,249,269,239,229,239,249,229,,269,189,259,239,259,259,199,219,249,199,199,239,219,259,249,,259,239,259,239,289,,289,259,179,269,249,249,269,249,259,269,,229,189,249,249,249,259,289,,189,289,239,269,308,219,289,249,239,219,269,229,,,289,249,249,189,279,,249,249,259,259,269,229,329,249,249,229,249,269,219,,259,249,279,279,239,269,239,229,259,249,,239,249,,308,249,189,199,249,249,239,289,,249,279,229,259,229,229,259,249,229,229,,259,269,259,249,194,,189,239,249,259,259,249,219,,249,239,249,289,239,199,279,269,239,199,209,249,249,189,219,259,229,239,259,219,249,249,,239,279,279,,249,199,249,289,194,259,,229,289,249,259,249,199,,259,289,229,279,219,279,259,279,279,259,239,,249,,,239,229,229,249,289,279,249,249,259,259,199,239,249,199,239,269,249,289,,373,239,279,239,259,259,259,269,249,279,259,329,259,229,279,289,239,269,229,,239,249,239,259,269,219,249,,219,,249,,279,239,239,239,269,239,269,239,259,249,219,319,259,249,229,259,199,259,249,249,249,259,269,259,229,249,269,259,279,239,429,239,,219,,229,239,199,239,249,249,,219,249,269,269,357,357,357,357,357,249,259,259,259,,279,199,,249,249,199,239,259,249,229,219,259,249,269,249,259,249,,269,249,,249,269,219,,,199,,239,199,249,219,279,,249,289,229,239,199,219,259,229,229,357,249,259,279,269,239,259,269,199,259,269,249,279,,259,,,259,199,189,,289,,199,239,194,269,259,229,269,279,249,229,179,259,239,229,,,249,199,279,,357,249,219,,,,219,219,239,259,249,,,289,308,,308,239,269,,,219,259,249,,,,279,,,,199,219,,259,,189,229,249,259,269,249,249,259,249,269,289,259,249,259,259,249,249,259,259,259,,239,209,279,259,239,259,259,239,259,269,269,249,239,219,279,259,239,229,239
Y,329,359,349,359,349,419,369,339,379,339,369,409,399,359,349,369,359,439,349,369,479,379,399,,369,,359,369,339,369,419,409,379,409,359,,379,419,399,399,399,339,379,339,,379,359,299,329,409,329,359,349,339,379,409,399,369,339,349,329,359,399,479,389,299,,369,429,369,369,,429,349,,,369,399,429,329,359,399,389,379,369,379,389,409,389,349,359,329,369,349,369,309,399,379,359,369,399,479,369,399,329,349,379,349,349,299,369,349,339,369,369,359,419,479,349,419,329,,,379,369,369,349,369,369,369,299,,,369,359,379,369,399,359,359,479,369,369,369,339,359,379,419,419,399,419,399,349,399,379,379,409,419,299,389,349,,379,479,429,399,349,399,339,379,349,349,479,369,309,409,419,349,299,369,359,,419,399,359,,369,379,349,369,479,349,369,309,339,379,,369,329,399,359,379,349,389,359,359,,419,379,379,369,369,419,379,,379,,379,309,379,399,349,349,299,339,389,349,349,,379,299,349,369,379,399,369,339,379,319,359,359,349,369,399,,399,479,399,479,369,,369,359,339,419,419,349,369,369,399,419,,349,309,319,349,369,389,369,,309,369,379,349,427,329,419,409,479,349,349,369,,,369,349,419,309,429,,369,349,349,349,339,359,439,419,419,329,349,369,399,,379,369,369,379,359,419,329,359,339,349,,379,359,,427,369,309,349,369,419,359,399,,379,359,339,379,379,349,379,369,319,349,,379,369,379,419,329,,309,369,369,369,349,369,329,,379,359,369,419,389,399,349,389,359,299,319,379,379,309,339,369,389,359,399,359,369,369,,369,429,399,,369,329,369,399,329,369,,319,419,369,359,419,309,,349,369,389,429,359,429,369,349,429,359,479,,359,,,359,299,389,419,399,429,369,419,349,329,319,379,419,339,479,369,409,399,,483,399,429,359,369,369,359,389,359,379,399,399,339,359,399,379,389,399,359,,349,349,419,409,399,359,419,,359,,439,,429,329,359,369,409,349,359,359,349,379,349,419,349,369,349,359,359,369,349,369,419,369,359,369,379,369,369,369,349,479,519,349,,369,,349,349,319,349,399,349,,339,379,399,369,462,462,462,462,462,389,349,359,369,,359,309,,349,369,399,359,399,359,329,369,349,349,409,379,359,399,,399,369,,359,369,339,,,349,,349,299,419,379,429,,419,379,399,479,319,349,349,349,339,462,359,359,429,399,339,399,379,299,349,349,369,429,,389,,,359,319,329,,369,,299,479,339,369,379,339,369,349,369,349,309,349,349,349,,,439,319,379,,462,369,359,,,,339,369,479,399,359,,,379,427,,427,479,379,,,349,399,349,,,,349,,,,309,359,,349,,309,349,349,359,369,379,499,369,379,359,369,389,379,349,349,369,399,349,399,399,,379,349,419,359,379,369,389,349,349,349,369,419,479,369,349,349,479,349,479
Y,579,559,579,619,579,659,599,559,629,629,599,569,619,559,619,599,569,559,529,629,539,579,529,,619,,619,619,549,599,659,569,579,589,559,,649,589,579,579,559,564,579,579,,629,529,589,529,579,559,549,599,579,629,549,579,599,599,629,594,619,529,539,599,539,,599,589,599,599,,539,579,,,599,529,539,559,619,579,599,579,599,599,589,569,599,619,619,599,619,579,619,559,639,599,599,619,659,539,579,519,549,579,649,569,589,539,579,549,549,599,579,579,559,539,529,659,589,,,629,529,619,559,599,599,599,589,,,579,629,589,559,589,629,599,539,589,579,629,579,519,599,589,669,519,589,529,559,579,589,489,579,519,539,549,579,,559,539,539,499,569,639,599,629,599,599,539,629,529,579,659,509,579,619,599,,679,499,619,,579,629,589,589,539,619,619,519,619,569,,599,599,559,589,559,559,559,599,599,,589,629,629,579,589,579,579,,559,,559,579,599,619,599,629,599,549,579,559,599,,579,529,519,579,579,589,629,549,629,499,599,619,549,619,529,,529,539,579,539,599,,599,569,559,589,559,629,559,579,579,569,,569,569,599,589,619,629,599,,579,599,569,629,645,559,659,549,539,579,629,599,,,599,569,589,509,539,,599,549,599,589,519,589,629,559,519,499,619,589,549,,629,579,589,649,619,589,579,599,519,569,,589,579,,649,579,509,559,629,519,619,639,,629,569,589,549,589,499,659,579,569,559,,629,579,599,519,594,,519,529,579,559,589,579,559,,599,599,579,659,619,519,579,629,599,589,599,589,579,579,589,619,579,619,589,519,579,559,,579,539,579,,559,569,629,659,594,559,,569,659,589,589,519,529,,559,599,579,539,629,539,619,579,539,559,539,,619,,,619,579,599,559,649,539,589,599,599,559,499,549,519,569,539,619,539,669,,681,519,539,549,619,619,589,639,589,599,529,679,509,599,649,619,579,579,599,,629,629,599,559,579,569,599,,599,,569,,539,589,619,619,639,599,559,599,569,579,469,689,579,499,579,589,599,599,599,589,519,579,599,579,619,599,629,599,579,539,669,529,,599,,569,529,499,599,629,619,,619,589,649,619,651,651,651,651,648,619,599,579,619,,589,529,,619,579,499,619,579,579,599,529,599,629,599,589,629,619,,639,579,,629,579,599,,,529,,619,539,599,569,539,,579,559,579,539,499,539,619,599,599,651,569,599,539,639,459,589,579,539,629,599,589,539,,619,,,619,499,519,,599,,539,539,589,499,599,499,649,579,579,619,549,629,549,619,,,569,499,639,,651,589,579,,,,529,569,539,629,559,,,559,645,,645,539,599,,,529,599,539,,,,599,,,,529,619,,569,,519,599,589,599,629,579,539,649,549,589,599,659,579,549,579,559,529,599,579,599,,599,539,599,579,619,589,629,599,549,549,629,549,539,569,549,629,539,549,539
Y,519,499,499,569,439,589,479,479,539,,459,469,579,,,405,,,449,499,579,499,489,,,,489,,439,469,,,499,,,,579,,519,499,499,,,,,519,,519,549,529,459,499,,489,519,,499,469,519,489,,569,479,579,,519,,499,499,529,529,,469,569,,,429,479,459,499,569,,479,539,,,459,459,,,569,,,479,439,,579,539,519,,579,579,539,,479,489,459,499,519,499,549,499,469,469,,519,,579,,569,,,,519,489,,,479,499,,529,,,569,,529,489,,539,,579,,529,,499,459,,,579,,,479,519,519,,,499,489,519,,499,,,579,459,569,559,,,539,499,,579,499,519,,619,489,559,,519,,619,469,,,549,,479,,579,,,449,,489,,469,549,489,,529,479,519,499,,,,519,499,539,,,519,,529,,519,,495,,,,519,439,,429,,,,439,,499,539,,,489,519,529,,569,499,,479,,479,579,499,579,469,,405,519,459,,,,,549,499,569,,519,,,519,569,495,429,,,469,,,,449,599,,579,539,459,489,,,489,459,,449,469,,559,439,479,539,499,499,,,489,479,,,549,,519,549,,559,569,,479,489,489,459,,529,,,599,,459,,469,489,569,559,,519,,519,499,529,459,,549,419,529,,579,,519,489,,,449,529,549,529,539,539,469,,499,,549,599,495,469,479,539,499,539,519,539,529,,469,459,,569,,479,539,,,489,,529,,,,479,599,,499,,419,589,,,489,469,,489,429,,459,,469,,479,459,519,579,,,,,589,559,,,579,459,,,529,519,529,519,489,489,579,,,579,,593,,469,459,,,,599,489,,489,599,489,519,,,,519,,,519,529,,,519,489,,,499,,,,459,489,589,469,,519,,519,539,529,,639,479,529,,499,419,,,459,489,,,499,,,,,479,579,599,449,,479,,519,479,529,,,,,529,,,519,,,,,556,495,479,,,,,479,,,539,469,569,519,519,,469,479,539,,539,479,,,,539,,,,499,,,479,,569,519,,469,469,,,,519,579,529,519,529,,,,,529,449,579,,,,499,539,539,549,469,,599,,,,529,519,,469,,519,579,,,519,469,,479,539,549,479,,529,,,,,529,569,,,459,489,,,,499,499,579,,,,,489,599,,,579,,,,549,,459,,,,499,,,,459,439,,549,,449,,419,,459,539,579,,,479,469,579,539,529,539,,479,529,519,,,539,489,,,495,449,579,,,,479,,579,,,,579,519,579
Y,569,559,539,599,539,669,559,529,619,499,559,569,679,559,559,629,559,619,539,579,589,579,519,,599,,519,599,499,619,659,569,579,589,509,,619,599,559,579,539,574,559,599,,599,559,559,599,559,519,549,579,549,599,569,559,599,589,589,604,599,539,589,559,579,,579,569,539,599,,549,579,,,629,529,549,529,599,599,579,589,549,549,549,559,559,599,599,549,599,579,539,599,679,549,539,599,649,589,579,519,539,579,559,529,549,569,589,569,549,629,569,579,619,589,529,649,539,,,599,549,619,519,549,549,519,569,,,599,519,579,579,599,569,559,589,619,559,599,539,559,529,589,679,529,599,539,539,579,569,529,559,519,579,579,559,,559,589,549,579,569,649,499,619,599,539,589,579,599,579,689,559,619,599,569,,689,559,519,,589,629,579,539,589,599,599,539,589,569,,599,569,519,599,569,539,559,599,569,,589,599,579,579,579,619,559,,579,,589,599,579,599,519,559,559,529,569,539,519,,559,499,519,569,579,599,629,519,599,579,589,599,569,599,529,,539,589,559,589,599,,599,569,529,589,619,559,549,589,559,599,,559,539,579,579,599,579,619,,549,599,559,529,654,499,669,549,589,559,549,549,,,619,559,619,539,549,,579,539,579,579,569,539,649,619,519,529,559,579,579,,599,589,559,619,599,589,539,569,559,559,,549,579,,654,579,549,559,539,519,599,659,,599,559,549,579,589,529,619,589,519,559,,629,539,599,519,604,,539,579,589,559,549,579,549,,579,579,589,679,579,559,579,579,599,569,619,589,579,599,549,559,559,599,599,529,579,579,,559,549,579,,579,599,549,669,604,559,,519,669,619,599,519,559,,559,629,559,549,619,549,599,579,549,559,589,,539,,,619,619,559,619,659,549,619,569,549,579,579,579,519,529,589,539,539,679,,681,519,559,559,599,599,559,659,559,529,519,659,559,619,679,539,569,559,529,,549,569,579,569,559,529,599,,539,,619,,549,559,619,539,679,549,559,579,549,579,489,699,579,569,559,599,519,549,519,539,519,559,559,539,519,559,629,629,579,589,669,549,,559,,549,549,579,519,579,539,,559,559,649,579,669,669,669,669,652,579,579,559,599,,569,569,,559,579,559,599,559,589,519,569,579,559,579,589,579,569,,649,579,,529,539,529,,,539,,599,579,589,549,549,,569,569,559,589,579,549,569,519,499,669,569,579,549,679,499,599,559,569,639,549,589,549,,649,,,579,579,549,,599,,579,589,574,549,599,529,619,579,579,569,499,569,549,549,,,619,579,619,,669,519,529,,,,529,549,589,599,559,,,539,659,,654,589,559,,,569,599,559,,,,599,,,,549,539,,559,,539,519,519,539,559,589,589,619,559,579,599,649,589,559,549,579,559,549,559,599,,549,539,579,549,579,549,629,519,579,549,559,619,589,549,549,539,589,549,589
Y,100,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,100,169,139,199,139,229,149,169,179,149,149,129,229,209,159,199,119,129,139,179,149,179,139,,189,,159,189,129,199,229,189,159,189,199,,169,169,149,119,149,159,159,159,,169,169,100,129,119,139,139,189,100,169,209,139,199,169,159,149,199,139,149,179,149,,189,159,159,159,,149,129,,,199,139,159,129,199,229,119,179,149,159,159,129,169,169,199,129,149,159,149,139,229,159,169,149,139,149,139,149,129,159,139,119,129,129,159,139,129,199,139,179,119,149,179,219,139,,,169,119,129,139,139,149,129,100,,,129,139,159,169,229,129,159,149,149,139,179,199,119,159,169,229,139,169,139,179,129,159,179,129,119,149,169,149,,149,149,159,199,129,219,149,179,159,139,149,179,149,219,139,159,129,189,169,,139,139,149,,169,119,139,129,149,169,189,139,139,139,,199,159,139,119,119,129,199,159,119,,169,179,179,159,159,119,149,,139,,169,159,179,229,169,139,100,139,169,129,139,,159,149,159,159,159,229,139,129,169,129,139,199,149,189,149,,129,149,149,149,199,,199,119,149,149,139,159,159,169,139,199,,129,139,169,149,199,179,199,,139,199,169,179,222,129,199,199,149,129,149,159,,,199,129,129,139,169,,159,129,139,129,129,179,179,149,119,129,159,179,159,,179,159,169,179,199,149,149,159,159,129,,169,209,,222,139,159,179,189,119,199,229,,179,129,199,149,129,129,169,169,119,100,,159,179,169,119,139,,139,129,159,179,139,159,129,,179,129,179,199,179,139,179,199,179,100,149,169,179,149,129,129,169,199,229,129,159,139,,159,159,199,,139,139,129,139,169,129,,119,229,149,119,119,149,,129,199,179,169,139,169,189,179,169,199,149,,149,,,199,119,169,129,119,169,149,129,129,149,129,139,119,129,149,129,209,229,,223,139,159,119,189,189,189,199,159,159,149,129,159,159,219,149,179,139,139,,129,129,149,189,139,169,159,,179,,139,,159,139,199,189,219,139,129,169,129,159,149,149,139,169,129,119,149,159,139,129,119,159,159,139,139,159,119,129,169,149,219,139,,159,,119,129,129,139,159,129,,100,169,219,139,223,223,223,223,219,179,139,179,189,,209,159,,139,179,139,199,139,169,149,129,139,129,199,169,139,149,,219,159,,149,159,179,,,129,,199,149,119,159,169,,139,179,129,149,129,129,129,169,139,223,189,139,159,229,169,229,159,129,179,129,159,159,,149,,,119,129,139,,199,,149,149,179,189,169,129,199,159,159,129,119,159,129,139,,,149,129,169,,223,129,169,,,,129,159,149,229,189,,,119,199,,222,149,189,,,129,159,129,,,,169,,,,149,129,,129,,139,149,129,139,129,159,149,189,169,139,199,139,159,129,129,139,139,129,139,229,,169,129,159,159,179,159,159,159,159,189,129,149,149,169,169,149,149,119,149
