nsn,address,items_with_price,lat,lon
26,"4320 N CICERO, CHICAGO, IL, 60651",520,41.959279,-87.7479
28,"4830 DEMPSTER STREET, SKOKIE, IL, 60077-2253",454,42.041067,-87.748655
29,"6560 S STONEY ISLAND AVE, CHICAGO, IL, 60637",444,41.775364,-87.586815
32,"444 SO RIVER ROAD, DES PLAINES, IL, 60016-4731",483,42.045303,-87.885418
49,"1515 WEST JEFFERSON AVENUE, JOLIET, IL, 60435",456,41.523169,-88.119486
53,"1 EAST NORTH AVENUE, NORTHLAKE, IL, 60164-2517",433,41.906697,-87.902444
55,"225 E OGDEN AVE, DOWNERS GROVE, IL, 60515-3144",441,41.809285,-87.992009
56,"3241 W PETERSON, CHICAGO, IL, 60645",487,41.990025,-87.710477
59,"656 RIVER OAKS DRIVE, CALUMET CITY, IL, 60409-5712",456,41.600419,-87.54101
72,"1023 N LAKE ST, AURORA, IL, 60506-2415",457,41.778619,-88.315176
73,"445 W ROOSEVELT RD, GLEN ELLYN, IL, 60137-5622",441,41.858888,-88.070553
76,"3600 UNIVERSITY, PEORIA, IL, 61604",461,40.731422,-89.612153
78,"350 E SAINT CHARLES RD, VILLA PARK, IL, 60181-2420",444,41.89035,-87.969657
80,"401 SUMMIT ST, ELGIN, IL, 60120",403,42.045882,-88.275459
82,"1117 HOWARD STREET, EVANSTON, IL, 60202",410,42.019769,-87.687685
83,"5022 N HARLEM AVE, HARWOOD HEIGHTS, IL, 60656",423,41.971593,-87.807549
87,"1570 E NORTHWEST HWY, PALATINE, IL, 60074-7609",405,42.094828,-88.006031
88,"804 S MAIN ST, NORMAL, IL, 61701",431,40.503316,-88.994414
90,"3433 AVENUE OF THE CITIES, MOLINE, IL, 61265-4418",431,41.491834,-90.488028
101,"530 S WAUKEGAN RD, GLENVIEW, IL, 60025",419,42.064885,-87.800098
108,"109 SOUTH GILBERT STREET, DANVILLE, IL, 61832-6229",428,40.11941,-87.636623
119,"1330 N MILWAUKEE AVE, LIBERTYVILLE, IL, 60048-1309",415,42.297577,-87.955959
154,"1072 NORTH HENDERSON STREET, GALESBURG, IL, 61401-2553",462,40.960592,-90.383623
168,"1825 S MACARTHUR BLVD, SPRINGFIELD, IL, 62704-4029",0,39.780538,-89.668691
189,"1915 W MAIN ST, ST. CHARLES, IL, 60174",405,41.912323,-88.337488
199,"6900 W OGDEN AVE, BERWYN, IL, 60402-3648",0,41.825899,-87.795382
204,"2211 GREENBAY ROAD, NORTH CHICAGO, IL, 60064-3006",416,42.318938,-87.865492
216,"805 W LINCOLN HWY, DEKALB, IL, 60115",413,41.931531,-88.768113
240,"2425 E 79TH ST, CHICAGO, IL, 60649",457,41.751366,-87.565351
278,"226 SIBLEY BLVD, DOLTON, IL, 60419",479,41.623019,-87.628481
302,"1912 E HIGGINS, ELK GROVE VILLAGE, IL, 60007-2503",430,42.02176,-87.957224
315,"7969 N MILWAUKEE AVE, NILES, IL, 60648",416,42.025813,-87.813292
326,"1660 KENNEDY DR, CARPENTERSVILLE, IL, 60110",429,42.113227,-88.25833
329,"188 EAST DUNDEE ROAD, WHEELING, IL, 60090-3033",413,42.140083,-87.9112
335,"5733 S KEDZIE AVE, CHICAGO, IL, 60639",411,41.788561,-87.703214
396,"4422 W MAIN ST, BELLEVILLE, IL, 62223-5505",0,38.540225,-90.023392
401,"7135 W ROOSEVELT RD, BERWYN, IL, 60402",440,41.864685,-87.803293
415,"11920 S. WESTERN AVE, BLUE ISLAND, IL, 60406-1117",428,41.676854,-87.681036
475,"627 N WESTERN, WEST PEORIA, IL, 61604",470,40.695624,-89.623351
490,"10320 S KEDZIE AVE, CHICAGO, IL, 60655-2016",422,41.70573,-87.70162
512,"3201 E BROADWAY, QUINCY, IL, 62301-3711",432,39.935587,-91.364523
566,"1110 CAMP JACKSON RD, CAHOKIA, IL, 62206-2230",434,38.562944,-90.177504
600,"420 DES PLAINES AVE, FOREST PARK, IL, 60130",465,41.879081,-87.813542
715,"111 W MADISON ST, OAK PARK, IL, 60302-4205",400,41.879783,-87.777934
716,"100 W RAND RD, MOUNT PROSPECT, IL, 60056-1130",0,42.082397,-87.937754
738,"3010 WEST 159TH STREET, MARKHAM, IL, 60426-4026",458,41.601135,-87.690365
753,"9128 SOUTH CICERO AVENUE, OAK LAWN, IL, 60453",406,41.726831,-87.741474
770,"3855 W LAWRENCE AVE, CHICAGO, IL, 60625-6228",519,41.968026,-87.724866
799,"1300 W GALENA, FREEPORT, IL, 61032",412,42.302022,-89.645017
805,"6720 W ARCHER AVE, CHICAGO, IL, 60638",428,41.792351,-87.789879
812,"7601 S VINCENNES AVENUE, CHICAGO, IL, 60620-1622",456,41.755288,-87.632212
844,"2609 S KEDZIE AVE, CHICAGO, IL, 60623-4731",500,41.843972,-87.704795
853,"227 W NORTHWEST HWY, BARRINGTON, IL, 60010-3168",422,42.161183,-88.139444
866,"6125 N MILWAUKEE AVE, CHICAGO, IL, 60646",463,41.99328,-87.78351
870,"14601 SOUTH PULASKI AVE, MIDLOTHIAN, IL, 60445-2826",461,41.626951,-87.717296
888,"1480 LARKIN AVE, ELGIN, IL, 60123",401,42.035018,-88.314138
891,"1013 COURT ST, PEKIN, IL, 61554-4817",449,40.565658,-89.636829
897,"1443 E 87TH ST, CHICAGO, IL, 60619-6546",454,41.736593,-87.588902
910,"11 NORTH FIRST AVENUE, MAYWOOD, IL, 60153-1601",421,41.888353,-87.833462
912,"2635 NORTH CLARK STREET, CHICAGO, IL, 60614-1524",411,41.930713,-87.643502
933,"1515 JOHNSON ROAD, GRANITE CITY, IL, 62040-3831",426,38.723599,-90.121434
1000,"1101 OAKTON STREET, DES PLAINES, IL, 60016",483,42.023469,-87.897032
1001,"1835 E EL DORADO, DECATUR, IL, 62521-2125",425,39.845876,-88.931652
1018,"1605 S NEIL, CHAMPAIGN, IL, 61820-7250",427,40.097526,-88.245203
1152,"4010 W 211TH ST, MATTESON, IL, 60443-2442",412,41.506621,-87.714662
1340,"2400 HOMER ADAMS PKY, ALTON, IL, 62002-5614",417,38.91618,-90.151543
1344,"2748 SKOKIE VALLEY RD, HIGHLAND PARK, IL, 60035-1043",0,42.202333,-87.834933
1369,"1988 1ST AVE, HIGHLAND PARK, IL, 60035-3135",420,42.188675,-87.801888
1392,"501 W LAKE ST, ADDISON, IL, 60101-2306",426,41.936994,-88.000856
1393,"19767 S HALSTED STREET, CHICAGO HEIGHTS, IL, 60411",441,41.528411,-87.635274
1460,"920 N YORK RD, ELMHURST, IL, 60126-5115",400,41.927692,-87.940201
1463,"1620 OGDEN AVE, DOWNERS GROVE, IL, 60515",0,41.808676,-88.0255
1493,"520 WEST MORTON, JACKSONVILLE, IL, 62650-2875",463,39.72348,-90.237419
1494,"809 PLAINFIELD RD, DARIEN, IL, 60561-4215",420,41.752496,-87.964866
1513,"522 W GOLF RD, SCHAUMBURG, IL, 60195",0,42.049225,-88.093504
1537,"2102 W MAIN ST, CARBONDALE, IL, 62901-2001",0,37.729604,-89.24357
1581,"6400 W MONTROSE, HARWOOD HEIGHTS, IL, 60634",421,41.960526,-87.787429
1627,"3005 N WATER ST, DECATUR, IL, 62526-2464",433,39.877055,-88.955551
1654,"522 W JEFFERSON ST, SPRINGFIELD, IL, 62702-5014",452,39.802728,-89.661056
1655,"2111 MIDWEST RD, OAK BROOK, IL, 60523",434,41.84747,-87.971915
1715,"9815 N. MILWAUKEE AVE, GLENVIEW, IL, 60716",480,42.059082,-87.841829
1727,"5441 WEST 159TH STREET, OAK FOREST, IL, 60452-3275",456,41.602668,-87.75328
1729,"1704 PLAINFIELD RD, CREST HILL, IL, 60403-1953",449,41.554287,-88.124034
1771,"6300 N ILLINOIS ST, FAIRVIEW HEIGHTS, IL, 62208-2719",504,38.591174,-89.984255
1783,"1920 N ARLINGTON HEIGHTS RD, ARLINGTON HEIGHTS, IL, 60004-3107",406,42.111584,-87.981093
1786,"7100 WEST 127TH STREET, PALOS HEIGHTS, IL, 60463",408,41.661317,-87.793731
1863,"2627 N MANNHEIM RD, FRANKLIN PARK, IL, 60131-3136",494,41.926749,-87.883882
1919,"2205 N KNOXVILLE, PEORIA, IL, 61603",458,40.714727,-89.594441
1924,"100 SAUK TRAIL RD, SOUTH CHICAGO HEIGHT, IL, 60411",414,41.480494,-87.639065
1968,"5614 N CLARK ST, CHICAGO, IL, 60660-4109",408,41.983986,-87.669297
2000,"725 W GOLF RD, DES PLAINES, IL, 60016-2414",478,42.047169,-87.937794
2006,"8415 S PULASKI RD., CHICAGO, IL, 60652-3119",416,41.74007,-87.721285
2053,"924 SHOOTING PARK RD, PERU, IL, 61354-1874",435,41.33811,-89.117689
2077,"2806 BROADWAY, MOUNT VERNON, IL, 62864-2301",473,38.315523,-88.926468
2106,"300 E ROOSEVELT RD, LOMBARD, IL, 60148-4628",441,41.860686,-88.009554
2114,"125 SOUTH BELT EAST, BELLEVILLE, IL, 62220",419,38.502964,-89.982147
2171,"355 S SCHMALE RD, CAROL STREAM, IL, 60188",454,41.894067,-88.102416
2215,"3132 W 183RD ST, HOMEWOOD, IL, 60430-2807",442,41.557636,-87.693309
2224,"2028 SHERIDAN RD, ZION, IL, 60099-4119",444,42.458295,-87.825738
2238,"1602 N BLOOMINGTON, STREATOR, IL, 61364",436,41.138059,-88.836342
2242,"127 E NORRIS DR, OTTAWA, IL, 61350-1514",428,41.35589,-88.840067
