nsn,address,items_with_price,lat,lon
112,"500 E CHARLES ST, MUNCIE, IN, 47305-2610",409,40.191292,-85.381274
128,"7502 LINCOLN HIGHWAY E, FORT WAYNE, IN, 46803-3262",420,41.069272,-85.045275
156,"255 E COLISEUM BLVD, FORT WAYNE, IN, 46805-1002",429,41.118651,-85.139342
270,"130 N MAIN ST, ELKHART, IN, 46516-3037",439,41.688119,-85.973391
289,"2300 N WALNUT ST, BLOOMINGTON, IN, 47404",520,39.187175,-86.533684
290,"3507 S FRANKLIN, MICHIGAN CITY, IN, 46361",419,41.690455,-86.894232
383,"1420 EASTERN BLVD, CLARKSVILLE, IN, 47129-1706",448,38.309233,-85.769586
470,"1225 N BALDWIN AVE, MARION, IN, 46952-2533",432,40.573743,-85.675876
493,"416 NORTH MICHIGAN STREET, SOUTH BEND, IN, 46601-1228",417,41.680982,-86.249984
574,"2001 SOUTH MICHIGAN STREET, SOUTH BEND, IN, 46613-2317",417,41.653325,-86.25027
758,"3745 N POST RD, INDIANAPOLIS, IN, 46226-6063",425,39.825517,-86.009443
851,"2524 S. COUNTY LINE ROAD, EAST, INDIANAPOLIS, IN, 46227-6317",441,39.635927,-86.118031
881,"1725 E MAIN ST, RICHMOND, IN, 47374-5703",424,39.829315,-84.878651
885,"4645 WEST 38TH STREET, INDIANAPOLIS, IN, 46222",424,39.823341,-86.236856
961,"6437 COLUMBIA AVE, HAMMOND, IN, 46320-2747",398,41.596072,-87.499761
988,"5140 WEST WASHINGTON STREET, INDIANAPOLIS, IN, 46241-2206",428,39.754121,-86.247051
993,"3435 W 16TH ST, INDIANAPOLIS, IN, 46222-2659",402,39.787467,-86.217567
1030,"305 SOUTH TILLOTSON AVENUE, MUNCIE, IN, 47304-4358",407,40.19185,-85.41938
1081,"3201 E MARKET ST, LOGANSPORT, IN, 46947",423,40.757546,-86.326767
1150,"4701  LINCOLN AVENUE, EVANSVILLE, IN, 47715",448,37.969177,-87.49384
1328,"1430 S NAPPANEE ST, ELKHART, IN, 46516",439,41.675234,-86.002713
1420,"2002 CALUMET AVENUE, VALPARAISO, IN, 46383-2706",416,41.486576,-87.049501
1569,"5416 SOUTH EAST STREET, INDIANAPOLIS, IN, 46227-1920",418,39.689065,-86.149345
1570,"605 STADIUM AVE, WEST LAFAYETTE, IN, 47906-2667",427,40.431055,-86.913147
1649,"1880 NATIONAL RD, COLUMBUS, IN, 47201-4503",454,39.218121,-85.88603
1662,"901 E MCGALLIARD ST, MUNCIE, IN, 47303-2022",407,40.21866,-85.376244
1790,"7190 PENDLETON PIKE, INDIANAPOLIS, IN, 46226-5172",441,39.82942,-86.042393
1814,"1934 N SHADELAND AVE, INDIANAPOLIS, IN, 46219",476,39.794628,-86.046396
1864,"164 PINE LAKE ROAD, LA PORTE, IN, 46350",431,41.615632,-86.731986
1878,"515 RIDGE RD, MUNSTER, IN, 46321",428,41.562549,-87.515425
1883,"6810 BLUFFTON RD, FORT WAYNE, IN, 46809-2702",435,41.019048,-85.169893
1886,"3032 WABASH, TERRE HAUTE, IN, 47803-1516",542,39.47218,-87.372832
1979,"7915 EAST RIDGE RD, HOBART, IN, 46342-2454",418,41.550249,-87.242138
2008,"2621 CHARLESTOWN RD, NEW ALBANY, IN, 47150-2536",440,38.31618,-85.80502
2020,"2819 E 3RD ST, BLOOMINGTON, IN, 47401-5434",523,39.164881,-86.495374
2151,"1706 ELKHART RD, GOSHEN, IN, 46526-1940",443,41.593947,-85.85782
2199,"3639 169TH ST, HAMMOND, IN, 46303",455,41.588528,-87.440476
2233,"913 EAST TIPTON ST, SEYMOUR, IN, 47274",395,38.958324,-85.875887
2239,"1011 WEST MCKINLEY, MISHAWAKA, IN, 46545",392,41.679919,-86.194758
2381,"805 E JEFFERSON ST, TIPTON, IN, 46072-1853",414,40.282318,-86.030839
2508,"2230 S SHERMAN DR, INDIANAPOLIS, IN, 46203-4854",414,39.736905,-86.102225
2551,"2010 BURTON LANE, MARTINSVILLE, IN, 46151",0,39.408087,-86.437561
2582,"744 CLIFTY DR, MADISON, IN, 47250-1613",451,38.775361,-85.402792
2611,"1490 N STATE ST, GREENFIELD, IN, 46140-1058",450,39.804046,-85.770431
2612,"1508 SOUTH WASHINGTON, CRAWFORDSVILLE, IN, 47933-3813",387,40.023913,-86.902395
2614,"6061 E 82ND ST, INDIANAPOLIS, IN, 46250-1524",538,39.904799,-86.064141
2657,"1810 E CONNER STREET, NOBLESVILLE, IN, 46060-3052",454,40.045972,-86.000974
2666,"5 W SOUTH ST, MOORESVILLE, IN, 46158-1731",387,39.608178,-86.375517
2675,"510 SAGAMORE PKWY N, LAFAYETTE, IN, 47904-2828",435,40.422205,-86.859002
