nsn,address,items_with_price,lat,lon
209,"3093 HAMILTON BLVD, SIOUX CITY, IA, 51104-2407",420,42.523697,-96.417769
398,"6125 GRAND AVE, DES MOINES, IA, 50312-1418",447,41.583082,-93.700864
478,"3610 MERLE HAY ROAD, DES MOINES, IA, 50310-1245",457,41.628199,-93.698284
644,"1725 ROOSEVELT RD, BURLINGTON, IA, 52601-2320",408,40.82671,-91.141903
887,"2515 MAIN ST, CEDAR FALLS, IA, 50613-5124",398,42.514168,-92.44623
909,"4105 MORNINGSIDE AVE, SIOUX CITY, IA, 51106-2945",420,42.47104,-96.354279
1395,"2615 WILLIAMS BLVD SW, CEDAR RAPIDS, IA, 52404-1549",413,41.963969,-91.706967
1538,"1915 JOHN F KENNEDY RD, DUBUQUE, IA, 52002-3813",511,42.504347,-90.721773
1728,"2509 5TH AVE S, FORT DODGE, IA, 50501-5552",438,42.500807,-94.161548
2316,"620 IOWA ST, DUBUQUE, IA, 52001-4836",511,42.499857,-90.664777
3179,"3000 SE 14TH ST, DES MOINES, IA, 50320",479,41.557744,-93.597541
3207,"401 ANKENY BLVD, ANKENY, IA, 50023",482,41.728012,-93.6
3456,"726 1ST AVENUE E., NEWTON, IA, 50208-3306",450,41.699772,-93.04468
4038,"2010 MAIN STREET, KEOKUK, IA, 52632-3224",0,40.40768,-91.396396
4253,"618 1ST AVE, CORALVILLE, IA, 52241-2102",436,41.677971,-91.566566
4270,"3621 LINCOLN WAY, AMES, IA, 50010-7534",431,42.023342,-93.668627
4284,"610 33RD AVENUE, S.W., CEDAR RAPIDS, IA, 52404-3925",408,41.943473,-91.677217
4304,"3402 AVE L, FORT MADISON, IA, 52627-3455",394,40.626246,-91.35581
4401,"222 RICHMOND ST, OTTUMWA, IA, 52501-4226",415,41.00505,-92.425787
4576,"804 S RIVERSIDE DR, IOWA CITY, IA, 52240",433,41.650111,-91.539565
4665,"506 ALLISON, CHARLES CITY, IA, 50616-3709",400,43.061997,-92.674521
4710,"1651-4TH STREET S.W., MASON CITY, IA, 50401-1602",399,43.148,-93.22697
4749,"2 PLAZA DR, CLEAR LAKE, IA, 50428-2031",393,43.146436,-93.35994
4761,"2520 PARK AVENUE, MUSCATINE, IA, 52761-5637",417,41.451508,-91.031123
5014,"100-6TH AVENUE, MARION, IA, 52302-3201",0,42.031629,-91.6104
5126,"2955 NORTH PLAINVIEW RD, WALCOTT, IA, 52773-8522",430,41.61357,-90.782528
5215,"1709 LAPORTE RD, WATERLOO, IA, 50702-2717",416,42.469863,-92.322077
5258,"703 A AVE W, OSKALOOSA, IA, 52577-2031",424,41.29667,-92.652484
5267,"1001 HAWKEYE AVE SE, LEMARS, IA, 51031",422,42.781245,-96.182938
5317,"3215 ADVENTURELAND DR, ALTOONA, IA, 50009-9571",446,41.658879,-93.496762
5326,"1321 HWY 169 N, ALGONA, IA, 50511-1006",439,43.080557,-94.236678
5406,"2510 CENTRAL AVE, ESTHERVILLE, IA, 51334-2771",0,43.398936,-94.81045
5489,"1705 W BURLINGTON AVE, FAIRFIELD, IA, 52556",417,41.006899,-91.982572
5490,"5725 DRY CREEK LN NE, CEDAR RAPIDS, IA, 52402",416,42.035759,-91.655877
5567,"1227 S MARSHALL, BOONE, IA, 50036-5306",447,42.042454,-93.878847
5631,"4825 MERLE HAY RD, DES MOINES, IA, 50322",450,41.648184,-93.696622
5810,"1207 N JEFFERSON, INDIANOLA, IA, 50125-1455",439,41.372116,-93.558963
5880,"3102 W LOCUST, DAVENPORT, IA, 52804-3348",447,41.538646,-90.621625
5942,"400 FAIR MEADOW DR, WEBSTER CITY, IA, 50595-3161",440,42.45342,-93.817044
6077,"608 WYOMING AVE, CRESTON, IA, 50801-3436",437,41.049498,-94.369236
6110,"504 S FREMONT, SHENANDOAH, IA, 51601-1508",445,40.761948,-95.385553
6128,"1406 S LINCOLN, KNOXVILLE, IA, 50138-3425",432,41.30743,-93.110151
6134,"HWY 71, OKOBOJI, IA, 51355",447,43.387731,-95.126244
6299,"2460 STATE ST, BETTENDORF, IA, 52722-5037",0,41.52603,-90.499043
6317,"3658 KIMBALL AVENUE, WATERLOO, IA, 50702-5731",418,42.45963,-92.357508
6612,"1510 E 7TH ST, ATLANTIC, IA, 50022-1907",397,41.404395,-94.990673
6993,"2441 NORTHGATE DR, OTTUMWA, IA, 52501-1117",408,41.049729,-92.411752
6998,"610 W 1ST ST, CEDAR FALLS, IA, 50613-2616",401,42.537312,-92.452509
7697,"1220 JEFFREYS DR, OSCEOLA, IA, 50213-9802",437,41.028638,-93.782581
8032,"915 SHORT ST, DECORAH, IA, 52101-2412",397,43.290721,-91.796785
8198,"2250 FLINT HILL DR, DUBUQUE, IA, 52003-7993",513,42.45903,-90.674188
10018,"607 LEWIS BLVD, SIOUX CITY, IA, 51102",421,42.496925,-96.378737
10182,"1530 FIRST AVE N.E., CEDAR RAPIDS, IA, 52402-5124",0,41.988977,-91.651901
10279,"1733 E KIMBERLY RD, DAVENPORT, IA, 52804",463,41.556478,-90.549751
10612,"309 OSKALOOSA STREET, PELLA, IA, 50219-2121",430,41.397309,-92.902433
10716,"1620 BROAD ST, STORY CITY, IA, 50248-1565",450,42.186916,-93.574114
10776,"1019 W PLATT ST, MAQUOKETA, IA, 52060-2041",435,42.068482,-90.679053
10855,"6TH & UNIVERSITY - MERCY HOSPITAL, DES MOINES, IA, 50314",0,41.598701,-93.623332
10909,"I 80 & HWY 149, WILLIAMSBURG, IA, 52361-0780",423,41.68937,-92.006601
11004,"1751 MADISON, COUNCIL BLUFFS, IA, 51503",410,41.245986,-95.825931
11278,"1202 S 16TH ST, CLARINDA, IA, 51632-2919",405,40.726708,-95.037104
11386,"1861 LOWER MUSCATINE RD, IOWA CITY, IA, 52244",424,41.643516,-91.50895
11458,"1607 W. BROADWAY, COUNCIL BLUFFS, IA, 51501-3821",412,41.261549,-95.868113
11516,"11400 FOREST LN, CLIVE, IA, 50325-7031",448,41.601013,-93.771741
11548,"2816 SINGING HILLS BLVD, SIOUX CITY, IA, 51111-1034",424,42.433914,-96.3725
11622,"3441 86TH ST, URBANDALE, IA, 50322-4005",0,41.625477,-93.735916
11754,"3275 EUCLID AVE E, DES MOINES, IA, 50317-3845",452,41.627462,-93.552275
11833,"325 1ST ST, PERRY, IA, 50220-1933",424,41.831073,-94.107479
11872,"100 N. WILLOW ROAD, MISSOURI VALLEY, IA, 51555",393,41.551214,-95.911035
11896,"2110 W KIMBERLY RD, DAVENPORT, IA, 52806-5368",450,41.560435,-90.607541
11944,"729 N 2ND ST, CLINTON, IA, 52732-3837",446,41.852053,-90.186426
11970,"700 WOHLLEBER DRIVE, MOUNT PLEASANT, IA, 52641",416,40.974659,-91.538638
12101,"1345 E EUCLID, DES MOINES, IA, 50316-1259",423,41.627324,-93.601428
12204,"5002 WELCOME WAY, DAVENPORT, IA, 52806",449,41.571435,-90.572311
12235,"1320 JORDAN CREEK PKWY, WEST DES MOINES, IA, 50266",463,41.58956,-93.809709
12288,"120 SE 7TH ST, STUART, IA, 50250",458,41.49554,-94.317481
12315,"412 N OAK ST, IOWA FALLS, IA, 50126",398,42.521097,-93.262308
12811,"350 EVANSDALE DR, EVANSDALE, IA, 50707",424,42.459198,-92.250483
16827,"2502 SE DELAWARE AVE, ANKENY, IA, 50021",484,41.70427,-93.581865
17678,"107 AVE O W, FORT DODGE, IA, 50501",445,42.486527,-94.207797
18098,"101 34TH AVE, SHELDON, IA, 51201",395,43.185589,-95.816067
18099,"729 HAMILTON BLVD, SIOUX CITY, IA, 51103",422,42.504121,-96.418585
18443,"2720 IOWA AVE N, ONAWA, IA, 51040",471,42.02779,-96.126264
18447,"2101 ANTIQUE CITY DR STE 2, WALNUT, IA, 51577",0,41.499557,-95.22147
18499,"1500 N 2ND ST, CHEROKEE, IA, 51012",473,42.768165,-95.552513
18501,"5200 EDGEWOOD RD NE, CEDAR RAPIDS, IA, 52411",398,42.030877,-91.70081
18744,"4201 FLEUR DR, DES MOINES, IA, 50309",485,41.546246,-93.644652
18745,"1510 9TH STREET SE, DYERSVILLE, IA, 52040",443,42.470894,-91.115072
19387,"1720 11TH ST, DEWITT, IA, 52742",441,41.826159,-90.556014
19605,"200 W. MADISON ST, WASHINGTON, IA, 52353",407,41.296957,-91.693544
19642,"1 1ST AVE SE, OELWEIN, IA, 50662",407,42.677731,-91.91168
19677,"610 SOUTH DOWNEY, WEST BRANCH, IA, 52358",436,41.662413,-91.3474
19678,"1055 SHERRYLYNN BLVD, PLEASANT HILL, IA, 50317",445,41.598559,-93.506183
21539,"1000 NORTH 18TH STREET SUITE 1, CENTERVILLE, IA, 52544",425,40.7421,-92.868521
21540,"101 GATEWAY DR, GRIMES, IA, 50111",469,41.687987,-93.779302
21541,"710 ARMY POST RD, DES MOINES, IA, 50309",488,41.525829,-93.623975
22072,"5494 NW 86TH ST, JOHNSTON, IA, 50131",451,41.660138,-93.737379
22306,"2222 LOGAN AVE, WATERLOO, IA, 50703",420,42.531059,-92.336844
22844,"2440 MORMON TREK BLVD, IOWA CITY, IA, 52240",432,41.637052,-91.565039
23426,"706 WEST ST, GRINNELL, IA, 50112",425,41.740987,-92.72694
23477,"500 HWY 39 N, DENISON, IA, 51442",436,42.021354,-95.368013
23722,"1404 DES MOINES ST, DES MOINES, IA, 50316",482,41.594924,-93.59782
23903,"1811 1ST ST W, INDEPENDENCE, IA, 50644",0,42.467891,-91.917443
24054,"729 W MILWAUKEE ST, NEW HAMPTON, IA, 50659",403,43.067544,-92.327769
24291,"610 30TH AVE, COUNCIL BLUFFS, IA, 51501",414,41.231261,-95.850246
24305,"2010 SOUTH FEDERAL AVENUE, MASON CITY, IA, 50401",399,43.132119,-93.201971
24306,"3002 FOREST AVE, DES MOINES, IA, 50311",469,41.603643,-93.658786
24462,"745 SOUTH 51ST STREET, WEST DES MOINES, IA, 50265",452,41.558467,-93.773823
24588,"3402 S CENTER ST, MARSHALLTOWN, IA, 50158",443,42.008534,-92.912177
24757,"900 WELLSHIRE DRIVE, BURLINGTON, IA, 52601",406,40.799954,-91.142242
24935,"1815 B AVE S, NEVADA, IA, 50201",408,42.010626,-93.435618
25151,"1804 LINCOLN WAY, CLINTON, IA, 52732",464,41.816608,-90.228279
25186,"125 LAUREL ST, WAUKEE, IA, 50263",463,41.614424,-93.868218
25254,"1403 WALNUT STREET, COLFAX, IA, 50054",0,41.695303,-93.247825
25366,"3695 UNIVERSITY AVE, WATERLOO, IA, 50701",420,42.50346,-92.399626
26384,"701 11TH STREET SW, SPENCER, IA, 51301",402,43.127266,-95.1548
27165,"2794 COMMERCE DRIVE, CORALVILLE, IA, 52241",433,41.69544,-91.609526
27261,"8905 RUNWAY CT SW, CEDAR RAPIDS, IA, 52404",431,41.891368,-91.674068
28111,"2901 SUNSET, NORWALK, IA, 50211",452,41.496254,-93.67503
28291,"7522 NORTHWEST BLVD, DAVENPORT, IA, 52806",447,41.595756,-90.615376
28555,"1798 OLD STAGE ROAD, DECORAH, IA, 52101",0,43.288446,-91.75527
28557,"2901 SW 9TH ST, DES MOINES, IA, 50315",0,41.558774,-93.62524
28558,"2540 E UNIVERSITY AVE, DES MOINES, IA, 50317",464,41.600857,-93.569036
28560,"129 SOUTH DUFF, AMES, IA, 50010",444,42.021878,-93.610918
28677,"601 UNIVERSITY AVE., DES MOINES, IA, 50314",450,41.601266,-93.626649
28726,"1212 N. MAIN AVE., SIOUX CENTER, IA, 51250",400,43.090816,-96.174637
28727,"912 W HIGHWAY 30 ST, CARROLL, IA, 51401",437,42.071653,-94.876738
28838,"1940 VENTURE DR, STE. B (W*M #1285), OTTUMWA, IA, 52501",0,41.01422,-92.453872
28968,"5707 SUNNYBROOK DR., SIOUX CITY, IA, 51106",435,42.452447,-96.333222
29325,"3101 FLOYD BLVD, SIOUX CITY, IA, 51108",0,42.531589,-96.374125
29471,"1200 S LOCUST ST, GLENWOOD, IA, 51534",405,41.037583,-95.749112
29632,"698 GRAIN LANE, CENTER POINT, IA, 52213",403,42.172763,-91.777465
29987,"1831 LAKE AVE / WAL*MART, STORM LAKE, IA, 50588",0,42.66391,-95.197643
30370,"852 MIDDLE RD, BETTENDORF, IA, 52722",458,41.539035,-90.520907
30545,"308 K AVENUE SOUTH, VINTON, IA, 52349",400,42.168217,-92.036851
30609,"1403 EAGLE RIDGE RD., LE CLAIRE, IA, 52753",432,41.586978,-90.362931
30670,"411 CENTRAL AVENUE, E, HAMPTON, IA, 50441",399,42.741601,-93.201873
30776,"1501 BROADWAY, RED OAK, IA, 51566",399,41.018057,-95.2333
31222,"2060 HOLLIDAY DRIVE, DUBUQUE, IA, 52002",512,42.510133,-90.741918
31918,"5493 BUSINESS HWY 151, MARION, IA, 52302",400,42.035183,-91.552975
31966,"534 S DUFF AVE, AMES, IA, 50010",0,42.016025,-93.607227
32001,"1305 MAIN ST, EMMETSBURG, IA, 50536",0,43.112508,-94.668387
32871,"4400 SOUTH 22ND AVE E, NEWTON, IA, 50208",444,41.68012,-92.999067
33002,"160 CHAMBER DR, ANAMOSA, IA, 52205",438,42.104562,-91.266228
33070,"3734 8TH ST SW, ALTOONA, IA, 50009",446,41.643707,-93.507125
33677,"LECLAIRE RD./ 6TH AVE., ELDRIDGE, IA, 52748",448,41.654337,-90.575129
33917,"1203 4TH ST.SW, WAVERLY, IA, 50677",405,42.713566,-92.474982
33943,"4900 NW URBANDALE DR, URBANDALE, IA, 50322-6337",454,41.645974,-93.770126
34524,"NEC 965&PENN, NORTH LIBERTY, IA, 52241",434,41.753469,-91.607013
34536,"2185 53RD AVE, BETTENDORF, IA, 52722",460,41.574735,-90.501661
