nsn,address,items_with_price,lat,lon
166,"1630 S HILLSIDE, WICHITA, KS, 67211-4019",434,37.664004,-97.298349
317,"3117 S TOPEKA AVE, TOPEKA, KS, 66611-2124",498,39.0113,-95.688306
343,"2418 S SENECA AVE, WICHITA, KS, 67216",422,37.651214,-97.352176
410,"20 E 4TH ST, HUTCHINSON, KS, 67501-6933",410,38.057581,-97.930707
747,"1050 N BROADWAY, WICHITA, KS, 67214-2907",0,37.702099,-97.335238
751,"1811 N HILLSIDE, WICHITA, KS, 67214-2317",436,37.715974,-97.299363
775,"7700 METCALF AVE, OVERLAND PARK, KS, 66204-2930",432,38.988783,-94.668053
995,"1100 KANSAS AVE, TOPEKA, KS, 66612-1329",493,39.043899,-95.676107
1357,"618 SANTA FE ST, OLATHE, KS, 66061",439,38.883968,-94.806449
1360,"101 N ST, SENECA, KS, 66538",385,39.841604,-96.057013
1379,"7530 STATE AVE, KANSAS CITY, KS, 66112",424,39.116944,-94.754761
1385,"6767 JOHNSON DR, MISSION, KS, 66202-2620",421,39.02186,-94.663232
1511,"901 WEST 23RD STREET, LAWRENCE, KS, 66046",472,38.942411,-95.245016
2018,"1201 GAGE BLVD, TOPEKA, KS, 66604-1883",537,39.045398,-95.725125
2753,"815 NORTH 3RD STREET, MANHATTAN, KS, 66502-5703",414,39.187501,-96.560671
2906,"3008 NORTH BROADWAY, PITTSBURG, KS, 66762-2631",427,37.437856,-94.704263
2939,"3307 10TH ST, GREAT BEND, KS, 67530-3534",407,38.361349,-98.784129
3429,"1202 W 6TH AVE, EMPORIA, KS, 66801-2563",473,38.405344,-96.195878
3489,"2022 N SUMMIT ST, ARKANSAS CITY, KS, 67005-3851",433,37.085057,-97.03967
3589,"9401 FO STER, OVERLAND PARK, KS, 66212-2232",431,38.957066,-94.671914
3601,"416 WEST SIXTH STREET, JUNCTION CITY, KS, 66441-3051",412,39.028518,-96.836013
3667,"603 E 30TH ST, HUTCHINSON, KS, 67502-8432",410,38.086161,-97.918314
3686,"24 E PANCAKE, LIBERAL, KS, 67901-4114",375,37.031928,-100.921463
3743,"3121 S 4TH ST TRFY, LEAVENWORTH, KS, 66048-5005",511,39.285925,-94.904437
3764,"703 WEST WYATT EARP BLVD., DODGE CITY, KS, 67801-4249",421,37.752869,-100.023973
3765,"1613 KANSAS PLAZA, GARDEN CITY, KS, 67846-6234",370,37.975444,-100.853168
3815,"2101 EAST KANSAS AVENUE, MCPHERSON, KS, 67460",414,38.371385,-97.629284
4056,"4215 RAINBOW, KANSAS CITY, KS, 66103-3112",430,39.050798,-94.611402
4164,"1309 W 6TH ST, LAWRENCE, KS, 66044-2220",430,38.97268,-95.250362
4216,"4810 SOUTH BROADWAY, WICHITA, KS, 67216-3713",426,37.60753,-97.333487
4298,"456 S WEST, WICHITA, KS, 67213-2108",420,37.676953,-97.389001
4549,"4101 KANSAS AVE, KANSAS CITY, KS, 66100",411,39.089112,-94.675966
4581,"302 W 11TH, COFFEYVILLE, KS, 67337-5905",430,37.033279,-95.619478
4696,"2103 N BUCKEYE, ABILENE, KS, 67410-1507",397,38.937691,-97.213334
4701,"2002 W. CENTRAL, EL DORADO, KS, 67042-3201",453,37.817727,-96.876941
4938,"3406 VINE ST., HAYS, KS, 67601-1939",421,38.895544,-99.316691
5008,"2224 S MAIN, FORT SCOTT, KS, 66701-3024",435,37.813215,-94.705898
5107,"9501 WESTGATE ST., LENEXA, KS, 66215-1507",0,38.955509,-94.730992
5198,"506 NORTH TYLER ROAD, WICHITA, KS, 67212-3633",421,37.691512,-97.4439
5352,"3725 STATE AVENUE, KANSAS CITY, KS, 66102-3830",398,39.116307,-94.672279
5436,"11005 W 75TH, SHAWNEE, KS, 66214",419,38.992551,-94.713026
5468,"5525 SW 21ST ST, TOPEKA, KS, 66604-3647",521,39.028862,-95.749222
5596,"2001 N TOPEKA, TOPEKA, KS, 66608-1828",487,39.085255,-95.665814
5928,"2214 PRINCETON CIRCLE DR, OTTAWA, KS, 66067-4025",433,38.580294,-95.268654
6211,"411 S. BROADWAY, WICHITA, KS, 67202-3909",443,37.681863,-97.335882
6213,"2000 SOUTH RANGE, COLBY, KS, 67701",559,39.366543,-101.056343
6307,"1805 E 1ST ST, PRATT, KS, 67124-2075",422,37.645099,-98.715624
6372,"2200 E SANTE FE, OLATHE, KS, 66062",436,38.884074,-94.780067
6694,"917 N. BALTIMORE, DERBY, KS, 67037-1818",432,37.552134,-97.272175
6785,"118 S 8TH, ATCHISON, KS, 66002-2743",475,39.561128,-95.123143
6877,"1435 S. FOSSIL, RUSSELL, KS, 67665-3612",417,38.865429,-98.85357
6894,"605 SOUTH 7TH STREET, KANSAS CITY, KS, 66105-2001",406,39.087276,-94.625401
6912,"312 W MADISON, IOLA, KS, 66749-3228",436,37.921794,-95.40855
7011,"1321 MAIN, NEWTON, KS, 67114-1915",411,38.057985,-97.345597
7032,"6350 W KELLOGG, WICHITA, KS, 67209-2330",428,37.673364,-97.415982
7244,"2880 CALIFORNIA, TOPEKA, KS, 66605-1713",503,39.015591,-95.651006
7252,"606 S. 130TH, BONNER SPRINGS, KS, 66012-9233",454,39.08674,-94.882395
7309,"5606 E CENTRAL, WICHITA, KS, 67208-4201",0,37.694356,-97.270952
7477,"1219 S ROCK RD, WICHITA, KS, 67207-3319",433,37.665946,-97.245036
7540,"401 W MYRTLE, INDEPENDENCE, KS, 67301-3321",434,37.223986,-95.711284
7636,"122 N. SENECA, WICHITA, KS, 67208",431,37.684771,-97.352443
7768,"101 W 14TH ST, CHANUTE, KS, 66720",439,37.6668,-95.453803
7772,"13330 W 87TH PKY, LENEXA, KS, 66215-4536",429,38.971483,-94.74041
7947,"2800 MILITARY, BAXTER SPRINGS, KS, 66713-2346",423,37.008079,-94.736392
8013,"11000 QUIVIRA RD, OVERLAND PARK, KS, 66210-1290",438,38.929631,-94.724216
8051,"2236 PLANET, SALINA, KS, 67401-7350",402,38.802061,-97.613405
10030,"1407 E 11TH AVE, HUTCHINSON, KS, 67501-2750",400,38.06459,-97.901079
10134,"1011 WESTLOOP PLACE, MANHATTAN, KS, 66502-2835",414,39.190305,-96.610494
10250,"2325 ENTERPRISE RD, GOODLAND, KS, 67735-9721",531,39.331693,-101.72539
10264,"5900 AIR CAP DRIVE, PARK CITY, KS, 67219-2105",414,37.79227,-97.329119
10542,"1106 TAYLOR, GARDEN CITY, KS, 67846-4017",373,37.975437,-100.882998
10543,"9717 SANTA FE DR, OVERLAND PARK, KS, 66212",433,38.970839,-94.69776
10627,"KS TURNPIKE MILEPOST 132, EMPORIA, KS, 66801",0,38.470687,-96.18514
10715,"1125 S BROADWAY, PITTSBURG, KS, 66762-5801",426,37.396811,-94.704479
10823,"11801 W 63RD ST, SHAWNEE, KS, 66203-3337",461,39.014115,-94.721995
10885,"7926 W 151ST ST, OVERLAND PARK, KS, 66223-2118",435,38.855103,-94.679227
10938,"1600 S. HAMILTON CIRCLE, OLATHE, KS, 66061-5379",437,38.857762,-94.815065
10980,"1420 LINCOLN ST, CONCORDIA, KS, 66901-4841",402,39.56313,-97.657858
11073,"8100 EAST 21ST COURT, WICHITA, KS, 67226",439,37.723535,-97.243641
11235,"812 MINNESOTA, KANSAS CITY, KS, 66101-2609",448,39.115802,-94.630666
11387,"1640 S.W. WANAMAKER, TOPEKA, KS, 66604-3801",502,39.036936,-95.761126
11441,"7124 W 119TH ST, OVERLAND PARK, KS, 66213-1116",421,38.913816,-94.670142
11671,"15920 W 87TH ST PKWY, LENEXA, KS, 66219-9710",436,38.971499,-94.772752
11880,"2130 PIKE RD, WINFIELD, KS, 67156-5448",430,37.227612,-96.995585
11897,"34225 COMMERCE DR, DESOTO, KS, 66018",454,38.961939,-94.981982
11978,"3860 W 95TH, LEAWOOD, KS, 66206",482,38.957178,-94.630009
12080,"701 E 24 HWY, WAMEGO, KS, 66545",412,39.209663,-96.304507
12133,"12091 STRANG LINE RD, OLATHE, KS, 66062-5256",439,38.909576,-94.772166
12263,"1127 SOUTH WASHINGTON, JUNCTION CITY, KS, 66441",412,39.009117,-96.834461
12648,"1201 VINE, HAYS, KS, 67601-3452",415,38.870004,-99.31828
12650,"3527 N ROCK RD, WICHITA, KS, 67226",443,37.747533,-97.245139
12722,"105 WEST OKLAHOMA, ULYSSES, KS, 67880",373,37.576103,-101.358468
