nsn,address,items_with_price,lat,lon
116,"8600 DIXIE HWY, LOUISVILLE, KY, 40258-1002",490,38.127988,-85.850455
258,"5600 PRESTON HWY, LOUISVILLE, KY, 40219-1304",473,38.168409,-85.706865
320,"3050 DIXIE HIGHWAY, ERLANGER, KY, 41018-1826",406,39.021708,-84.588579
491,"2550 WINCHESTER AVENUE, ASHLAND, KY, 41101-7838",447,38.472071,-82.627199
641,"2604 FORT CAMPBELL BLVD, HOPKINSVILLE, KY, 42240-4939",501,36.844338,-87.483934
697,"3340 TAYLOR BLVD, LOUISVILLE, KY, 40215-2661",444,38.200438,-85.783017
815,"1930 MONMOUTH STREET, NEWPORT, KY, 41071",477,39.078608,-84.480626
941,"1245 BARDSTOWN RD, LOUISVILLE, KY, 40204-1303",465,38.236689,-85.717166
989,"2321 VERSAILLES ROAD, LEXINGTON, KY, 40504-1605",461,38.047197,-84.553156
1148,"1212 W BROADWAY, LOUISVILLE, KY, 40203-2056",475,38.247196,-85.772104
1231,"2483 NICHOLASVILLE ROAD, LEXINGTON, KY, 40503-3158",458,38.001188,-84.520717
1247,"9254 WESTPORT RD, LOUISVILLE, KY, 40241",450,38.285577,-85.578618
1250,"4622 DIXIE HWY, SHIVELY, KY, 40216-2606",467,38.177351,-85.821008
1433,"8220 PRESTON HWY, OKOLONA, KY, 40219-5308",475,38.132909,-85.68425
1534,"2627 JACKSON ST, PADUCAH, KY, 42001",420,37.069073,-88.626101
1612,"2750 FREDERICA ST, OWENSBORO, KY, 42301-5442",498,37.748945,-87.11389
1733,"4445 CANE RUN RD, LOUISVILLE, KY, 40216-4501",467,38.195419,-85.841691
2045,"1499 RUSSELL CAVE RD, LEXINGTON, KY, 40511",462,38.070831,-84.477857
2100,"485 EASTERN BY-PASS, RICHMOND, KY, 40475",464,37.736914,-84.310946
2440,"517 WEST DIXIE HIGHWAY, ELIZABETHTOWN, KY, 42701-2439",420,37.701751,-85.867769
2768,"131 S HWY 27, SOMERSET, KY, 42501-1783",458,37.092227,-84.618718
2792,"1520 W LEXINGTON AVE, WINCHESTER, KY, 40391",447,38.007276,-84.212367
2918,"2576 RICHMOND ROAD, LEXINGTON, KY, 40502",0,38.010578,-84.456949
3053,"820 N. MAIN STREET, FRANKLIN, KY, 42135",432,36.734919,-86.577578
3060,"110 S. DIXIE BLVD.,U.S. 31 WEST, RADCLIFF, KY, 40160",471,37.840084,-85.937446
3212,"2053 US HIGHWAY 41 N, HENDERSON, KY, 42420-2350",432,37.866313,-87.573385
3282,"1400 N MAIN ST, MADISONVILLE, KY, 42431-1284",499,37.348276,-87.497624
3283,"301 E WARNOCK ST, LOUISVILLE, KY, 40217",438,38.21499,-85.754754
3398,"7909 DREAM ST, FLORENCE, KY, 41042-1801",409,38.988235,-84.642081
3438,"310 VERSAILLES ROAD, FRANKFORT, KY, 40601-3634",451,38.197978,-84.829848
3441,"1410 MASTER STREET, CORBIN, KY, 40701",440,36.958015,-84.074357
3461,"721-31E, GLASGOW, KY, 42141",420,37.008219,-85.922157
3526,"402 FEMINGSBURG RD, MOREHEAD, KY, 40351",449,38.180363,-83.443943
3628,"1100 HURSTBOURNE LN, LOUISVILLE, KY, 40222-5187",448,38.228318,-85.578271
3666,"5630 BARDSTOWN RD, LOUISVILLE, KY, 40291-1912",474,38.163287,-85.597376
3766,"107 NORTH 12TH STREET, MURRAY, KY, 42071-1911",436,36.611668,-88.31591
3801,"BEAUMONT PLAZA S COLLEGE, HARRODSBURG, KY, 40330",475,37.751547,-84.844481
3857,"3080 SCOTTSVILLE RD, BOWLING GREEN, KY, 42101",435,36.942049,-86.420825
3873,"2513 HAZLEWOOD DRIVE, CRESCENT SPRINGS, KY, 41017",406,39.047673,-84.576782
3890,"605 EAST BROADWAY, CAMPBELLSVILLE, KY, 42718",420,37.344669,-85.34002
3891,"5015 SHELBYVILLE RD, ST. MATTHEWS, KY, 40207",444,38.250605,-85.621567
3893,"642 MAYSVILLE RD, MT. STERLING, KY, 40353",449,38.074737,-83.949294
3975,"12341 SHELBYVILLE RD, LOUISVILLE, KY, 40243-1472",478,38.246836,-85.526312
3994,"3005 FERN VALLEY RD, LOUISVILLE, KY, 40213-3521",468,38.157593,-85.708375
4087,"P.O. BOX 22 - U.S.  60 HWY. 53, SHELBYVILLE, KY, 40066-0022",448,38.210014,-85.204562
4101,"2500 DIXIE HWY, LOUISVILLE, KY, 40216-5202",467,38.214444,-85.796634
4124,"3903 WINSTON AVE (LATONIA PLAZA), COVINGTON, KY, 41015-1706",399,39.045608,-84.504891
4217,"109 BRENWOOD DR., BEREA, KY, 40403",449,37.567454,-84.31209
4281,"103 PARKVIEW DR, BARDSTOWN, KY, 40004-2206",418,37.805831,-85.452042
4360,"900 N. MAIN STREET, GREENVILLE, KY, 42345-1774",447,37.227137,-87.167474
4612,"1006 CUBA ROAD, MAYFIELD, KY, 42066-3268",434,36.728785,-88.63135
4720,"700 S 10TH ST, WILLIAMSBURG, KY, 40769-1648",435,36.726024,-84.166156
4776,"207 WEST BROADWAY, LOUISVILLE, KY, 40202-2111",537,38.246243,-85.755441
4819,"357 S LIMESTONE AVE, LEXINGTON, KY, 40508",458,38.042378,-84.503094
4924,"3100 POPLAR LEVEL RD, LOUISVILLE, KY, 40217",490,38.211422,-85.720918
4930,"PO BOX 723 - SR44 & I-65, SHEPHERDSVILLE, KY, 40165",472,37.990848,-85.708162
5011,"305 NORTH MAYO TRAIL, PAINTSVILLE, KY, 41240",460,37.822147,-82.817703
5099,"902 US 68, MAYSVILLE, KY, 41056",418,38.643056,-83.778827
5190,"2961 BRECKENRIDGE LN, LOUISVILLE, KY, 40220-1463",508,38.219061,-85.628789
5319,"150 RUSSELL ROAD, ASHLAND, KY, 41101-7192",447,38.495701,-82.672519
5410,"512 S 1ST ST, LAGRANGE, KY, 40031",442,38.400978,-85.376091
5649,"2224 LONE OAK ROAD, PADUCAH, KY, 42001",432,37.045892,-88.655299
5680,"900 N MULBERRY STREET, ELIZABETHTOWN, KY, 42701-2035",0,37.705031,-85.846782
5733,"1911 OLD PRESTON HWY N, HILLVIEW, KY, 40229",475,38.083325,-85.6684
5758,"2271 ELKHORN ROAD, NORTH, LEXINGTON, KY, 40505-4813",462,38.042555,-84.424088
5835,"520 N 22ND ST, LOUISVILLE, KY, 40203-1020",430,38.267374,-85.783521
5941,"280 JANE TRL, DANVILLE, KY, 40422",472,37.617134,-84.771295
6090,"1804 N MAIN ST, LONDON, KY, 40741",459,37.139065,-84.097713
6111,"1114 NEW CIRCLE RD, LEXINGTON, KY, 40505-4137",462,38.034103,-84.454231
6115,"101 REINHOLD ST, PARIS, KY, 40361-1019",448,38.192412,-84.27707
6147,"420 E MARKET ST, LOUISVILLE, KY, 40202-1113",461,38.253542,-85.74525
6206,"3340 BARDSTOWN RD, LOUISVILLE, KY, 40218-4602",0,38.206423,-85.667963
6292,"U.S. ROUTE 23, PIKEVILLE, KY, 41501",469,37.517727,-82.566103
6338,"RT. 119, SOUTH SIDE MALL, GOODY, KY, 41514",469,37.656102,-82.272906
6341,"4306 BARDSTOWN RD, LOUISVILLE, KY, 40220",464,38.186317,-85.63765
6402,"5001 S 3RD ST, LOUISVILLE, KY, 40214-2207",441,38.174383,-85.766998
6428,"2306 HIGHWAY 60 EAST, OWENSBORO, KY, 42303",495,37.779596,-87.082532
6429,"7426 S 3RD STREET ROAD, LOUISVILLE, KY, 40214-4371",490,38.144809,-85.7772
6662,"4800 FREDERICA ST (TOWNE SQ.), OWENSBORO, KY, 42301-7414",490,37.72371,-87.124509
6664,"2730 PARRISH AVE, OWENSBORO, KY, 42301-2688",506,37.756941,-87.146638
6666,"102 UNITED DRIVE, VERSAILLES, KY, 40383-1467",452,38.052961,-84.715381
6701,"495 NORTH 12TH STREET, MIDDLESBORO, KY, 40965",455,36.612996,-83.703956
6732,"751 CAROL MALONE BLVD, GRAYSON, KY, 41143",447,38.340996,-82.943618
6776,"6015 US RTE 60, ASHLAND, KY, 41101",447,38.435885,-82.691563
6806,"2209 TAYLORSVILLE RD, LOUISVILLE, KY, 40205",490,38.223477,-85.684679
6850,"10 BLACKBURN RD., DRY RIDGE, KY, 41035",409,38.683255,-84.600204
6865,"104 NOLAN AVE, FULTON, KY, 42041-8220",405,36.513225,-88.890356
7012,"864 EASTERN BY-PASS, RICHMOND, KY, 40475",462,37.731903,-84.276096
7022,"2800 OUTER LOOP, LOUISVILLE, KY, 40219-3548",462,38.136342,-85.712012
7110,"2720  W. BROADWAY, LOUISVILLE, KY, 40223",477,38.248955,-85.797974
7279,"203 W PARK SHOPPING CENTER, LAWRENCEBURG, KY, 40342-1365",478,38.020217,-84.908318
7310,"502 NORTH DR, HOPKINSVILLE, KY, 42246",496,36.871568,-87.49853
7359,"4940 BROWNSBORO RD, LOUISVILLE, KY, 40222-6438",442,38.282809,-85.62899
7368,"853 USHY 27 S, CYNTHIANA, KY, 41031",449,38.379594,-84.308638
7420,"40 MUDDY GAP RD., MANCHESTER, KY, 40962",459,37.139483,-83.768906
7471,"1326 COMBS  ROAD, HAZARD, KY, 41701",516,37.288021,-83.210242
7689,"I 71 & SR 227, CARROLLTON, KY, 41008",426,38.65089,-85.125071
7742,"100 ARMORY DRIVE, RUSSELLVILLE, KY, 42276-1602",467,36.851238,-86.89121
7748,"1560 N MAIN ST, MONTICELLO, KY, 42633-2047",463,36.849017,-84.835685
7940,"3350 PRESTON HWY, LOUISVILLE, KY, 40213-1359",454,38.197822,-85.732251
8030,"302 PHILADELPHIA, COVINGTON, KY, 41011-1236",418,39.08731,-84.519286
8165,"6400 GREENWOOD RD., LOUISVILLE, KY, 40258",489,38.144269,-85.871425
8166,"6214 OLD SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228",461,38.158021,-85.660637
8265,"I-64 STATE ROUTE 36, OWINGSVILLE, KY, 40360",449,38.129141,-83.75325
10011,"KOSAIR CHILDREN'S HOSPITAL, LOUISVILLE, KY, 40202-3800",0,38.248307,-85.750283
10043,"931 KY HWY 15 N, JACKSON, KY, 41339-0904",452,37.561352,-83.39865
10044,"U.S. 27 & 150 BYPASS, STANFORD, KY, 40484",516,37.541516,-84.655103
10045,"15 DONNERMEYER DR, BELLEVUE, KY, 41073-1398",440,39.097909,-84.4829
10051,"503 WEST MAIN STREET, LEBANON, KY, 40033",418,37.565523,-85.262578
10156,"735 NW WILKINSON BLVD, LIBERTY, KY, 42539",478,37.323941,-84.92509
10282,"2501 US 421-SOUTH, HARLAN, KY, 40831",426,36.817244,-83.316491
10309,"4131 TATES CREEK CTR, LEXINGTON, KY, 40507",429,37.96948,-84.500037
10361,"EAST MAIN STREET, HAZARD, KY, 41701",0,37.246557,-83.193445
10374,"25 S. LAUREL, LONDON, KY, 40741",461,37.10656,-84.072743
10421,"584 VILLAGE DRIVE, PRESTONBURG, KY, 41653",488,37.656252,-82.783222
10530,"122 S GREEN ST, HENDERSON, KY, 42420-3539",429,37.835568,-87.590773
10593,"10411 DIXIE HWY, LOUISVILLE, KY, 40272-3953",465,38.103304,-85.868934
10663,"400 CONNECTOR ROAD, GEORGETOWN, KY, 40324-9729",472,38.227479,-84.536083
10854,"205 HIGHWAY 62 WEST, PRINCETON, KY, 42445-2404",488,37.113403,-87.900087
10910,"US 25 E PARKWAY HC 84 BOX 505, BARBOURVILLE, KY, 40906",489,36.857831,-83.870444
10958,"902 SANDERS RD, CAVE CITY, KY, 42127",444,37.134544,-85.971374
10964,"ST RT 32 & BYPASS 11, FLEMINGSBURG, KY, 41041",435,38.420759,-83.754148
10989,"6726 DIXIE HIGHWAY, FLORENCE, KY, 41042-2108",406,39.004596,-84.621169
10994,"1519 SEATON AVENU, GREENUP, KY, 41144-1222",447,38.567736,-82.827589
11074,"1962 HARRODSBURG RD, LEXINGTON, KY, 40503-1256",0,38.026926,-84.533587
11126,"6701 DIXIE HWY, LOUISVILLE, KY, 40258",492,38.152515,-85.835601
11145,"100 IMPERIAL HWY, NICHOLASVILLE, KY, 40356-2502",511,37.89751,-84.566505
11187,"102 S LIMESTONE LANE, FRANKFORT, KY, 40601-4314",453,38.170336,-84.898072
11276,"222 E. MOUNTAIN PKWY, SALYERSVILLE, KY, 41465-9732",469,37.7409,-83.047308
11319,"1860 N MAIN ST, BEAVER DAM, KY, 42320-9500",453,37.433727,-86.885907
11412,"3480 CLARKS RIVER ROAD, PADUCAH, KY, 42001",433,37.04913,-88.563807
11450,"714 SOUTH MAIN, LEITCHFIELD, KY, 42754-1055",417,37.468843,-86.293906
11583,"3765 PALOMAR CENTRE DRIVE, LEXINGTON, KY, 40513",519,38.005473,-84.572955
11620,"306 RICHWOOD RD, WALTON, KY, 41094-9521",404,38.916417,-84.63366
11682,"1700 N DIXIE HWY., ELIZABETHTOWN, KY, 42701-9439",420,37.731374,-85.886322
11710,"US-23 NEW AND ROUTE 3, LOUISA, KY, 41230",485,38.125412,-82.627443
11726,"1925 RUSSELLVILLE RD, BOWLING GREEN, KY, 42101-3754",424,36.978623,-86.469291
11737,"11600 BLUE GRASS PARKWAY, JEFFERSONTOWN, KY, 40299",443,38.216539,-85.539648
11813,"HWY 127/N. RIDGE SHOP CTR., RUSSELL SPRINGS, KY, 42642",470,37.062248,-85.071399
12026,"4000 S. HWY 27, SOMERSET, KY, 42501",461,37.037339,-84.625919
12075,"I-24 & HWY 62, CALVERT CITY, KY, 42029",436,37.003834,-88.328317
12128,"980 JAMESTOWN RD, COLUMBIA, KY, 42728-1012",463,37.093214,-85.304109
12220,"590 BYPASS ROAD, BRANDENBURG, KY, 40108",446,37.980781,-86.163307
12232,"US ROUTE 23 LOUISA ROAD, CATLETTSBURG, KY, 41129",451,38.402533,-82.601424
12237,"PO BOX 805 (709 CUMBERLAND RD), WHITESBURG, KY, 41858",503,37.11064,-82.803947
12370,"8600 CITADEL WAY, LOUISVILLE, KY, 40220",459,38.211618,-85.597549
12465,"101 BAIRD AVE., PIKEVILLE, KY, 41501",494,37.473133,-82.528176
12494,"100 OLD MAIN ST., MUNFORDVILLE, KY, 42765",418,37.28891,-85.903085
12538,"5055 OLD TAYLOR MILL RD, TAYLOR MILL, KY, 41015-2052",403,39.016934,-84.509332
12614,"630 KENTUCKY AVE, PINEVILLE, KY, 40977",504,36.764489,-83.704465
12749,"1035 RICHMOND ST, MT. VERNON, KY, 40456",494,37.367225,-84.337123
12783,"6707 ALEXANDRIA PIKE, ALEXANDRIA, KY, 41001",409,38.9866,-84.402857
12833,"322 N MORGAN ST, MORGANFIELD, KY, 42437-1414",426,37.687502,-87.913749
12878,"110 STEELE ROAD, FRANKLIN, KY, 42134",435,36.668593,-86.5586
12892,"AIRPORT CONC 3B, HEBRON, KY, 41048",0,39.055409,-84.656274
12896,"885 CAMPBELLSVILLE RD., GREENSBURG, KY, 42743",417,37.273235,-85.495644
13457,"171 SOUTHGATE DR, GEORGETOWN, KY, 40324",467,38.183698,-84.556205
13750,"121 OAKBROOK DR, MOUNT WASHINGTON, KY, 40047-7552",459,38.051897,-85.538379
13913,"1174 S. MAIN STREET, MORGANTOWN, KY, 42261",458,37.21215,-86.694926
14093,"1640 WEST MAIN STREET, WEST LIBERTY, KY, 41472",496,37.898252,-83.28398
14107,"5985 CENTENNIAL CIRCLE, FLORENCE, KY, 41042",403,39.015291,-84.674893
14235,"12575 MAIN STREET, MARTIN, KY, 41649",488,37.562219,-82.762578
14437,"2133 ARGILLITE RD, FLATWOODS, KY, 41139",447,38.520125,-82.720626
