nsn,address,items_with_price,lat,lon
462,"1302 SHREVEPORT BARKSDALE HWY, SHREVEPORT, LA, 71105-2408",449,32.489099,-93.704421
496,"2145 VETERANS MEMORIAL BLVD, KENNER, LA, 70062-4002",438,30.006016,-90.238737
529,"6006 PLANK ROAD, BATON ROUGE, LA, 70805-1324",403,30.504744,-91.150806
668,"5224 FLORIDA BLVD, BATON ROUGE, LA, 70806-4127",403,30.45049,-91.135674
794,"4589 GENERAL MEYER AVE, NEW ORLEANS, LA, 70131",455,29.933596,-90.007726
951,"1406 N 18TH ST, MONROE, LA, 71201-4912",416,32.52381,-92.112324
1037,"9980 FLORIDA BLVD, BATON ROUGE, LA, 70815-1402",0,30.45597,-91.073084
1298,"4615 PERKINS RD, BATON ROUGE, LA, 70808-3038",406,30.416443,-91.14212
1698,"1616 MARTIN LUTHER KING JR DR, MONROE, LA, 71202",417,32.489567,-92.08411
1768,"210 BENTON ROAD, BOSSIER CITY, LA, 71111-4702",413,32.518692,-93.716166
2098,"625 E PRIEN LAKE RD, LAKE CHARLES, LA, 70601-8611",462,30.198676,-93.212226
2115,"1430 NE EVANGELINE THWY, LAFAYETTE, LA, 70501",413,30.243592,-92.011276
2345,"3610 GREENWOOD ROAD, SHREVEPORT, LA, 71109-5108",411,32.475076,-93.7983
2433,"3313 CLEARY AVE, METAIRIE, LA, 70002-5607",466,30.005257,-90.172083
2479,"202 THOMAS RD, WEST MONROE, LA, 71291-7361",419,32.512487,-92.157824
2480,"2220 S SHERWOOD FOREST BLVD, BATON ROUGE, LA, 70816-8329",403,30.43247,-91.057704
2747,"6140 WESTBANK EXPWY, MARRERO, LA, 70072-2803",418,29.894555,-90.113473
2838,"2757 CANAL ST, NEW ORLEANS, LA, 70119-5501",481,29.966839,-90.088206
2984,"927 E MAIN ST, NEW IBERIA, LA, 70560-3827",458,29.998395,-91.804365
3010,"1608 W AIRLINE, LA PLACE, LA, 70068-3331",408,30.073315,-90.497144
3083,"2609 SAINT CLAUDE AVE, NEW ORLEANS, LA, 70117-7248",468,29.969472,-90.049622
3161,"1625 GAUSE RD, SLIDELL, LA, 70458-2209",401,30.284304,-89.753683
3194,"3532 SEVERN AVE, METAIRIE, LA, 70002-6574",467,30.013547,-90.159532
3248,"8996 MANSFIELD RD, SHREVEPORT, LA, 71108-2128",0,32.411843,-93.795478
3253,"934 CANAL ST, NEW ORLEANS, LA, 70112-2504",0,29.954663,-90.071896
3339,"1609 S RUTH ST, SULPHUR, LA, 70663-4905",464,30.224553,-93.376741
3340,"709 TERRY PKY, GRETNA, LA, 70056",474,29.899907,-90.029817
3355,"6910 AIRLINE HWY, BATON ROUGE, LA, 70805-4707",403,30.488163,-91.121706
3359,"7000 MANSFIELD RD, SHREVEPORT, LA, 71108-5202",409,32.441507,-93.781798
3500,"2711 HWY 28 E, PINEVILLE, LA, 71360-5712",423,31.333614,-92.407305
3654,"4555 JOHNSON ST, LAFAYETTE, LA, 70503",414,30.189067,-92.062927
3682,"6219 W. PARK AVENUE, HOUMA, LA, 70364",415,29.626689,-90.75162
3703,"US HIGHWAY 171 SOUTH, LEESVILLE, LA, 71446",477,31.125785,-93.268009
3725,"9470 GREENWELL SPRINGS RD, BATON ROUGE, LA, 70814-2911",406,30.485058,-91.082556
3841,"301 VETERANS HWY, METAIRIE, LA, 70005-3007",466,30.00118,-90.125984
3864,"915 N AIRLINE HWY, GONZALES, LA, 70737-3020",403,30.239212,-90.915247
3964,"202 SE FLORIDA BLVD, DENHAM SPRINGS, LA, 70726-3729",403,30.482249,-90.954673
3986,"303 HOMER RD, MINDEN, LA, 71055-2833",425,32.621724,-93.275198
4051,"5920 LINE AVENUE, SHREVEPORT, LA, 71106-2038",416,32.453547,-93.746514
4099,"6205 YOUREE DRIVE, SHREVEPORT, LA, 71105-4417",0,32.451367,-93.7216
4509,"3013 LOYOLA DR, KENNER, LA, 70065",468,30.009293,-90.266953
