nsn,address,items_with_price,lat,lon
604,"332 SAINT JOHN ST, PORTLAND, ME, 4102",417,43.654679,-70.280152
666,"632 BROADWAY, BANGOR, ME, 4401",399,44.82224,-68.779246
1080,"11 GURNET RD, BRUNSWICK, ME, 4011",414,43.906822,-69.915276
1343,"209 WESTERN AVE, AUGUSTA, ME, 4330",407,44.31429,-69.799007
1345,"336 MAIN ST, WATERVILLE, ME, 4901",408,44.566164,-69.638094
1396,"419 GORHAM RD, SOUTH PORTLAND, ME, 4106",420,43.637065,-70.333338
1472,"524 N MAIN, SACO, ME, 4072",404,43.510161,-70.434643
1555,"654 MAIN STREET, PRESQUE ISLE, ME, 04769-2229",424,46.687404,-68.012832
1588,"60 CAMDEN ST, ROCKLAND, ME, 4841",396,44.115722,-69.105064
1710,"95 MAIN ST, WESTBROOK, ME, 4092",404,43.678298,-70.334866
1802,"1008 MAIN ST, SANFORD, ME, 4073",406,43.432888,-70.770388
1930,"259 HIGH STREET, ELLSWORTH, ME, 4605",455,44.531142,-68.406651
1934,"992 POST RD, WELLS, ME, 4090",405,43.303281,-70.58598
2133,"127 BENNETT DRIVE, CARIBOU, ME, 4736",422,46.869304,-68.003349
2264,"303 MAIN ST, FARMINGTON, ME, 4938",417,44.664358,-70.148497
2270,"180 MAIN ST, MADAWASKA, ME, 04756-0388",0,47.356184,-68.334453
2275,"1029 ROUTE 2, RUMFORD, ME, 4276",415,44.51717,-70.558561
2394,"138 CENTER ST, AUBURN, ME, 4210",407,44.107138,-70.22635
2501,"282 MAIN ST, BELFAST, ME, 4915",448,44.423107,-69.020329
2517,"191 NORTH ST, CALAIS, ME, 4619",420,45.184132,-67.283169
2712,"993 STILLWATER AVE, OLD TOWN, ME, 4468",447,44.915274,-68.68384
2787,"525 WILSON ST, BREWER, ME, 4412",408,44.780148,-68.743661
3065,"SYCAMORE & BALSAM, MILLINOCKET, ME, 4462",395,45.656776,-68.688236
3137,"118 MAIN ST, SOUTH PARIS, ME, 4281",419,44.216849,-70.517006
3577,"110 NORTH ST, HOULTON, ME, 4730",422,46.135654,-67.839902
4350,"2 CHANDLER DRIVE, BATH, ME, 04530-9801",405,43.90856,-69.827223
5118,"665 HOGAN RD, BANGOR, ME, 4401",397,44.83687,-68.741981
5156,"150 WATERMAN DR, SOUTH PORTLAND, ME, 4106",422,43.637608,-70.255978
5314,"221 USHY 1, SCARBOROUGH, ME, 4074",399,43.591402,-70.332759
5387,"388 ELM ST, BIDDEFORD, ME, 4005",406,43.483762,-70.471737
5558,"40 BRIDGE ST / IPO 116, GARDINER, ME, 4345",389,44.232237,-69.774042
5606,"227 USHY 1, FALMOUTH, ME, 4105",411,43.720849,-70.232074
5879,"1208 FOREST AVE, PORTLAND, ME, 4103",396,43.688462,-70.294364
6371,"23 GODING AVE, LINCOLN, ME, 4457",422,45.361889,-68.516564
6847,"RT 4 & COMMERICAL, JAY, ME, 4239",415,44.506447,-70.216895
6902,"335 US RTE 1, KITTERY, ME, 3904",414,43.11459,-70.731018
7156,"11 MALLET DR, FREEPORT, ME, 4032",393,43.860346,-70.101674
7303,"1063 W MAIN ST, DOVER FOXCROFT, ME, 4426",396,45.182572,-69.255762
7682,"9 MOOSEHEAD TRL, NEWPORT, ME, 4953",406,44.835641,-69.287606
7808,"1 TOPSHAM FAIR MALL, TOPSHAM, ME, 4086",405,43.939697,-69.976419
7995,"141 US ROUTE 1, BUCKSPORT, ME, 4416",448,44.569828,-68.776642
10276,"9 CHINA RD, WINSLOW, ME, 4901",409,44.537529,-69.628194
10686,"85-87 BANGOR ST, AUGUSTA, ME, 4330",407,44.322331,-69.763904
11478,"154 PLEASANT ST, BRUNSWICK, ME, 4011",395,43.912843,-69.986412
11904,"RT 1 DUBLIN ROAD, MACHIAS, ME, 4654",459,44.705322,-67.463048
12778,"BUSINESS ROUTE 1, DAMARISCOTTA, ME, 4543",394,44.036902,-69.511216
15173,"ROUTE 302, WINDHAM, ME, 4062",410,43.838418,-70.442677
17143,"ME ROUTE 196, LISBON FALLS, ME, 4252",409,44.005425,-70.074046
17451,"750 US RT 1, YARMOUTH, ME, 4096",0,43.804317,-70.179859
19155,"77 E MAIN ST, FORT KENT, ME, 4743",427,47.256997,-68.589601
20090,"2 POST OFFICE SQ, KENNEBUNK, ME, 4043",404,43.392901,-70.532845
20944,"8 MAIN ST, GRAY, ME, 4039",394,43.886134,-70.32935
24486,"435 KENNEDY MEMORIAL DR, WATERVILLE, ME, 4901",408,44.545267,-69.675925
24905,"189 MADISON AVE, SKOWHEGAN, ME, 4976",406,44.779801,-69.725312
25697,"1105 UNION ST, BANGOR, ME, 4401",408,44.817776,-68.810229
32475,"1035 LISBON STREET, LEWISTON, ME, 4240",404,44.080783,-70.196429
34196,"695 BATH ROAD UNIT 3, WISCASSET, ME, 4578",408,43.972395,-69.712651
34197,"828 MINOT AVE, AUBURN, ME, 4210",403,44.080876,-70.261524
34252,"441 MAIN ST, BANGOR, ME, 4401",410,44.791133,-68.776817
34606,"NULL WILLETT RD, BRIDGTON, ME, 4009",430,44.045086,-70.700985
35296,"158 NEW COUNTY ROAD, THOMASTON, ME, 4861",387,44.093053,-69.142726
35405,"1439 MAIN STREET, SANFORD, ME, 4073",408,43.408539,-70.74028
