nsn,address,items_with_price,lat,lon
103,"1941 WEST STREET, ANNAPOLIS, MD, 21401-3907",436,38.98049,-76.527708
104,"5501 LIVINGSTON RD, FOREST HEIGHTS, MD, 20745-2037",0,38.81489,-76.997762
211,"2306 UNIVERSITY BLVD, HYATTSVILLE, MD, 20783-2660",440,38.984558,-76.970613
241,"1390 ROCKVILLE PIKE, ROCKVILLE, MD, 20852",434,39.068187,-77.128655
274,"14810 BALTIMORE AVE, LAUREL, MD, 20707-4856",457,39.094155,-76.855027
312,"7734 WISE AVE, BALTIMORE, MD, 21222",430,39.269102,-76.50039
400,"1619 E JOPPA RD, TOWSON, MD, 21286",433,39.396579,-76.565222
516,"502 BALTIMORE ANNAPOLIS HWY, SEVERNA PARK, MD, 21146",449,39.079321,-76.548666
525,"6906 GOVERNOR RITCHIE HWY, GLEN BURNIE, MD, 21061",434,39.186266,-76.613385
538,"12313 GEORGIA AVE, SILVER SPRINGS, MD, 20906",463,39.059175,-77.049642
611,"6131 MARTIN LUTHER KING JR HWY, SEAT PLEASANT, MD, 20743",539,38.9014,-76.900674
693,"10531 BALTIMORE AVE, BELTSVILLE, MD, 20705",443,39.027919,-76.916841
728,"6301 NEW HAMPSHIRE AVE, TAKOMA PARK, MD, 20912",476,38.965806,-77.001895
729,"4777 ALLENTOWN ROAD, S.E., SUITLAND, MD, 20746-3932",426,38.821794,-76.886498
762,"5600 RIVERDALE RD, RIVERDALE, MD, 20737-2138",474,38.959419,-76.919581
882,"8227 LIBERTY RD, BALTIMORE, MD, 21244",457,39.355771,-76.765025
898,"502 REISTERSTOWN RD, BALTIMORE, MD, 21208",506,39.367451,-76.716683
911,"6704 CHAVEZ LN, FORESTVILLE, MD, 20747",451,38.844539,-76.890702
943,"6219 GREENBELT ROAD, BERWYN HEIGHTS, MD, 20740",457,38.996314,-76.905281
967,"1450 WHITEHALL RD, ANNAPOLIS, MD, 21409-5628",462,39.0259,-76.444276
998,"4835 SILVERHILL RD, SUITLAND, MD, 20746",549,38.850653,-76.922077
1024,"4401 REISTERTOWN RD, BALTIMORE, MD, 21215",519,39.33941,-76.667958
1061,"9007 ANNAPOLIS RD, LANHAM, MD, 20706",481,38.961321,-76.862056
1093,"504 E RANDOLPH RD, SILVER SPRINGS, MD, 20904",427,39.075985,-77.00092
1110,"2741 UNIVERSITY BLVD, KENSINGTON, MD, 20895-1914",425,39.039636,-77.057385
1175,"7960 BALTIMORE  ANNAPOLIS BLVD, GLEN BURNIE, MD, 21061",480,39.134542,-76.585372
1317,"330 S PHILADELPHIA BLVD, ABERDEEN, MD, 21001",0,39.504395,-76.167338
1359,"2207 BEL PRE RD, SILVER SPRING, MD, 20906",487,39.090881,-77.046997
1503,"2116 YORK RD, TIMONIUM, MD, 21093",438,39.441908,-76.62727
1504,"7415 GOVERNOR RITCHIE HWY, GLEN BURNIE, MD, 21061",436,39.165091,-76.621925
