nsn,address,items_with_price,lat,lon
356,"352 RIVERDALE RD, WEST SPRINGFIELD, MA, 1089",447,42.115792,-72.623996
373,"995 MAIN STREET, WORCESTER, MA, 01603-2418",451,42.247734,-71.826126
466,"334 JOHN FITCH HIGHWAY, FITCHBURG, MA, 1420",428,42.579613,-71.774071
471,"44 WM S CANNING BLVD, FALL RIVER, MA, 2721",413,41.677106,-71.161635
501,"195 N MAIN ST, ANDOVER, MA, 1810",502,42.663246,-71.14463
549,"718 AMERICAN LGN HWY, ROSLINDALE, MA, 2131",434,42.282864,-71.113602
592,"809 BOSTON RD, SPRINGFIELD, MA, 1109",438,42.136741,-72.517735
595,"413 MAIN ST, READING, MA, 1867",418,42.520565,-71.102882
629,"290 WORCESTER RD, NATICK, MA, 1760",422,42.301762,-71.337135
645,"1460 MEMORIAL DRIVE, CHICOPEE, MA, 01020-3964",443,42.197536,-72.574613
684,"515 GALLIVAN BLVD, DORCHESTER, MA, 2124",437,42.282402,-71.055159
691,"422 WASHINGTON ST, STOUGHTON, MA, 2072",438,42.13451,-71.101074
736,"1650 VFW PKY, WEST ROXBURY, MA, 2132",444,42.264488,-71.16777
737,"908 N MONTELLO ST, BROCKTON, MA, 2301",428,42.107845,-71.024803
742,"803 ROGERS ST, LOWELL, MA, 1852",424,42.629139,-71.276474
862,"221 KING ST, NORTHAMPTON, MA, 1060",446,42.328892,-72.633195
1020,"135 ANDOVER ST, DANVERS, MA, 1923",423,42.55687,-70.967377
1147,"17 27 UNION/EAGLE ST, NORTH ADAMS, MA, 1247",442,42.700757,-73.107984
1169,"595 MAIN ST, WALPOLE, MA, 2081",420,42.156254,-71.243729
1212,"654 IYANNOUGH ROAD, HYANNIS, MA, 2601",0,41.667568,-70.291522
1213,"2194 N HAMPTON ST, HOLYOKE, MA, 1040",433,42.186597,-72.629969
1272,"263 E MAIN ST, TEATICKET, MA, 2536",425,41.56735,-70.594897
1273,"32 BROADWAY, NORWOOD, MA, 2062",421,42.192688,-71.198692
1302,"340 CHESTNUT ST, NEEDHAM, MA, 2492",416,42.274288,-71.237457
1323,"302 N MAIN STREET, LEOMINSTER, MA, 1453",423,42.542198,-71.760483
1439,"285 FEDERAL ST, GREENFIELD, MA, 1301",445,42.599834,-72.594488
