nsn,address,items_with_price,lat,lon
74,"2120 N. LARCH, LANSING, MI, 48906-4115",440,42.757011,-84.543351
97,"5008 STATE STREET, SAGINAW, MI, 48603-3708",408,43.437273,-84.015157
117,"1221 28TH ST SW, WYOMING, MI, 49509-2701",411,42.91389,-85.6963
139,"1024 EAST GRAND RIVER ROAD, EAST LANSING, MI, 48823-4542",449,42.731273,-84.470181
146,"28220 JOHN R/12 MILE ROAD, MADISON HEIGHTS, MI, 48071-2814",0,42.501095,-83.105125
158,"1831 SHERMAN BLVD., WEST, MUSKEGON, MI, 49441-3428",417,43.205295,-86.289701
169,"407 W PROSPECT, JACKSON, MI, 49203-4008",442,42.226937,-84.415859
179,"918 N EUCLID AVE, BAY CITY, MI, 48706",400,43.613397,-83.914098
188,"4700 SOUTH CEDAR STREET, LANSING, MI, 48910-5470",410,42.686458,-84.54853
191,"812 W COLUMBIA, BATTLE CREEK, MI, 49015-3030",413,42.298625,-85.214737
210,"G-3391 S SAGINAW ST, BURTON, MI, 48529-1244",418,42.978363,-83.673123
222,"3212 CLIO ROAD, FLINT, MI, 48504-7161",426,43.045381,-83.73213
248,"3814 PLAINFIELD ROAD, N.E., GRAND RAPIDS, MI, 49525",411,43.031887,-85.625568
256,"1711 SOUTH SAGINAW RD., MIDLAND, MI, 48640-2631",412,43.615011,-84.213873
306,"14845 EUREKA ROAD, SOUTHGATE, MI, 48195-2001",407,42.198738,-83.204666
309,"1491 APPLE AVENUE, MUSKEGON, MI, 49442-3748",418,43.233888,-86.20696
319,"1201 24TH ST, PORT HURON, MI, 48060-4849",436,42.970978,-82.453209
346,"27480 VAN DYKE ROAD, WARREN, MI, 48093-2804",496,42.496181,-83.027161
357,"3719 DAVISON ROAD, EAST, FLINT, MI, 48506-4205",427,43.033645,-83.639679
391,"2106 DIX HWY, LINCOLN PARK, MI, 48146-2219",406,42.253712,-83.194778
432,"3700 E GENESEE ST, SAGINAW, MI, 48601-4280",437,43.398538,-83.911579
487,"27901 GRATIOT AVE, ROSEVILLE, MI, 48066",454,42.501617,-82.934555
488,"31255 HARPER AVENUE, ST. CLAIR SHORES, MI, 48082",423,42.526134,-82.89711
550,"4015 W SAGINAW, LANSING, MI, 48917-2107",454,42.740715,-84.604604
567,"18403 GRAND RIVER RD, DETROIT, MI, 48223-2316",404,42.401741,-83.221764
