nsn,address,items_with_price,lat,lon
63,"2075 SNELLING AVE N, ROSEVILLE, MN, 55113",433,45.003555,-93.167374
93,"6320 W LAKE ST, ST. LOUIS PARK, MN, 55416",432,44.942429,-93.359924
159,"1620 SERVICE DR, WINONA, MN, 55987-2177",393,44.051136,-91.68148
202,"4605 CENTRAL AVE NE, MINNEAPOLIS, MN, 55421-2435",410,45.052124,-93.246895
284,"8040 NICOLLET AVE, BLOOMINGTON, MN, 55420-1230",439,44.857845,-93.278999
291,"1273 S ROBERT ST, WEST ST. PAUL, MN, 55118",407,44.907799,-93.081352
371,"1388 MARYLAND AVENUE, ST. PAUL, MN, 55106",419,44.977264,-93.042625
507,"407 15TH AVE SE, MINNEAPOLIS, MN, 55414-2009",0,44.980247,-93.234558
531,"5400 W BROADWAY, CRYSTAL, MN, 55428-3506",442,45.051296,-93.360741
555,"2070 E COUNTY ROAD EAST, WHITE BEAR LAKE, MN, 55110",439,45.049999,-93.013802
671,"551 JEFFERSON ST, ST. PAUL, MN, 55102",430,44.930988,-93.122826
702,"720 N WINNETKA AVE, GOLDEN VALLEY, MN, 55427-4530",436,44.987469,-93.379654
919,"1411 MADISON AVE, MANKATO, MN, 56001-5441",461,44.166579,-93.971351
1057,"1116 N BROADWAY, ROCHESTER, MN, 55906",389,44.03476,-92.462545
1195,"210 2ND ST S, WAITE PARK, MN, 56387",416,45.5494,-94.219421
1246,"1009 W OAKLAND AVE, AUSTIN, MN, 55912-2217",397,43.666374,-92.986932
1366,"11364 FOLEY BLVD NW, COON RAPIDS, MN, 55448-3348",408,45.175781,-93.277122
1370,"2120 W DIVISION ST, ST. CLOUD, MN, 56301",454,45.552959,-94.183289
1406,"4121 HIAWATHA AVE, MINNEAPOLIS, MN, 55406-3357",452,44.928337,-93.223999
1761,"2929 HENNEPIN AVE S, MINNEAPOLIS, MN, 55408-1955",425,44.949131,-93.298035
1762,"110 E CENTRAL ENTRANCE, DULUTH, MN, 55811-5510",434,46.799939,-92.129755
1770,"1306 APACHE DR SW, ROCHESTER, MN, 55902",390,44.00497,-92.475044
1885,"220 8TH ST S, MOORHEAD, MN, 56560-2811",388,46.871996,-96.767604
1950,"3220 SOUTHDALE CIR, EDINA, MN, 55435-2511",452,44.882198,-93.319618
2123,"5760 CAHILL AVE, INVER GROVE HTS, MN, 55076",484,44.865124,-93.041855
2169,"609 E MAIN ST, ALBERT LEA, MN, 56007-2936",392,43.650281,-93.362167
2288,"14545 60TH ST N, STILLWATER, MN, 55082-6314",466,45.035175,-92.811516
2473,"210 E LAKE ST, MINNEAPOLIS, MN, 55408-2450",446,44.948551,-93.273651
2529,"3110 E LAKE ST, MINNEAPOLIS, MN, 55406-2002",406,44.948818,-93.226677
2567,"7667 150TH ST W, APPLE VALLEY, MN, 55124-7166",461,44.732895,-93.220963
2579,"525 N.W. 4TH STREET, FARIBAULT, MN, 55021-5032",459,44.294491,-93.277039
2665,"7355 POINT DOUGLAS RD, COTTAGE GROVE, MN, 55016",416,44.829548,-92.958733
2715,"5525 XERXES AVE N, BROOKLYN CENTER, MN, 55430-2856",449,45.055946,-93.322456
2770,"4000 W OLD SHAKOPEE RD, BLOOMINGTON, MN, 55437-2947",464,44.810814,-93.33094
2780,"840 E SAINT GERMAIN ST, ST. CLOUD, MN, 56304",448,45.569405,-94.140198
2805,"717 S 1ST ST, WILLMAR, MN, 56201-3503",406,45.116539,-95.042244
2874,"720 W MAIN ST, ANOKA, MN, 55303-1581",425,45.207561,-93.406586
2889,"1995 SILVER BELL RD, EAGAN, MN, 55122-1102",454,44.819523,-93.207298
2895,"521 W WASHINGTON ST, BRAINERD, MN, 56401-2927",411,46.356182,-94.218094
2981,"2201 HWY 10, MOUNDS VIEW, MN, 55112-4924",449,45.095806,-93.192871
2993,"3080 COON RAPIDS BLVD, COON RAPIDS, MN, 55433-3474",411,45.174244,-93.346214
3117,"1797 COPE AVE, MAPLEWOOD, MN, 55109-2608",471,45.010558,-93.024837
3118,"2260 RICE ST, LITTLE CANADA, MN, 55113",613,45.009682,-93.10527
3219,"4910 HWY 29 S, ALEXANDRIA, MN, 56308-2905",407,45.846783,-95.389473
3220,"8124 HWY 65, SPRING LAKE PARK, MN, 55432-2020",421,45.115513,-93.242256
3230,"1168 SILVER LAKE RD, NEW BRIGHTON, MN, 55112-6325",416,45.067024,-93.219109
3324,"9315 MEDICINE LAKE RD, GOLDEN VALLEY, MN, 55427-3112",442,45.007046,-93.39859
3491,"2105 LONDON RD, DULUTH, MN, 55812-2128",483,46.80517,-92.068879
3524,"1100 UNIVERSITY AVE NE, MINNEAPOLIS, MN, 55413-1222",456,44.999115,-93.263824
3525,"2213 UNIVERSITY AVENUE, ST. PAUL, MN, 55114",434,44.961967,-93.191406
3551,"1313 W COUNTY ROAD E, ARDEN HILLS, MN, 55112",431,45.050705,-93.155884
3617,"1841 SUBURBAN AVE, ST. PAUL, MN, 55119",408,44.950268,-93.022446
3746,"1245 PAUL BUNYAN DR NW, BEMIDJI, MN, 56601-4123",416,47.492622,-94.898003
4016,"1340 S FRONTAGE RD, HASTINGS, MN, 55033-2426",438,44.737717,-92.879013
4036,"1440 STINSON BLVD, MINNEAPOLIS, MN, 55413-1723",449,45.002743,-93.228333
4347,"1200 E COLLEGE DR, MARSHALL, MN, 56258-2010",432,44.450108,-95.773636
4385,"1271 E BRIDGE ST, REDWOOD FALLS, MN, 56283-1901",407,44.541954,-95.097389
