nsn,address,items_with_price,lat,lon
7,"7501 WASHINGTON AVE, OCEAN SPRINGS, MS, 39564",398,30.449638,-88.841944
409,"1644 PASS RD, BILOXI, MS, 39531-4313",0,30.402887,-88.935432
1446,"3111 HARDY ST, HATTIESBURG, MS, 39401-7058",414,31.325005,-89.336942
1596,"3227 DENNY AVE, PASCAGOULA, MS, 39581",418,30.377997,-88.528051
2184,"304 BEACON STREET, LAUREL, MS, 39440-4446",419,31.688396,-89.135887
2232,"1736 N FRONTAGE RD, MERIDIAN, MS, 39301-6154",423,32.356446,-88.687476
2289,"2237 N FRONTAGE RD, VICKSBURG, MS, 39180-5129",447,32.325428,-90.865209
2337,"1205 USHY 82 E, GREENVILLE, MS, 38703",0,33.399177,-91.036584
2746,"320 DELAWARE AVE, MCCOMB, MS, 39648",401,31.24424,-90.454413
3012,"550 COURTHOUSE RD, GULFPORT, MS, 39507-2505",418,30.391094,-89.043744
3252,"720 HWY 19 N, MERIDIAN, MS, 39305",425,32.36388,-88.728043
3376,"811 BROADWAY DR, HATTIESBURG, MS, 39401-7532",414,31.311629,-89.312345
3535,"9500 HWY 49, GULFPORT, MS, 39503-4228",418,30.426635,-89.091922
3606,"1108 S CASS STREET, CORINTH, MS, 38834",426,34.922388,-88.516385
3702,"120 SOUTH DAVIS, CLEVELAND, MS, 38732",431,33.742626,-90.716397
3887,"952 BROOKWAY BLVD, BROOKHAVEN, MS, 39601-2644",402,31.579453,-90.470432
3965,"3903 HANGING MOSS, JACKSON, MS, 39206-4710",402,32.355976,-90.180344
4309,"1319 SUNSET DR, GRENADA, MS, 38901",434,33.776097,-89.825168
4329,"10536 D'IBERVILLE BLVD, DIBERVILLE, MS, 39532-2404",398,30.440766,-88.897632
4492,"1900 UNIVERSITY AVE, OXFORD, MS, 38655-4114",427,34.362188,-89.50903
4883,"907 EAST US HWY 82, INDIANOLA, MS, 38751",434,33.45842,-90.637435
5034,"802 N 2ND ST, BOONEVILLE, MS, 38829",439,34.670124,-88.56399
5111,"6579 USHY 49 N, HATTIESBURG, MS, 39401-8948",414,31.350838,-89.340834
5228,"327 WOODLAWN DR., FOREST, MS, 39074",422,32.367929,-89.479752
5445,"203 NORFLEET DR, SENATOBIA, MS, 38668-2223",434,34.623659,-89.953447
5595,"2701 HWY 90 W, GAUTIER, MS, 39553-5154",417,30.391638,-88.653937
5669,"1550 SIMPSON HWY 49, MAGEE, MS, 39111",422,31.867699,-89.738231
5832,"474 SPRINGRIDGE RD, CLINTON, MS, 39056-4852",517,32.329231,-90.326508
6170,"302 USHY 90, WAVELAND, MS, 39576-2672",424,30.307535,-89.376126
6558,"302 HWY 6 E, BATESVILLE, MS, 38606-2629",504,34.311028,-89.943496
6638,"201 HWY 45 N, ABERDEEN, MS, 39730-2307",464,33.829005,-88.561967
6953,"1196 HWY 49 S, RICHLAND, MS, 39218-9446",512,32.214847,-90.151814
7328,"3196 HWY 82 E, GREENVILLE, MS, 38701",0,33.4006,-91.007053
7416,"6724 HIGHWAY 63, MOSS POINT, MS, 39563-9568",417,30.438864,-88.526609
7709,"1427 W PEACE ST, CANTON, MS, 39046",427,32.606884,-90.065445
7824,"228 E BEACH BLVD, LONG BEACH, MS, 39560-6114",419,30.346813,-89.143611
7868,"5500 MARVIN SHIELDS BLVD, GULFPORT, MS, 39501",0,30.372996,-89.128415
7992,"145 HWY 15 BYP N, PONTOTOC, MS, 38863-1914",413,34.252622,-89.018642
7993,"130 HWY 12 W, KOSCIUSKO, MS, 39090-1246",432,33.066334,-89.591502
10196,"510 HWY 16 W, CARTHAGE, MS, 39051",423,32.731248,-89.540236
10202,"103 HWY 42, PETAL, MS, 39465",0,31.347099,-89.261971
10277,"2465 HWY 80 W, JACKSON, MS, 39204",517,32.291364,-90.229131
10403,"28069 HIGHWAY 28, HAZLEHURST, MS, 39083-2104",402,31.875467,-90.403058
10493,"202 HWY 15 N, RIPLEY, MS, 38663",456,34.730709,-88.94583
10694,"4900 W HARDY ST, HATTIESBURG, MS, 39402",418,31.322843,-89.363108
10788,"809 AZALEA DRIVE, WAYNESBORO, MS, 39367-2720",419,31.677197,-88.64363
11006,"2104 N HILLS ST, MERIDIAN, MS, 39305",444,32.409834,-88.700857
11517,"1040 USHY 51, MADISON, MS, 39110-9084",519,32.462058,-90.110475
11669,"12135 HWY 63 S, LUCEDALE, MS, 39452-2908",473,30.910263,-88.598777
11672,"516 HWY 19 S, MERIDIAN, MS, 39301-4617",452,32.365785,-88.668384
12004,"595 E BEASLEY RD, JACKSON, MS, 39206-3044",517,32.385876,-90.148185
12005,"5799 TERRY RD, JACKSON, MS, 39272",402,32.186698,-90.260784
12258,"1607 S. ADAMS STREET, FULTON, MS, 38843",428,34.247378,-88.403153
12268,"3835 N GLOSTER, TUPELO, MS, 38801-0914",417,34.306875,-88.707507
12426,"1691 HWY 16 W, PHILADELPHIA, MS, 39350",0,32.758211,-89.148288
12461,"804 USHY 278E, AMORY, MS, 38821",475,33.980329,-88.478259
12513,"1512 GOODMAN RD, HORN LAKE, MS, 38637",501,34.963064,-90.017816
12516,"2301 S. HARPER  (W*M #105), CORINTH, MS, 38834",0,34.910239,-88.502034
12569,"1651 MARTIN LUTHER KING JR. BLVD SOUTH, GREENVILLE, MS, 38701",420,33.373312,-91.040353
12604,"11401 HWY 49 N, GULFPORT, MS, 39503",417,30.453183,-89.100541
12680,"HWY 7 & HWY 78 (CLARICE DRIVE), HOLLY SPRINGS, MS, 38635",504,34.750551,-89.452456
12789,"101 EDGEWOOD DR, MCCOMB, MS, 39648",404,31.261021,-90.475358
12944,"440 E COMMERCE, HERNANDO, MS, 38632",418,34.824404,-89.982223
13137,"1860 SPILLWAY RD, BRANDON, MS, 39042",421,32.382416,-90.042036
13470,"701 HILL ST, ELLISVILLE, MS, 39437",420,31.608987,-89.202563
13649,"2400 CLAY ST, VICKSBURG, MS, 39180",446,32.347309,-90.863086
14330,"224 EASTSIDE DR, NEWTON, MS, 39345",420,32.3419,-89.13783
14464,"7455 GOODMAN ROAD, OLIVE BRANCH, MS, 38654",485,34.961612,-89.856911
15122,"9350G HWY 49 (W*M #969), GULFPORT, MS, 39503",0,30.423325,-89.089174
15124,"1010 N STATE ST, JACKSON, MS, 39202",446,32.31249,-90.177428
15125,"1350 E WOODROW WILSON AVE, JACKSON, MS, 39216",0,32.327639,-90.173071
15363,"1803 JACKSON AVE W, OXFORD, MS, 38655",423,34.364863,-89.555496
15364,"318HWY 82 W, WINONA, MS, 38967",432,33.487402,-89.757481
15365,"338 N JACKSON ST, HOUSTON, MS, 38851",471,33.899115,-88.999692
15864,"4675 CLINTON BLVD, JACKSON, MS, 39209",446,32.327877,-90.250905
16208,"314 SGT PRENTISS DR (W*M #0874), NATCHEZ, MS, 39120",0,31.553014,-91.371297
17666,"1655 SUNSET DR (W*M #1074), GRENADA, MS, 38901",0,33.781917,-89.837317
18043,"4872 PLAZA DR, TYLERTOWN, MS, 39667",414,31.131113,-90.146047
18206,"16170 HWY 27, CRYSTAL SPRINGS, MS, 39059",403,32.012644,-90.355403
18360,"402 RIVERWIND DR, PEARL, MS, 39208",517,32.26782,-90.135477
18430,"1375 USHY 61 N, TUNICA, MS, 38676",418,34.689865,-90.374923
19007,"817 HWY 12 W, STARKVILLE, MS, 39759",0,33.447026,-88.841104
