nsn,address,items_with_price,lat,lon
71,"9915 WATSON RD, CRESTWOOD, MO, 63126",486,38.55704,-90.393754
135,"501 WEST SUNSHINE, SPRINGFIELD, MO, 65807-2435",450,37.182774,-93.29677
144,"1425 MISSOURI BLVD, JEFFERSON CITY, MO, 65109",436,38.579066,-92.195242
171,"205 BUSINESS LOOP, COLUMBIA, MO, 65201",430,38.965145,-92.334905
351,"1114 WEST KEARNEY, SPRINGFIELD, MO, 65803-1238",436,37.240559,-93.304031
429,"7300 N LINDBERGH, HAZELWOOD, MO, 63042-2033",437,38.783391,-90.354951
438,"11700 EAST HIGHWAY 24, INDEPENDENCE, MO, 64054-1524",427,39.102465,-94.436517
465,"2701 S MAIN ST, JOPLIN, MO, 64804",434,37.060119,-94.51423
532,"601 N BELT HWY, ST. JOSEPH, MO, 64506",422,39.80192,-94.816156
577,"7241 GRAVOIS AVENUE, ST. LOUIS, MO, 63116",0,38.565636,-90.292522
670,"8127 OLIVE STREET ROAD, UNIVERSITY CITY, MO, 63130-2024",488,38.673931,-90.347048
811,"9131 W FLORISSANT, FERGUSON, MO, 63136",0,38.73552,-90.278493
813,"4002 NORTH OAK TRAFFICWAY, KANSAS CITY, MO, 64116-2609",413,39.167392,-94.577147
1039,"1925 BROADWAY, CAPE GIRARDEAU, MO, 63701",427,37.312606,-89.545738
1055,"4979 NATURAL BRIDGE RD, ST. LOUIS, MO, 63115",432,38.676173,-90.250699
1073,"1160 S 5TH ST, ST. CHARLES, MO, 63301",469,38.772582,-90.491476
1207,"2512 E SUNSHINE, SPRINGFIELD, MO, 65804-1825",452,37.180647,-93.246288
1209,"12120 MANCHESTER ROAD, DES PERES, MO, 63131-4309",442,38.602058,-90.438545
1349,"290 E 69 HWY, CLAYCOMO, MO, 64119",414,39.200516,-94.499097
1425,"1401 S NOLAND ROAD, INDEPENDENCE, MO, 64055",0,39.075221,-94.413402
1530,"12499 NATURAL BRIDGE RD, BRIDGETON, MO, 63044-2022",0,38.757378,-90.430077
1531,"4620 SOUTH KINGSHIGHWAY, ST. LOUIS, MO, 63109",439,38.586227,-90.276009
1760,"5347 INDEPENDENCE, KANSAS CITY, MO, 64124-3007",416,39.104929,-94.519726
1916,"7887 STATE LINE ROAD, KANSAS CITY, MO, 64114-1636",435,38.985949,-94.607678
1917,"415 STADIUM BLVD, COLUMBIA, MO, 65201",461,38.960894,-92.37196
1920,"515 N CLEVELAND, FAYETTE, MO, 65248",0,39.150339,-92.689888
2050,"6863 PARKER RD, FLORISSANT, MO, 63033-5312",440,38.796379,-90.231888
2060,"MISSOURI BUSINESS RT 25, MALDEN, MO, 63863",420,36.572557,-89.970188
2113,"1611 S LIMIT AVE, SEDALIA, MO, 65301-6943",453,38.697295,-93.25021
2147,"15204 MANCHESTER ROAD, BALLWIN, MO, 63011-4601",441,38.592411,-90.553795
2216,"12680 DORSETT ROAD, MARYLAND HEIGHTS, MO, 63043-2130",450,38.714172,-90.456924
2318,"1123 RANGE LINE RD, JOPLIN, MO, 64801",432,37.078412,-94.477043
2321,"2220 N. GLENSTONE ROAD, SPRINGFIELD, MO, 65803-4648",459,37.236661,-93.260582
2649,"814 N HWY 7, BLUE SPRINGS, MO, 64014-2430",422,39.028114,-94.271066
2750,"10431 PAGE AVENUE, ST. LOUIS, MO, 63132",495,38.691914,-90.389954
2754,"3883 VETERANS MEMORIAL PKY, ST. PETERS, MO, 63376",465,38.791718,-90.563393
2833,"1401 S BALTIMORE, KIRKSVILLE, MO, 63501-4532",484,40.184546,-92.571497
2875,"4 S OLD ORCHARD RD, WEBSTER GROVES, MO, 63119-3203",435,38.591175,-90.338371
3030,"311 E YOUNG, WARRENSBURG, MO, 64093-1209",440,38.771439,-93.734173
3172,"1300 WEST 103RD STREET, KANSAS CITY, MO, 64114-4515",412,38.942395,-94.607291
3178,"16235 E HWY 24, INDEPENDENCE, MO, 64056-1520",430,39.117415,-94.382548
3180,"6305 N ANTIOCH RD, GLADSTONE, MO, 64119",417,39.207438,-94.548064
3291,"901 CHIPMAN RD, LEE'S SUMMIT, MO, 64063-2317",395,38.925167,-94.398849
3337,"350 S KIRKWOOD RD, KIRKWOOD, MO, 63122-6143",493,38.577091,-90.406013
3386,"4006 LINDELL BLVD (WEST END), ST. LOUIS, MO, 63108",466,38.639053,-90.243767
3430,"1420 HAMPTON AVENUE, ST. LOUIS, MO, 63139",423,38.624458,-90.287483
3487,"3741 BROADWAY, KANSAS CITY, MO, 64111-2505",424,39.05897,-94.590256
3561,"5904 SOUTH LINDBERGH BLVD., ST. LOUIS, MO, 63123",451,38.521984,-90.346413
3564,"1106 KINGSHIGHWAY, ROLLA, MO, 65401-2923",450,37.944651,-91.785956
3565,"1607 E BATTLEFIELD RD, SPRINGFIELD, MO, 65804-3705",477,37.160049,-93.266744
3706,"4226 S NOLAND, INDEPENDENCE, MO, 64055-4792",404,39.043186,-94.415592
3785,"515 W MAIN, BRANSON, MO, 65616-9100",449,36.644671,-93.222904
