nsn,address,items_with_price,lat,lon
1248,"1721 10TH AVENUE S., GREAT FALLS, MT, 59405",399,47.494479,-111.277213
1249,"1046 GRAND AVE, BILLINGS, MT, 59102-3304",403,45.783746,-108.542685
2111,"1901 PROSPECT AVE, HELENA, MT, 59601-3180",425,46.590873,-112.00672
2332,"3310 BROOKS ST, MISSOULA, MT, 59801-8290",413,46.839966,-114.029799
2515,"2333 CENTRAL AVE, BILLINGS, MT, 59102-4646",403,45.770084,-108.575258
2693,"1710 3RD STREET NW, GREAT FALLS, MT, 59404",401,47.522717,-111.307544
2731,"1503 W MAIN, BOZEMAN, MT, 59715-4009",435,45.679823,-111.057551
3059,"1110 HWY 2 W, KALISPELL, MT, 59901-3410",436,48.199949,-114.332432
5978,"6495 HWY 93 S, WHITEFISH, MT, 59937-8238",434,48.395983,-114.334713
5979,"331 W 1ST, HAVRE, MT, 59501-3409",402,48.555026,-109.689773
6524,"1550 SOUTH CENTRAL AVE, SIDNEY, MT, 59270-5519",431,47.702066,-104.165845
6844,"720 E BROADWAY, MISSOULA, MT, 59802-4610",417,46.869814,-113.984571
7507,"3060 N MONTANA AVE, HELENA, MT, 59601-0551",427,46.616011,-112.021316
7508,"822 WHEAT DR, BOZEMAN, MT, 59715-2560",435,45.698624,-111.049628
7575,"1120 S HAYNES, MILES CITY, MT, 59301-5728",403,46.397784,-105.822118
7593,"3001 HARRISON, BUTTE, MT, 59701-3640",498,45.980766,-112.50879
10297,"1565 LIBERTY LN, MISSOULA, MT, 59808",443,46.878218,-114.020579
11551,"103 CENTENNIAL DRIVE, LIVINGSTON, MT, 59047",427,45.642879,-110.573297
11844,"905 LOUISIANA AVE, LIBBY, MT, 59923-2109",434,48.386698,-115.55174
11906,"907 W MAIN, LEWISTOWN, MT, 59457-2401",379,47.060839,-109.432474
12084,"51154 US HWY 93, POLSON, MT, 59860-9729",499,47.692278,-114.128259
12221,"601 W MAIN ST, CUT BANK, MT, 59427-2829",402,48.639858,-112.339857
12222,"707 N. FIRST STREET, HAMILTON, MT, 59840-2133",423,46.253881,-114.157066
12612,"576 N. MONTANA STREET, DILLON, MT, 59725",499,45.22445,-112.629562
13080,"505 1ST AVE N, GLASGOW, MT, 59230",418,48.196103,-106.635553
13124,"4560 N RESERVE ST, MISSOULA, MT, 59808",416,46.907262,-114.037141
13379,"4902 SOUTHGATE DR, BILLINGS, MT, 59102",403,45.754877,-108.536791
13501,"150 VAN BUREN ST, ANACONDA, MT, 59711",498,46.126547,-112.93387
13978,"3003 GRAND AVE, BILLINGS, MT, 59102",404,45.78461,-108.590751
15288,"207 JEFFERSON ST, BELGRADE, MT, 59714",432,45.772416,-111.184186
15350,"2065 HWY 2 E, KALISPELL, MT, 59901",436,48.217487,-114.27656
15594,"133 N INTERCHANGE, DEER LODGE, MT, 59722",494,46.412159,-112.72599
15719,"303 HWY 2 W, WOLF POINT, MT, 59201",460,48.093997,-105.640918
15722,"1225 N CRAWFORD, HARDIN, MT, 59034",403,45.742093,-107.612048
17338,"601 E 8TH AVE N, COLUMBUS, MT, 59019",0,45.643975,-109.247617
17806,"63880 US HWY 93, RONAN, MT, 59864",507,47.519204,-114.096264
18406,"11882 HWY 93 SOUTH, LOLO, MT, 59847",425,46.757812,-114.081539
20103,"100 S CANYON, WEST YELLOWSTONE, MT, 59758",440,44.657438,-111.100144
20259,"2000 14TH STREET, SW, GREAT FALLS, MT, 59404",399,47.484992,-111.338705
24659,"401 MAIN ST, BILLINGS, MT, 59105",402,45.805796,-108.475139
28996,"1500 N 7TH AVE(WALMART 2084), BOZEMAN, MT, 59715",0,45.694508,-111.042681
31587,"1000 GRIZZLEY TRAIL, BUTTE, MT, 59701",496,46.004973,-112.611178
31872,"301 SE 4TH STREET, LAUREL, MT, 59044",405,45.665516,-108.768222
32221,"2310 US HIGHWAY 93 NORTH, KALISPELL, MT, 59901",379,48.233977,-114.329517
32354,"2711 FRONTAGE ROAD, BILLINGS, MT, 59101",403,45.816492,-108.416438
33313,"910 SHILOH CROSSING BLVD., BILLINGS, MT, 59102",403,45.75411,-108.617127
34384,"8745 HIGHWAY 93 NORTH. SUITE C, MISSOULA, MT, 59808",420,46.955207,-114.132511
