nsn,address,items_with_price,lat,lon
458,"2410 CUMING ST, OMAHA, NE, 68131-1630",397,41.268238,-95.947463
1828,"122 S 40TH ST, OMAHA, NE, 68131-3004",411,41.258992,-95.973581
1829,"1317 W 2ND ST, GRAND ISLAND, NE, 68801-5711",385,40.919268,-98.352709
2576,"621 E 25TH ST, KEARNEY, NE, 68847-5517",405,40.699867,-99.072479
2734,"813 S 13TH ST, NORFOLK, NE, 68701-5747",398,42.023128,-97.426109
2843,"435 E 23RD ST, FREMONT, NE, 68025",383,41.45123,-96.491662
3594,"3323 WEST STATE STREET, GRAND ISLAND, NE, 68803",386,40.938313,-98.380106
3646,"1220 N 6TH ST, BEATRICE, NE, 68310-2019",442,40.278723,-96.746273
3701,"1608 GALVIN RD, BELLEVUE, NE, 68005-3809",383,41.143079,-95.911323
3816,"3210 23RD ST, COLUMBUS, NE, 68601-3126",386,41.439103,-97.367031
3899,"3330 S 10TH ST, LINCOLN, NE, 68502-4403",428,40.778437,-96.705805
4381,"1510 N BURLINGTON, HASTINGS, NE, 68901-3026",385,40.601757,-98.391375
4721,"10777 Q ST, OMAHA, NE, 68127-2931",390,41.204943,-96.080825
4786,"1410 S WASHINGTON, PAPILLION, NE, 68046",400,41.138851,-96.043509
4856,"1141 W BOND, LINCOLN, NE, 68521-3632",426,40.844109,-96.73854
4890,"1313 S DEWEY, NORTH PLATTE, NE, 69101-7615",0,41.122012,-100.762507
5334,"13708 Q ST, OMAHA, NE, 68137",408,41.205593,-96.127218
5653,"1512 S 11TH, NEBRASKA CITY, NE, 68410",447,40.663444,-95.859662
5815,"I-80 & US HWY 81, YORK, NE, 68467",385,40.824265,-97.598531
5998,"1449 W 3RD AVE, ALLIANCE, NE, 69301-3127",432,42.096339,-102.893246
6012,"9009 OLD MILITARY AVE, OMAHA, NE, 68134",411,41.310584,-96.053503
6062,"6500 O ST, LINCOLN, NE, 68510-2330",429,40.813917,-96.631755
6379,"1429 K STREET, FAIRBURY, NE, 68352-1309",0,40.147578,-97.17164
6476,"3606 S 84TH, OMAHA, NE, 68124-3900",410,41.225983,-96.043793
6508,"7717 WEST DODGE, OMAHA, NE, 68114-3636",413,41.259262,-96.033441
6520,"2600 S 48TH ST STE 20, LINCOLN, NE, 68506-2502",423,40.785175,-96.65301
6736,"3404 N 108TH ST, OMAHA, NE, 68164-2907",411,41.290081,-96.081999
6738,"2706 PLUM CREEK PKWY, LEXINGTON, NE, 68850-5614",390,40.747458,-99.739455
6739,"5327 CORNHUSKER HWY, LINCOLN, NE, 68504-1428",422,40.855294,-96.646757
7064,"600 DAKOTA AVE, SOUTH SIOUX CITY, NE, 68776",436,42.483547,-96.412448
7232,"301 STAGECOACH TRAIL I80 EXIT 126, OGALLALA, NE, 69153",430,41.116424,-101.711503
7499,"1028 SAUNDERS, LINCOLN, NE, 68521-2326",456,40.836838,-96.706602
7670,"2340 N 72ND ST, OMAHA, NE, 68134-7008",0,41.2811,-96.024379
7769,"501 N HWY 83, MCCOOK, NE, 69001",399,40.202071,-100.64424
7897,"715 2ND AVE, KEARNEY, NE, 68847-7811",386,40.681692,-99.083742
8069,"212 E HWY 20, O'NEILL, NE, 68763",459,42.45608,-98.632822
10113,"11330 W DODGE, OMAHA, NE, 68154-2620",410,41.263692,-96.090393
10599,"1397 PROGRESSIVE RD, SEWARD, NE, 68434",0,40.886577,-97.102277
10606,"2984 UPLAND PARKWAY, SIDNEY, NE, 69162",433,41.117349,-102.950368
10711,"547 N 48TH ST, LINCOLN, NE, 68504-3404",426,40.818701,-96.654187
11043,"4404 N 30TH, OMAHA, NE, 68111",409,41.298925,-95.957368
11651,"5800 OLD CHENEY RD, LINCOLN, NE, 68516-3583",428,40.754306,-96.641951
11689,"3609 SUMMIT PLAZA DR, BELLEVUE, NE, 68123-1090",391,41.14007,-95.967783
11863,"9505 S 144TH ST, OMAHA, NE, 68137",407,41.165124,-96.137954
11940,"PO BOX 12, HOLDREGE, NE, 68949",384,40.438117,-99.385434
12152,"123 E SOUTH E ST, BROKEN BOW, NE, 68822",0,41.40208,-99.629685
12419,"1246 NORTH LINCOLN, WEST POINT, NE, 68788",385,41.851005,-96.710083
12787,"1601 Q STREET, AURORA, NE, 68818",403,40.872925,-97.997316
12897,"3909 S 42ND, OMAHA, NE, 68107",409,41.221444,-95.975292
13751,"2641 TICONDEROGA, LINCOLN, NE, 68521",451,40.858632,-96.682659
14252,"320 S LAKE AVE, GOTHENBURG, NE, 69138",0,40.92281,-100.166612
15102,"2605 L, ORD, NE, 68862",0,41.602763,-98.941872
15748,"1205 RIVERSIDE BLVD, NORFOLK, NE, 68701",412,42.046324,-97.416911
16740,"14363 SOUTH HIGHWAY 31, GRETNA, NE, 68028",411,41.097247,-96.251791
16841,"10201 S 21ST, BELLEVUE, NE, 68123",396,41.158698,-95.94215
17082,"2760 S 13TH ST, OMAHA, NE, 68108",416,41.232764,-95.933799
17486,"1855 10TH ST, GERING, NE, 69341",405,41.827599,-103.66073
17490,"1180 W HWY 20, CHADRON, NE, 69337",414,42.828802,-103.016092
17691,"8003 S 84TH ST, LA VISTA, NE, 68128",391,41.179496,-96.042347
17786,"3805 N 132ND ST, OMAHA, NE, 68164",416,41.293284,-96.119099
20838,"345 WEST O STREET, LINCOLN, NE, 68522",427,40.813037,-96.724263
21012,"18320 WRIGHT ST, OMAHA, NE, 68130",409,41.233467,-96.201523
21021,"2700 PINE LAKE RD, LINCOLN, NE, 68516",430,40.740079,-96.681907
21022,"4635 N 72ND ST, OMAHA, NE, 68134",408,41.301272,-96.023241
22092,"14449 W CENTER RD, OMAHA, NE, 68144",388,41.233396,-96.140533
22513,"7400 N 30TH, OMAHA, NE, 68112",407,41.327098,-95.958293
23073,"929 WASHINGTON, BLAIR, NE, 68008",396,41.543309,-96.125237
23078,"875 N 27TH ST, LINCOLN, NE, 68502",435,40.822176,-96.682831
24382,"419 WEST 27TH STREET, SCOTTSBLUFF, NE, 69361",412,41.874326,-103.669487
25659,"617 TOMAR DR, WAYNE, NE, 68787",399,42.235088,-97.004327
26957,"101 W HIGHWAY 20, VALENTINE, NE, 69201",397,42.867333,-100.550013
27784,"4700 N 27TH ST, LINCOLN, NE, 68521",0,40.858314,-96.678368
29324,"8700 ANDERMAT AVE (WALMART), LINCOLN, NE, 68521",0,40.735703,-96.599415
29357,"3322 AVE L (W*M #867), SCOTTSBLUFF, NE, 69361",0,41.879568,-103.678457
30953,"12850 L ST, OMAHA, NE, 68137",0,41.212343,-96.113225
31198,"8525 S 71ST ST (WALMART), PAPILLION, NE, 68046",0,41.175,-96.021777
31382,"5605 1ST AVE, KEARNEY, NE, 68847",385,40.728865,-99.081354
31691,"13821 GUILDFORD, WAVERLY, NE, 68462",425,40.912935,-96.53295
32410,"900 W J ST, HASTINGS, NE, 68901",386,40.568451,-98.39329
33173,"3211 NEWBERRY RD, NORTH PLATTE, NE, 69101",387,41.098087,-100.725992
33571,"3575 NORTH 168TH COURT, OMAHA, NE, 68116",413,41.290921,-96.178093
33731,"2140 K STREET, SUITE 102, LINCOLN, NE, 68510",438,40.809501,-96.690352
34582,"17805 WELCH PLAZA, OMAHA, NE, 68135",414,41.205556,-96.193007
