nsn,address,items_with_price,lat,lon
900,"1003 E LAKE MEAD BLVD, NORTH LAS VEGAS, NV, 89030",413,36.195247,-115.128444
975,"3815 S MARYLAND PKY, LAS VEGAS, NV, 89109",401,36.119999,-115.138063
1064,"440 KEYSTONE AVE, RENO, NV, 89503-4302",495,39.527858,-119.827029
2282,"2001 N CARSON ST, CARSON CITY, NV, 89706-2248",488,39.179562,-119.766545
2641,"4934 BOULDER HWY, LAS VEGAS, NV, 89121-3016",443,36.113822,-115.066655
2898,"3010 LAS VEGAS BLVD N, NORTH LAS VEGAS, NV, 89030",465,36.213447,-115.099487
3286,"610 E PRATER WAY, SPARKS, NV, 89431-4680",460,39.542284,-119.735835
4438,"1995 IDAHO ST, ELKO, NV, 89801-2630",530,40.847283,-115.748896
4773,"2513 E OWENS AVE, NORTH LAS VEGAS, NV, 89030",423,36.188199,-115.115167
5023,"5000 S VIRGINIA ST, RENO, NV, 89502-6018",489,39.481392,-119.790798
5045,"5947 SPRING MOUNTAIN RD, LAS VEGAS, NV, 89103",418,36.12523,-115.222387
5127,"1601 W CHARLESTON BLVD, LAS VEGAS, NV, 89102-2333",385,36.158525,-115.162624
5240,"3451 W TROPICANA, LAS VEGAS, NV, 89118",411,36.100511,-115.186314
6065,"836 N NELLIS BLVD, LAS VEGAS, NV, 89110-5308",427,36.174877,-115.061658
6283,"2005 W WILLIAMS AVE, FALLON, NV, 89406-2688",449,39.476044,-118.80066
6305,"1666 USHY 395, MINDEN, NV, 89423-4309",0,38.957947,-119.77458
6421,"432 NORTH VIRGINIA AVENUE, RENO, NV, 89501",0,39.530632,-119.814276
6787,"4300 MEADOWS LN, LAS VEGAS, NV, 89107-3004",0,36.172275,-115.19669
6925,"1930 W WINNEMUCCA BLVD, WINNEMUCCA, NV, 89445-3637",496,40.959164,-117.74832
6926,"3700 S PARADISE RD, LAS VEGAS, NV, 89109-4605",413,36.122028,-115.154446
6965,"3175 N RANCHO, LAS VEGAS, NV, 89130-3302",499,36.216749,-115.212438
7343,"1150 KIETZKE LN, RENO, NV, 89502-2714",434,39.514503,-119.788653
7790,"1237 NEVADA HWY, BOULDER CITY, NV, 89005-1809",406,35.971646,-114.849128
7882,"2550 E SUNSET RD, LAS VEGAS, NV, 89120-3513",404,36.071926,-115.115373
7890,"3905 S CARSON ST, CARSON CITY, NV, 89701",491,39.130913,-119.769619
8206,"7851 W CHARLESTON, LAS VEGAS, NV, 89117",421,36.158616,-115.263073
10489,"120 LEMMON DR, RENO, NV, 89506-8799",499,39.612404,-119.849455
10764,"3229 LOSEE RD, NORTH LAS VEGAS, NV, 89030",0,36.219071,-115.126876
11402,"5148 MAE ANNE BLVD, RENO, NV, 89523-1855",492,39.531688,-119.865252
11624,"1810 SILVERADA BLVD, RENO, NV, 89512-2100",493,39.545793,-119.781123
11818,"2880 S LAS VEGAS BLVD, LAS VEGAS, NV, 89109-1120",0,36.136534,-115.163417
12067,"2340 S RAINBOW, LAS VEGAS, NV, 89102-2977",417,36.145722,-115.242584
12087,"I15 STATE LINE, PRIMM, NV, 89019",413,35.610122,-115.387905
12110,"1500 HWY 343, FERNLEY, NV, 89408",454,39.608667,-119.221749
12279,"3308 S MCCARRAN BLVD, RENO, NV, 89502-6442",445,39.484699,-119.747865
12353,"2217 N GREEN VALLEY, HENDERSON, NV, 89014-5024",457,36.053454,-115.08302
12525,"1055 F ST, HAWTHORNE, NV, 89415",491,38.533013,-118.62427
12966,"601 N STEPHANIE, HENDERSON, NV, 89014",408,36.064001,-115.046683
13034,"4105 S EASTERN, LAS VEGAS, NV, 89119",421,36.114261,-115.119567
13323,"1408 W CRAIG RD, NORTH LAS VEGAS, NV, 89031",414,36.239955,-115.160798
13347,"930 BROYLES RD, BATTLE MOUNTAIN, NV, 89820",508,40.637717,-116.944623
13348,"1555 MAIN ST, LOVELOCK, NV, 89419",446,40.178849,-118.472647
13647,"3799 S LAS VEGAS BLVD, LAS VEGAS, NV, 89109",0,36.103374,-115.169396
