any,596,932,990,1532,1693,1718,1719,1842,1859,1881,1894,1952,1964,2038,2039,2830,2831,4068,4204,4205,4523,4956,7194,7278,7417,7532,7587,8063,10254,10465,10544,10622,10712,11259,11675,12255,12272,12518,13555,13943,14966,15360,15582,17371,18198,18792,21536,21582,21583,21757,24235,25383,25699,25743,26674,30098,31994,33187,35703
Y,229,199,199,199,199,239,199,199,199,199,219,199,199,229,229,229,199,199,,229,199,229,229,199,229,199,199,239,199,199,229,229,,199,199,199,229,,259,219,199,199,199,229,229,199,,229,199,189,199,229,,199,199,,189,259,199
Y,359,,,,,,,,,,,,,359,,359,,,,359,,359,359,,359,,,,,,359,359,,,,,359,,309,299,,,,359,359,,,359,,,,359,,,,,,309,
Y,259,259,259,259,259,259,259,259,259,259,259,259,259,259,279,259,259,259,,259,259,259,259,259,259,259,259,259,259,249,259,259,,259,259,259,259,,269,269,259,259,259,259,259,259,,259,259,249,259,259,,259,259,,249,269,259
Y,459,479,479,479,479,399,479,479,479,479,479,479,479,459,349,459,479,479,,459,479,459,459,479,459,479,479,399,479,479,459,459,,479,479,479,459,,359,389,479,479,479,459,459,479,,459,479,369,479,459,,479,479,,369,359,479
Y,699,699,699,699,729,719,729,699,699,699,699,699,729,699,669,699,699,699,,699,699,699,699,729,699,699,699,689,729,729,699,699,,699,729,729,699,,669,729,699,699,699,699,699,699,,699,699,719,699,699,,729,729,,719,679,729
Y,629,,,,,,,,,,,,,629,589,629,,,,629,,629,629,,629,,,,,,629,629,,,,,629,,589,599,,,,629,629,,,629,,,,629,,,,,,559,629
Y,669,699,699,699,729,669,729,699,699,699,699,699,729,669,639,669,699,699,,669,699,669,669,729,669,699,699,669,729,729,669,669,,699,729,729,669,,659,699,699,699,699,669,669,699,,669,699,669,699,669,,729,729,,669,649,729
Y,199,199,199,199,199,169,199,199,199,199,199,199,199,199,169,199,199,199,,199,199,199,199,199,199,199,199,169,199,199,199,199,,199,199,199,199,,159,179,199,199,199,199,199,199,,199,199,159,199,199,,199,199,,159,159,199
Y,230,229,229,229,229,299,229,229,229,229,249,229,229,230,199,230,249,239,,230,229,230,230,229,230,249,229,299,229,249,230,230,,229,229,229,230,,239,239,239,239,249,230,230,229,,230,249,249,229,230,,229,229,,249,249,229
Y,549,569,549,549,549,499,549,549,549,569,569,549,549,549,489,549,569,569,,549,549,549,549,549,549,569,549,499,549,549,549,549,,569,549,549,549,,439,529,549,549,569,549,549,549,,549,549,549,549,549,,549,549,,559,439,549
Y,599,629,599,599,619,629,599,599,599,629,629,599,599,599,579,599,629,629,,599,599,599,599,599,599,629,599,659,629,599,599,599,,629,629,629,599,,539,599,599,599,629,599,599,599,,599,599,639,599,599,,629,599,,639,549,629
Y,219,229,229,229,229,229,229,229,229,229,249,229,229,219,199,219,249,239,,219,229,219,219,229,219,249,229,229,229,249,219,219,,229,229,229,219,,209,189,239,239,249,219,219,229,,219,249,219,229,219,,229,229,,219,219,229
Y,219,219,219,219,219,229,219,219,219,219,219,219,219,219,159,219,219,219,,219,219,219,219,219,219,219,219,209,219,219,219,219,,219,219,219,219,,199,189,219,219,219,219,219,219,,219,219,219,219,219,,219,219,,219,209,219
Y,269,279,269,269,269,279,269,269,269,269,269,269,269,269,259,269,269,279,,269,269,269,269,269,269,269,269,279,269,269,269,269,,269,269,269,269,,259,279,269,269,269,269,269,269,,269,269,289,269,269,,269,269,,289,259,269
Y,589,599,599,599,599,519,619,599,599,599,599,599,619,589,489,589,599,599,,589,599,589,589,619,589,599,599,509,619,619,589,589,,599,619,619,589,,489,569,599,599,599,589,589,599,,589,599,569,599,589,,619,619,,569,499,599
Y,189,179,189,189,179,159,179,189,189,189,189,189,189,189,149,189,179,189,,189,189,189,189,179,189,189,189,149,179,179,189,189,,179,189,189,189,,159,169,179,179,189,189,189,189,,189,179,149,189,189,,179,179,,149,149,179
Y,399,399,399,399,399,349,399,399,399,399,399,399,399,399,369,399,399,399,,399,399,399,399,399,399,399,399,349,399,399,399,399,,399,399,399,399,,379,389,399,399,399,399,399,399,,399,399,369,399,399,,399,399,,369,379,399
Y,899,849,849,849,859,789,849,849,849,849,849,849,849,899,869,899,849,849,,899,849,899,899,849,899,849,849,769,859,849,899,899,,849,859,849,899,,829,969,849,849,849,899,899,849,,899,849,899,849,899,,859,849,,899,829,849
Y,269,269,269,269,269,259,269,269,269,269,269,269,269,269,229,269,269,269,,269,269,269,269,269,269,269,269,259,269,269,269,269,,269,269,269,269,,219,269,269,269,269,269,269,269,,269,269,349,269,269,,269,269,,349,199,269
Y,269,259,259,259,259,279,279,259,259,259,259,259,259,269,179,269,259,259,,269,259,269,269,259,269,259,259,219,259,259,269,269,,259,259,279,269,,199,219,259,259,259,269,269,259,,269,259,259,259,269,,259,259,,279,199,279
Y,139,139,139,139,139,119,139,139,139,139,139,139,139,139,119,139,139,139,,139,139,139,139,139,139,139,139,119,139,139,139,139,,139,139,139,139,,119,149,139,139,139,139,139,139,,139,139,149,139,139,,139,139,,149,119,139
Y,259,259,259,259,259,269,259,259,259,259,259,259,259,259,239,259,259,259,,259,259,259,259,259,259,259,259,269,259,259,259,259,,259,259,259,259,,239,269,259,259,259,259,259,259,,259,259,419,259,259,,259,259,,419,249,259
Y,129,129,129,129,129,119,129,129,129,129,129,129,129,129,119,129,129,129,,129,129,129,129,129,129,129,129,119,129,129,129,129,,129,129,129,129,,119,139,129,129,129,129,129,129,,129,129,129,129,129,,129,129,,129,119,129
Y,199,219,219,219,219,179,219,219,219,219,219,219,219,199,179,199,219,219,,199,219,199,199,219,199,219,219,169,219,219,199,199,,219,219,219,199,,169,199,219,219,219,199,199,219,,199,219,159,219,199,,219,219,,159,169,219
