nsn,address,items_with_price,lat,lon
596,"196 S WILLOW ST, MANCHESTER, NH, 3103",425,42.971172,-71.454674
932,"225 S BROADWAY, SALEM, NH, 3079",415,42.763611,-71.215561
990,"49 GOSLING RD, NEWINGTON, NH, 3801",418,43.092213,-70.79953
1532,"117 LOUDON RD, CONCORD, NH, 3301",416,43.213757,-71.512894
1693,"1231 UNION AVE, LACONIA, NH, 3246",415,43.560135,-71.452782
1718,"231 WASHINGTON ST, CLAREMONT, NH, 3743",392,43.368908,-72.325554
1719,"161 WAKEFIELD ST, ROCHESTER, NH, 3867",416,43.315048,-70.976814
1842,"1000 LAFAYETTE RD, PORTSMOUTH, NH, 3801",413,43.049416,-70.771721
1859,"RTE 12A SO MAIN ST, WEST LEBANON, NH, 3784",416,43.628526,-72.322424
1881,"214 MAIN ST, GORHAM, NH, 3581",411,44.392629,-71.186234
1894,"317 WINCHESTER ST, KEENE, NH, 3431",413,42.925762,-72.289337
1952,"1750 WHITE MOUNTAIN HWY, NORTH CONWAY, NH, 3818",416,44.026969,-71.119409
1964,"912 CENTRAL AVE, DOVER, NH, 3820",416,43.219879,-70.885651
2038,"45 CRYSTAL AVE, DERRY, NH, 3038",427,42.890594,-71.326591
2039,"255 DANIEL WEBSTER HWY, NASHUA, NH, 3060",390,42.708313,-71.442116
2830,"1254 HOOKSETT RD, HOOKSETT, NH, 3106",428,43.046539,-71.436943
2831,"822 CENTRAL ST, FRANKLIN, NH, 3235",412,43.447834,-71.629189
4068,"75 DERRY RD, HUDSON, NH, 3051",412,42.773956,-71.443787
4204,"187 OCEAN BLVD, HAMPTON BEACH, NH, 3842",0,42.910236,-70.810837
4205,"907 2ND ST, MANCHESTER, NH, 3102",432,42.968472,-71.480164
4523,"90 S MAIN ST, CONCORD, NH, 3301",416,43.197121,-71.531143
4956,"FREETOWN & ESSEX RDS, RAYMOND, NH, 3077",423,43.035366,-71.163277
7194,"569 MAST RD, GOFFSTOWN, NH, 3045",427,42.999947,-71.515762
7278,"RT 112/MAINE ST, LINCOLN, NH, 3251",414,44.037338,-71.675652
7417,"56 CALEF HYW, EPPING, NH, 3042",425,43.027733,-71.074608
7532,"#5 TILTON ROAD, TILTON, NH, 3276",418,43.454235,-71.567848
7587,"209 DANIEL WEBSTER HWY, MEREDITH, NH, 3253",414,43.645267,-71.500732
8063,"20 JOHN STARK HWY, NEWPORT, NH, 3773",398,43.359661,-72.17588
10254,"258  MAIN STREET, LANCASTER, NH, 3584",413,44.498312,-71.575872
10465,"2287 BROWN AVE, MANCHESTER, NH, 3103",419,42.945374,-71.452042
10544,"45 E HOLLIS ST, EAST NASHUA, NH, 3060",426,42.758816,-71.457245
10622,"1881 DOVER RD (RTS 4 & 28), EPSOM, NH, 3234",427,43.22699,-71.359352
10712,"710 RT 101A, MERRIMACK, NH, 3054",0,42.804443,-71.546577
11259,"111 FISHERVILLE RD, CONCORD, NH, 3303",412,43.259258,-71.581062
11675,"RT 89 & 103, WARNER, NH, 3278",413,43.289403,-71.832936
12255,"316 WEST MAIN ST, HILLSBOROUGH, NH, 3244",413,43.112289,-71.918633
12272,"39 NASHUA RD (RT. 102), LONDONDERRY, NH, 3053",426,42.864269,-71.34845
12518,"3 COTTON ROAD &  AMHERST ST, NASHUA, NH, 3060",0,42.784061,-71.507607
13555,"RT 302 & FOREST AVE, WOODSVILLE, NH, 3785",435,44.143536,-72.030449
13943,"85 PETERBOROUGH ST, JAFFREY, NH, 3452",426,42.818123,-72.016541
14966,"JCTS 25 WEST AND 16, WEST OSSIPEE, NH, 3890",418,43.820294,-71.201452
15360,"113 BRIDGE ST/RTE 38, PELHAM, NH, 3076",412,42.719288,-71.320358
15582,"251 LOWELL RD, HUDSON, NH, 3051",414,42.72617,-71.424652
17371,"4 HOMESTEAD PLACE, ALTON, NH, 3809",426,43.451801,-71.210266
18198,"44 CONCORD RD, LEE, NH, 3857",426,43.148785,-71.007935
18792,"RTE OCEAN ROAD, GREENLAND, NH, 3840",412,43.045315,-70.81945
21536,"75 EXTER ST, NEWMARKET, NH, 3857",0,43.070759,-70.939087
21582,"907 HANOVER ST, MANCHESTER, NH, 3109",425,42.987175,-71.426811
21583,"663 LAFAYETTE RD, HAMPTON, NH, 3842",413,42.94595,-70.832588
21757,"3 NORTHEASTERN BLVD, NASHUA, NH, 3062",412,42.732502,-71.47554
24235,"148 PORTSMOUTH AVE, EXTER, NH, 3833",415,42.99091,-70.930077
25383,"599 NASHUA ST, MILFORD, NH, 3055",426,42.823624,-71.622513
25699,"652 LAFAYETTE RD, SEABROOK, NH, 3874",0,42.894424,-70.870987
25743,"291 N MAIN ST, ROCHESTER, NH, 3867",414,43.310989,-70.992119
26674,"124B INDIAN ROCK RD -ROUTE 111, WINDHAM, NH, 3087",412,42.806223,-71.262983
30098,"50 FOX RUN RD, NEWINGTON, NH, 3801",0,43.09738,-70.805059
31994,"9 DOBSON RD., MERRIMACK, NH, 3054",414,42.838373,-71.49758
33187,"75 OLD COUNTY ROAD, LITTLETON, NH, 3561",439,44.307443,-71.801866
35703,"11 RIDGEVIEW LANE, PLYMOUTH, NH, 3264",414,43.771332,-71.721954
