nsn,address,items_with_price,lat,lon
142,"3701 BROADWAY, FAIR LAWN, NJ, 7410",530,40.926113,-74.099762
160,"730 ROUTE 18 NORTH, EAST BRUNSWICK, NJ, 8816",430,40.428017,-74.382339
231,"1966 HWY 27, EDISON, NJ, 8817",419,40.519901,-74.395309
234,"801 RT 38, CHERRY HILL, NJ, 8002",436,39.936084,-75.044145
265,"925 HWY 35, MIDDLETOWN, NJ, 7748",401,40.39592,-74.105042
295,"1885 N OLDEN AVE, TRENTON, NJ, 8638",447,40.250119,-74.779661
406,"633 NEW BRUNSWICK AVE, PERTH AMBOY, NJ, 8861",427,40.520782,-74.285851
420,"259 S BLACK HORSE PIKE, MOUNT EPHRAIM, NJ, 8059",438,39.875797,-75.084138
453,"2603 S BROAD ST, TRENTON, NJ, 8610",446,40.192218,-74.715737
463,"1118 MAIN ST, RIVER EDGE, NJ, 7661",475,40.912445,-74.034782
573,"US 130/COOPER ST, EDGEWATER PARK, NJ, 8010",439,40.046543,-74.904387
653,"201 S EVERGRN AVE, WOODBURY HEIGHTS, NJ, 8097",453,39.825172,-75.159437
672,"1256 SAINT GEORGE AVE, AVENEL, NJ, 7001",498,40.581509,-74.293015
708,"2404 US 22, UNION, NJ, 7083",432,40.689709,-74.295113
718,"716 BOUND BROOK RD, MIDDLESEX, NJ, 8846",0,40.580723,-74.49514
750,"306 N DELSEA DR, VINELAND, NJ, 8360",426,39.491756,-75.043331
860,"970 RT 9, SOUTH AMBOY, NJ, 8879",517,40.462521,-74.296227
872,"410 NJ STHY 33, MERCERVILLE, NJ, 8619",447,40.233051,-74.684163
877,"2720 MOUNT EPHRAIM AVE, CAMDEN, NJ, 8104",455,39.910759,-75.098166
916,"663  WASHINGTON AVE, BELLEVILLE, NJ, 7109",413,40.803307,-74.146324
936,"1 W CAMDEN AVE, MOORESTOWN, NJ, 8057",454,39.957971,-74.979486
1075,"42 RT 37 W, TOMS RIVER, NJ, 8753",428,39.964218,-74.197411
1084,"3636 RT 9, FREEHOLD, NJ, 7728",498,40.243736,-74.281326
1095,"1201 TILTON RD, NORTHFIELD, NJ, 8225",516,39.374423,-74.553764
1238,"6771/RT 9 NORTH, HOWELL, NJ, 7731",0,40.113811,-74.218369
1294,"24 W MARLTON PIKE, CHERRY HILL, NJ, 8034",434,39.914805,-75.012768
1408,"255 RT 130, BORDENTOWN, NJ, 8505",444,40.138778,-74.707527
1443,"573 NORTHFIELD AVE, WEST ORANGE, NJ, 7052",426,40.770161,-74.281754
