nsn,address,items_with_price,lat,lon
220,"5900 MENAUL BLVD NE, ALBUQUERQUE, NM, 87110-3240",443,35.108677,-106.577919
235,"925 SAN PEDRO DR NE, ALBUQUERQUE, NM, 87108-1849",399,35.086944,-106.577731
364,"5324 4TH ST NW, ALBUQUERQUE, NM, 87107-5206",467,35.136962,-106.641039
1424,"9515 CANDELARIA NE, ALBUQUERQUE, NM, 87112-1304",455,35.116521,-106.534387
2023,"201 W 14TH ST, CLOVIS, NM, 88101",409,34.411652,-103.20711
2279,"3299 CERRILLOS RD, SANTA FE, NM, 87501-2924",396,35.650204,-106.001049
2427,"720 N MAIN, ROSWELL, NM, 88201-4816",467,33.400426,-104.52329
2570,"11824 LOMAS BLVD NE, ALBUQUERQUE, NM, 87112-5614",445,35.086385,-106.51607
3140,"2614 W HWY 66, GALLUP, NM, 87301-6810",414,35.517183,-108.776054
3397,"2215 E MAIN ST, FARMINGTON, NM, 87401-7717",400,36.738609,-108.177837
3498,"222 S WHITE SANDS RD, ALAMOGORDO, NM, 88310-6563",447,32.888129,-105.960641
3514,"1501 COORS BLVD NW, ALBUQUERQUE, NM, 87121",470,35.100914,-106.707259
3865,"1709 N TURNER, HOBBS, NM, 88240-3801",423,32.717661,-103.141165
3907,"2305 CENTRAL AVE NW, ALBUQUERQUE, NM, 87104",405,35.095732,-106.674221
4071,"327 S. CANAL, CARLSBAD, NM, 88220",454,32.417223,-104.22942
4092,"6300 SAN MATEO NE, ALBUQUERQUE, NM, 87107",483,35.148469,-106.585827
4179,"5001 GIBSON SE, ALBUQUERQUE, NM, 87108-4623",399,35.058789,-106.586204
4238,"1247 TRINITY DR, LOS ALAMOS, NM, 87544-3216",0,35.879486,-106.297116
4404,"1600 ALAMEDA BLVD NW, ALBUQUERQUE, NM, 87106",463,35.202335,-106.647158
4456,"721 W PINE, DEMING, NM, 88030",450,32.268354,-107.7672
4644,"1700 W SANTA FE, GRANTS, NM, 87020-3544",437,35.157599,-107.870599
4654,"2200 CENTRAL AVE SE, ALBUQUERQUE, NM, 87106",467,35.080678,-106.621846
4738,"2300 E 66TH ST, GALLUP, NM, 87301",418,35.528996,-108.70902
4787,"1020 W 1ST AVE, PORTALES, NM, 88130-6609",408,34.181823,-103.34483
4919,"618 N RIVERSIDE, ESPANOLA, NM, 87532-2513",0,35.998441,-106.06414
5249,"3445 ISLETA SW, ALBUQUERQUE, NM, 87159",469,35.026149,-106.681171
5553,"13301 E CENTRAL NE, ALBUQUERQUE, NM, 87123-3035",450,35.068913,-106.498919
5590,"8315 MONTGOMERY NE, ALBUQUERQUE, NM, 87109-1603",452,35.131099,-106.552424
5659,"200 S SANTA FE RD, TAOS, NM, 87571",475,36.404656,-105.573863
5731,"2608 S 1ST ST, TUCUMCARI, NM, 88401-4203",408,35.154393,-103.724345
5808,"1102 N CALIFORNIA ST, SOCORRO, NM, 87801-4266",440,34.072169,-106.892884
6011,"542 CLAYTON RD, RATON, NM, 87740",400,36.885646,-104.433442
6029,"8601 CENTRAL NE, ALBUQUERQUE, NM, 87197",400,35.074514,-106.551176
6228,"140 SUDDERTH AVE, RUIDOSO, NM, 88345-6025",475,33.323828,-105.629427
