nsn,address,items_with_price,lat,lon
3,"5725 ROOSEVELT AVE, WOODSIDE, NY, 11377",0,40.745495,-73.906723
13,"1317 CASTLEHILL AVE, BRONX, NY, 10462",0,40.834652,-73.852081
14,"645 ROSSVILLE AVE, STATEN ISLAND, NY, 10309",0,40.542776,-74.207802
134,"107 MAIN ST, ISLIP, NY, 11751",437,40.728313,-73.225479
183,"3839 HEMPSTEAD TURNPIKE, LEVITTOWN, NY, 11756",419,40.72599,-73.494095
193,"1385 NIAGARA FALLS BLVD, AMHERST, NY, 14226",452,42.991835,-78.821843
198,"1724 MIDDLE COUNTRY RD, CENTEREACH, NY, 11720",461,40.859695,-73.072678
207,"1154 UNION RD, WEST SENECA, NY, 14224",426,42.831235,-78.754092
221,"334 E MONTAUK HWY, LINDENHURST, NY, 11757",443,40.684116,-73.353348
242,"1999 JERICHO TRNPIKE, EAST NORTHPORT, NY, 11731",461,40.838955,-73.327835
273,"1813 MERRICK RD, MERRICK, NY, 11566",431,40.653885,-73.555611
324,"957 FAIRMONT AVE, JAMESTOWN, NY, 14701",426,42.097119,-79.291649
337,"8320 NIAGARA FALLS BLVD, NIAGARA FALLS, NY, 14304",460,43.090173,-78.96937
348,"3815 UNION RD, CHEEKTOWAGA, NY, 14225",445,42.91829,-78.753654
447,"1707 BLACK RIVER BLVD, ROME, NY, 13440",434,43.231107,-75.439755
506,"1205 OLD BOSTON POSTRD, MAMARONECK, NY, 10543",406,40.938602,-73.744614
609,"372 ELMIRA RD, ITHACA, NY, 14850",443,42.421943,-76.517675
660,"3207 ERIE BLVD E, DE WITT, NY, 13214",433,43.051901,-76.072652
677,"819 RTE 9, QUEENSBURY, NY, 12804",453,43.330758,-73.676002
726,"35 OLD COUNTRY RD, WESTBURY, NY, 11590",451,40.747627,-73.590981
767,"818 OLD COUNTRY RD, PLAINVIEW, NY, 11803",436,40.773811,-73.483299
768,"31-35  ATLANTIC AVENUE, OCEANSIDE, NY, 11572",448,40.638874,-73.641319
816,"1338 MAIN ST, BUFFALO, NY, 14209",432,42.910112,-78.86694
825,"8522 SENECA TURNPIKE, NEW HARTFORD, NY, 13413",473,43.079712,-75.318426
837,"555 ALBANY AVE, KINGSTON, NY, 12401",407,41.94445,-73.996811
871,"3806 BREWERTON RD, NORTH SYRACUSE, NY, 13212",433,43.11894,-76.14312
894,"1006 CENTRAL AVE, ALBANY, NY, 12205",452,42.683462,-73.794663
940,"769 MONTAUK HWY, EAST PATCHOGUE, NY, 11772",415,40.767925,-72.986687
987,"197 S BROADWAY, SARATOGA SPRINGS, NY, 12866",469,43.074268,-73.78773
996,"171 N GENESEE ST, UTICA, NY, 13502",464,43.10999,-75.219059
1006,"1224 STATE ST, SCHENECTADY, NY, 12304",452,42.798053,-73.924456
