nsn,address,items_with_price,lat,lon
192,"1101 SUMMIT AVE, GREENSBORO, NC, 27405",453,36.089103,-79.774628
217,"51 TUNNEL RD, ASHEVILLE, NC, 28805",489,35.595474,-82.533182
316,"1901 N MAIN ST, HIGH POINT, NC, 27262",509,35.979622,-80.021757
368,"2010 N. ROXBORO ROAD, DURHAM, NC, 27704-4339",475,36.016672,-78.889662
543,"1500 E FRANKLIN, GASTONIA, NC, 28052",439,35.262747,-81.15351
563,"2745 FREEDOM DR, CHARLOTTE, NC, 28208",466,35.238241,-80.88444
648,"2900 REYNOLDA RD, WINSTON SALEM, NC, 27106",458,36.14452,-80.301333
952,"4301 MARKET ST, WILMINGTON, NC, 28405",469,34.242858,-77.891595
1044,"703 W PEACE ST, RALEIGH, NC, 27605",485,35.788241,-78.649157
1216,"2347 RANDLEMAN RD, GREENSBORO, NC, 27406",460,36.040493,-79.800289
1398,"1511 HWY 29 N, CONCORD, NC, 28025",449,35.439975,-80.607446
1661,"35 HENDERSONVILLE RD, ASHEVILLE, NC, 28803",492,35.56754,-82.544459
1947,"1316 W EHRINGHAUS ST, ELIZABETH CITY, NC, 27909",432,36.295225,-76.240417
2355,"6301 ALBEMARLE RD, CHARLOTTE, NC, 28212",480,35.20342,-80.738223
2407,"737 N MADISON BLVD, ROXBORO, NC, 27573",459,36.405233,-78.978733
2485,"2680 ROBERTS AVE, LUMBERTON, NC, 28358",445,34.643405,-79.00993
2496,"825 RUSS AVE, WAYNESVILLE, NC, 28786",491,35.503784,-82.991225
2510,"3710 WESTERN BLVD, RALEIGH, NC, 27606",549,35.785297,-78.688022
2522,"409 W FRANKLIN ST, CHAPEL HILL, NC, 27516",475,35.910773,-79.061166
2550,"1726 W CUMBERLAND, DUNN, NC, 28334",539,35.317272,-78.626961
2577,"110 W VERNON AVE, KINSTON, NC, 28501",460,35.268466,-77.582187
2601,"1101 ROOSEVELT BLVD., MONROE, NC, 28110-2817",462,34.992952,-80.539304
2857,"15 US HWYS 64 ALT 70 SE, HICKORY, NC, 28601",444,35.715949,-81.336747
2860,"1408 CAROLINA AVE, WASHINGTON, NC, 27889",426,35.559744,-77.061324
2958,"1304 E BROAD AVE TRI CITY, ROCKINGHAM, NC, 28379",545,34.920816,-79.749238
2973,"2640 SUNSET BLVD, ROCKY MOUNT, NC, 27801",505,35.962554,-77.830628
2975,"1820 E MAIN ST, ALBEMARLE, NC, 28001",444,35.348829,-80.166911
3147,"1408 S MADISON ST, WHITEVILLE, NC, 28472",445,34.308417,-78.712443
3148,"2543 CAROLINA BEACH RD, WILMINGTON, NC, 28401",469,34.192003,-77.934086
3166,"704 E INNES ST, SALISBURY, NC, 28144",438,35.662014,-80.46306
3257,"1304 S MAIN ST, LAURINBURG, NC, 28352",431,34.760559,-79.469288
3258,"110 SIGNAL HILL DR, STATESVILLE, NC, 28677",447,35.791768,-80.855753
3259,"869 EAST MAYNARD ROAD, CARY, NC, 27511",461,35.776461,-78.76474
3301,"2002 WAYNE MEMORIAL DR, GOLDSBORO, NC, 27530",428,35.397301,-77.964624
3302,"1436 N FAYETTEVILLE ST, ASHEBORO, NC, 27203",522,35.733699,-79.807624
3368,"901 W UNION, MORGANTON, NC, 28655",454,35.735033,-81.709992
3452,"3810 LAKE BOONE TRL, RALEIGH, NC, 27627",482,35.816087,-78.694328
3480,"110 MORGANTON BLVD, LENOIR, NC, 28645",445,35.913928,-81.528051
3504,"1903 OWEN DR, FAYETTEVILLE, NC, 28309",483,35.027916,-78.927157
3569,"1927 W FRANKLIN BLVD, GASTONIA, NC, 28052",445,35.25927,-81.216847
3573,"4301 ROXBORO RD (#6160), DURHAM, NC, 27704",475,36.051428,-78.904075
3574,"307 N ANDY GRIFFITH PARKWAY, MT AIRY, NC, 27030",467,36.505506,-80.624703
3575,"2518 BEATTIES FORD RD, CHARLOTTE, NC, 28216",450,35.269224,-80.853472
3621,"1703 NORTH SANDHILLS BLVD, ABERDEEN, NC, 28315",539,35.154372,-79.416175
3622,"630 SPARTANBURG HWY, HENDERSONVILLE, NC, 28792",414,35.307467,-82.455841
3635,"1500 WESTERN BLVD, TARBORO, NC, 27886",504,35.903108,-77.562439
3647,"812 WINSTON RD, LEXINGTON, NC, 27295",463,35.836471,-80.254247
3659,"773 W DIXIE DR, ASHEBORO, NC, 27205-6739",514,35.686508,-79.826419
3696,"401 SMOKEY PARK HWY, ASHEVILLE, NC, 28806",447,35.557776,-82.640237
3770,"1515 JULIAN R. ALLSBROOK HWY, ROANOKE RAPIDS, NC, 27870",452,36.432965,-77.636501
3819,"310 E 10TH ST, GREENVILLE, NC, 27658",427,35.606046,-77.371787
3881,"207 MURCHISON, SPRING LAKE, NC, 28390",524,35.161082,-78.970788
3912,"1419 E MAIN ST, LINCOLNTON, NC, 28092",443,35.477093,-81.237872
3913,"74 BYPASS TRI CITY MALL, FOREST CITY, NC, 28043",460,35.334189,-81.891825
3934,"1900 SKIBO ROAD, FAYETTEVILLE, NC, 28314-1540",571,35.070651,-78.966195
3935,"640 S VAN BUREN RD, EDEN, NC, 27288",482,36.4924,-79.73909
3956,"335 USHY 70 E, SELMA, NC, 27576",496,35.521747,-78.29372
4088,"2738 S MAIN ST, HIGH POINT, NC, 27263",461,35.924725,-79.983865
4137,"2001 E CONE BLVD, GREENSBORO, NC, 27405",486,36.113302,-79.753117
4138,"4816 WARD BLVD, WILSON, NC, 27893",527,35.722054,-77.89261
4166,"251 ASHEVILLE HWY, BREVARD, NC, 28712",424,35.246167,-82.72338
4221,"US 401 BECKETT BLVD, LOUISBURG, NC, 27549",529,36.089111,-78.300938
4306,"840 S MAIN ST, KERNERSVILLE, NC, 27284",500,36.111316,-80.089773
4320,"1010 N MIAMI BLVD, DURHAM, NC, 27703",520,35.993145,-78.869171
4376,"2900 W 5TH ST, LUMBERTON, NC, 28358",450,34.623038,-79.048477
4443,"665 S SCALES ST, REIDSVILLE, NC, 27320",462,36.352986,-79.664039
4481,"2470 LEWISVILLE CLEMMONS RD, CLEMMONS, NC, 27012",491,36.030996,-80.383349
4570,"305 SOUTH MARINE BLVD, JACKSONVILLE, NC, 28540",435,34.751513,-77.445774
4571,"600 NEW WEST HENDERSON ST, MARION, NC, 28752",452,35.67636,-82.01371
4606,"1603 S CROATAN HWY, KILL DEVIL HILL, NC, 27948",430,35.998033,-75.650894
4645,"200 S COLLEGE ST  #311, CHARLOTTE, NC, 28202",0,35.225338,-80.843726
4663,"1695 DABNEY DR, HENDERSON, NC, 27536",465,36.333011,-78.436255
4712,"5009 SANTE FE ROAD, FAYETTEVILLE, NC, 28303-2758",487,35.088988,-78.983203
