nsn,address,items_with_price,lat,lon
1100,"2424 S UNIVERSITY DR, FARGO, ND, 58103-5735",390,46.842746,-96.797935
1149,"1125 S WASHINGTON ST, GRAND FORKS, ND, 58201-5430",397,47.910125,-97.044522
3120,"1001 38TH ST S, FARGO, ND, 58106-2114",386,46.86552,-96.845103
3745,"212 MUSEUM DR, DICKINSON, ND, 58601-3932",400,46.894411,-102.787888
4454,"817 20TH ST SW, JAMESTOWN, ND, 58401-6132",396,46.887663,-98.721023
4474,"4340 GATEWAY DR, GRAND FORKS, ND, 58201",394,47.934309,-97.091917
4707,"2222 2ND AVE W, WILLISTON, ND, 58801-3410",398,48.165925,-103.625144
5320,"2910 32ND AVE, GRAND FORKS, ND, 58201-6024",394,47.890163,-97.07042
6377,"105 N 12TH ST, WAHPETON, ND, 58075-4135",407,46.265034,-96.617942
7062,"124 4TH ST SW, DEVILS LAKE, ND, 58301",393,48.10559,-98.866271
7535,"2631 STATE ST, BISMARCK, ND, 58501-0668",397,46.835748,-100.771879
8073,"150 BISMARCK EXPY, BISMARCK, ND, 58501-5086",402,46.795605,-100.792459
10209,"501 MAIN AVE E, WEST FARGO, ND, 58078-1929",384,46.876227,-96.890249
10339,"1400 24TH AVE SW, MINOT, ND, 58701-6903",395,48.208678,-101.312762
10611,"905 MAIN AVE, FARGO, ND, 58103-8200",0,46.875026,-96.792908
11931,"605 E MAIN AVE, BISMARCK, ND, 58501-4458",409,46.805091,-100.7821
14309,"711 S BROADWAY, MINOT, ND, 58701",395,48.229759,-101.294876
18176,"1535 BURNT BOAT DR, BISMARCK, ND, 58501",408,46.830609,-100.817243
20918,"1220 19TH AVE N, FARGO, ND, 58102",392,46.904276,-96.797301
21693,"4501 19TH AVE SW, FARGO, ND, 58103",385,46.851607,-96.862735
27797,"3902 13TH AVE SW, FARGO, ND, 58106",0,46.860003,-96.846755
28723,"4000 E DIVIDE DR, BISMARCK, ND, 58501",400,46.829371,-100.726766
31450,"2601 MEMORIAL HWY SE, MANDAN, ND, 58554",405,46.821248,-100.856764
34700,"3220 39TH ST S, FARGO, ND, 58104",387,46.831704,-96.844821
