nsn,address,items_with_price,lat,lon
66,"5425 WEST NORTH BEND ROAD, CINCINNATI, OH, 45239",407,39.188997,-84.601562
174,"22535 LORAIN RD., FAIRVIEW PARK, OH, 44126-2211",438,41.439224,-81.869367
187,"2901 WILMINGTON PIKE, KETTERING, OH, 45419",414,39.704774,-84.14269
197,"2021 E MARKET ST, AKRON, OH, 44305",419,41.061232,-81.454996
205,"15500 BROADWAY, MAPLE HEIGHTS, OH, 44137-1120",0,41.417312,-81.573266
212,"1771 S ERIE BLVD, HAMILTON, OH, 45011-4117",447,39.378362,-84.550377
229,"4757 WEST TUSCARAWAS AVE, CANTON, OH, 44708-5340",507,40.795463,-81.435735
236,"7916 MONTGOMERY ROAD, CINCINNATI, OH, 45236-4304",425,39.19985,-84.376142
261,"4501 LINDEN AVE, DAYTON, OH, 45432-3025",414,39.743502,-84.114295
262,"5114 NORTHFIELD RD, MAPLE HEIGHTS, OH, 44137-2107",471,41.421318,-81.527678
276,"1787 STATE RD, CUYAHOGA FALLS, OH, 44223-1305",418,41.131108,-81.507729
277,"6225 MAYFIELD RD, MAYFIELD HEIGHTS, OH, 44124",421,41.520552,-81.455373
287,"2351 N VERITY PKY, MIDDLETOWN, OH, 45042-2464",423,39.526871,-84.385344
293,"6421 PEARL RD, PARMA HEIGHTS, OH, 44130",446,41.385994,-81.768163
318,"483 N MAIN ST, MARION, OH, 43302-2330",402,40.596491,-83.129911
328,"3918 FREE PIKE, DAYTON, OH, 45416-1212",400,39.797639,-84.253246
339,"31115 VINE ST, WILLOWICK, OH, 44094",463,41.642861,-81.470061
362,"3138 SECOR RD, TOLEDO, OH, 43606-1513",445,41.678694,-83.622177
366,"5616 MEMPHIS AVE, CLEVELAND, OH, 44144-2240",478,41.440218,-81.724975
381,"1720 W EXCHANGE ST, AKRON, OH, 44313-7662",438,41.108227,-81.568793
441,"2328 EAST MAIN STREET, SPRINGFIELD, OH, 45503-4912",406,39.923653,-83.773598
