nsn,address,items_with_price,lat,lon
292,"3144 NW CACHE RD, LAWTON, OK, 73505",467,34.623079,-98.434648
705,"6012 S PENNSYLVANIA AVE, OKLAHOMA CITY, OK, 73159-3302",468,35.405107,-97.547449
1118,"7025 SE 15TH ST, MIDWEST CITY, OK, 73110",443,35.450181,-97.402481
1626,"7010 NW 23RD ST, BETHANY, OK, 73008-5221",407,35.492961,-97.635775
1767,"4249 S YALE ST, TULSA, OK, 74135-6004",505,36.101291,-95.92183
1869,"4502 SE 29TH ST, DEL CITY, OK, 73115",441,35.43474,-97.43687
2149,"1010 W MAINE ST, ENID, OK, 73703",428,36.395861,-97.890741
2493,"1829 S GARNETT, TULSA, OK, 74128-1832",450,36.13549,-95.850557
2630,"606 SE WASHINGTON BLVD, BARTLESVILLE, OK, 74003",440,36.746394,-95.934694
2634,"5812 NORTHWEST EXPY, OKLAHOMA CITY, OK, 73132-5239",417,35.548105,-97.617186
2680,"110 W MCELROY, STILLWATER, OK, 74076",456,36.131128,-97.060122
2711,"2104 S SHERIDAN, TULSA, OK, 74133",484,36.132952,-95.905088
3032,"2124 N 14TH ST, PONCA CITY, OK, 74601-1829",419,36.729006,-97.067762
3033,"312 S MERIDIAN AVE, OKLAHOMA CITY, OK, 73108-1012",413,35.463263,-97.600472
3054,"830 N ELM PL, BROKEN ARROW, OK, 74012",449,36.060468,-95.798302
3056,"30 S SHERIDAN, LAWTON, OK, 73501-5501",465,34.607944,-98.421455
3231,"8105 E ADMIRAL PL, TULSA, OK, 74115-8116",455,36.161195,-95.886174
3384,"1535 NW 50TH ST, OKLAHOMA CITY, OK, 73118-4411",407,35.522848,-97.538078
3457,"1131N MAIN ST, MIAMI, OK, 74354",502,36.888327,-94.878113
3673,"1411 N HARRISON, SHAWNEE, OK, 74801-5245",489,35.345734,-96.911411
3708,"1001 W BROADWAY, ARDMORE, OK, 73401-4530",454,34.174893,-97.141623
3908,"4935 S MEMORIAL DR, TULSA, OK, 74145-6914",424,36.091487,-95.885773
4181,"31 WEST MAIN, YUKON, OK, 73099-2234",433,35.508612,-97.743784
4244,"2901 S MAY, OKLAHOMA CITY, OK, 73108-5625",470,35.435794,-97.565993
4280,"480 S WOOD DR, OKMULGEE, OK, 74447",455,35.619564,-95.961274
4282,"7525 S WESTERN, OKLAHOMA CITY, OK, 73139-2407",436,35.390674,-97.530537
4540,"1758 E CARL ALBERT PKY, MCALESTER, OK, 74501-5138",492,34.926412,-95.742479
4582,"1708 E 1ST ST, TULSA, OK, 74104-1401",465,36.158247,-95.96668
5007,"1906 HWY 64 N, GUYMON, OK, 73942",472,36.698618,-101.483594
5029,"220 E BROADWAY, ALTUS, OK, 73521-5504",477,34.637508,-99.331689
5183,"2027 S 4TH ST, CHICKASHA, OK, 73018-5942",431,35.029893,-97.934381
5184,"2424 S COUNTRY CLUB DR, EL RENO, OK, 73036-5813",447,35.511358,-97.973202
5375,"201 S COUNCIL, OKLAHOMA CITY, OK, 73128",407,35.46379,-97.655169
5394,"2720 OKLAHOMA AVE, WOODWARD, OK, 73801-4012",430,36.434142,-99.416155
5670,"1501 S MUSKOGEE, TAHLEQUAH, OK, 74464",0,35.897013,-94.975881
5948,"140 W SHAWNEE, MUSKOGEE, OK, 74401-4147",453,35.770989,-95.359352
5985,"2227 W MAIN ST, DURANT, OK, 74701-4803",435,33.997722,-96.405954
6144,"920 W 6TH ST, STILLWATER, OK, 74074",454,36.11629,-97.070408
6302,"7590 OWASSO EXPY, OWASSO, OK, 74055-3445",458,36.263207,-95.850409
6383,"1004 W SHERIDAN, OKLAHOMA CITY, OK, 73106",518,35.466102,-97.529574
6527,"105 S.W. 19TH, MOORE, OK, 73160-6011",438,35.320736,-97.487811
6528,"6700 N MAY, OKLAHOMA CITY, OK, 73116",473,35.539415,-97.56533
6613,"3800 S ELM PL, BROKEN ARROW, OK, 74012",462,36.015604,-95.797913
6677,"2230 E MAIN ST, CUSHING, OK, 74023-2907",458,35.986118,-96.737502
6695,"5819 S 49TH WEST AVE, TULSA, OK, 74107",531,36.07846,-96.046855
6696,"2009 S MAIN, ELK CITY, OK, 73648-9113",484,35.392581,-99.405782
6972,"818 N COUNTRY CLUB RD, ADA, OK, 74820-2844",440,34.783274,-96.652086
7003,"101 N TRADING CENTER TER, MUSTANG, OK, 73064",405,35.392142,-97.721738
7015,"12135 N I 35, OKLAHOMA CITY, OK, 73131",0,35.593287,-97.436295
7020,"300 N 193RD E AVE, CATOOSA, OK, 74015-2854",433,36.164772,-95.762158
7190,"2525 N ASPEN, BROKEN ARROW, OK, 74012-1153",455,36.076705,-95.81462
7192,"500 E MAIN, HENRYETTA, OK, 74437-4438",464,35.43957,-95.975961
7268,"1150 E ALAMEDA, NORMAN, OK, 73071-5253",451,35.217934,-97.424161
7270,"2301 RED WHEAT, CLINTON, OK, 73601-5315",483,35.501158,-98.988129
7353,"RT 2 BOX 13AG BAILEY TRPK, WALTERS, OK, 73572-0323",0,34.370621,-98.409534
7386,"4125 W GARRIOTT, ENID, OK, 73703",432,36.390104,-97.928821
