any,203,330,384,425,503,594,1670,1810,1818,1914,2013,2014,2160,2633,2977,3110,3318,3471,3567,3732,3851,3972,3974,4453,4482,4483,4626,4662,4675,4688,5171,5218,5398,5563,5678,5679,5858,5957,5994,5995,5996,6021,6209,6284,6740,6759,6774,6845,6933,6968,7361,7439,7574,7591,7592,7789,7966,7997,8050,10354,10656,10733,10928,11026,11041,11042,11080,11214,11234,11240,11410,11502,11574,11621,11785,11794,11874,11916,11960,12065,12086,12202,12284,12361,12490,12520,12532,12712,12714,12776,12952,13256,13319,13471,13567,13589,13756,13769,13805,13829,13896,13945,13946,14063,14064,14065,14118,14142,14197,14232,14537,15375,15482,15739,16093,16288,16430,16432,16834,16836,16842,16865,16884,17073,17140,17473,17575,17746,18011,18056,18207,18234,18252,18428,18588,18642,18659,18978,19013,19905,20937,20942,21298,23016,23307,23538,24524,25344,25960,26244,26924,26936,28762,28982,28991,28997,28998,30524,31120,31215,31216,31379,31843,31912,33135,34874,34916,35507
Y,230,295,180,200,300,210,260,300,220,250,,270,305,250,140,,270,260,270,275,210,300,220,260,220,195,285,165,280,285,260,289,285,200,240,180,219,270,230,250,195,189,260,300,270,250,275,285,240,,200,205,240,265,235,275,270,189,190,280,275,265,205,280,250,270,290,270,270,225,220,290,219,200,250,320,,250,250,295,240,240,265,230,270,270,200,250,145,300,290,,289,260,270,275,250,285,270,200,199,,250,200,220,235,200,300,305,290,195,300,230,,,260,,200,250,199,200,320,285,,200,260,270,,285,240,240,,220,,210,165,240,210,205,240,260,270,285,270,260,275,200,270,,285,289,230,270,,,,,240,240,,,235,280,,270,290,200,220
Y,240,320,210,220,320,230,275,330,240,275,,280,320,270,170,,275,275,285,300,240,330,240,290,260,205,320,215,290,299,275,299,300,230,300,210,229,280,260,305,205,199,275,310,315,260,300,300,300,,230,220,300,275,260,300,285,249,200,290,300,285,220,290,270,280,300,275,280,235,240,315,229,240,265,360,,260,290,320,300,300,275,260,285,285,250,270,200,320,300,,299,275,285,320,260,300,285,230,249,,260,230,240,260,230,330,320,300,205,320,260,,,275,,230,260,209,240,350,299,,230,280,280,,320,265,270,,240,,225,215,260,240,220,260,270,285,295,285,275,300,240,275,,310,299,270,299,,,,,270,270,,,260,290,,320,320,230,270
Y,330,470,310,329,430,340,385,490,350,375,,360,470,405,310,,500,385,350,400,350,450,420,380,390,345,470,370,400,425,400,579,450,340,600,300,349,400,390,375,345,339,385,450,390,390,400,450,600,,340,380,600,385,450,400,395,380,320,385,400,385,380,375,405,400,450,500,480,380,425,400,329,340,365,450,,450,380,430,600,600,385,390,350,395,405,405,300,430,450,,579,385,350,470,450,450,350,340,380,,390,340,350,450,340,490,430,360,345,430,390,,,385,,340,390,309,340,500,425,,340,435,480,,470,350,390,,425,,330,370,390,350,380,390,400,380,440,375,385,400,385,500,,450,579,405,395,,,,,405,405,,,450,360,,400,435,340,390
Y,565,685,555,545,600,490,575,720,520,605,,590,640,700,500,,550,575,565,600,490,675,610,620,630,500,665,560,660,599,670,599,630,490,670,555,559,625,630,630,500,559,575,640,680,600,600,600,670,,490,480,670,585,675,600,575,649,529,585,600,585,490,575,730,630,650,550,530,590,610,595,569,490,580,740,,675,630,600,670,670,585,630,565,575,590,700,500,600,600,,599,575,565,670,675,630,565,490,675,,625,490,520,675,490,720,600,590,500,600,615,,,575,,490,630,539,490,750,599,,490,670,530,,640,645,600,,580,,585,560,680,490,500,660,620,575,645,575,575,600,580,550,,640,599,700,599,,,,,720,730,,,675,580,,640,610,490,630
Y,595,695,549,569,630,560,575,740,550,595,,620,640,730,520,,600,575,640,630,550,675,630,660,580,500,640,595,685,625,705,669,625,560,670,525,569,655,580,655,530,539,575,660,625,615,630,625,670,,560,500,670,585,725,630,595,685,525,585,630,585,525,595,730,685,600,600,600,585,690,615,539,560,600,760,,730,650,630,670,670,585,580,640,585,680,730,525,630,630,,669,575,640,660,730,625,640,560,685,,600,560,550,725,540,740,630,625,530,630,610,,,575,,560,640,519,560,760,625,,560,670,600,,650,600,605,,660,,590,595,590,550,525,660,675,595,650,595,575,630,590,600,,685,669,730,625,,,,,730,730,,,725,665,,715,740,560,600
Y,150,140,159,159,150,140,125,150,140,140,,120,150,130,120,,155,125,130,130,145,150,100,120,120,140,145,130,120,135,120,159,130,140,150,120,119,135,140,140,140,129,125,130,130,140,130,150,150,,140,130,150,130,180,130,150,129,159,130,130,125,130,129,120,120,130,155,155,140,100,135,119,140,120,120,,155,120,150,150,150,125,140,130,145,100,120,120,150,130,,159,125,130,130,155,150,130,140,129,,130,140,140,155,140,150,150,120,140,150,130,,,125,,140,140,129,140,150,135,,140,120,150,,155,120,140,,100,,150,130,140,140,135,140,125,129,130,129,125,130,140,150,,135,159,120,150,,,,,130,130,,,150,120,,120,125,140,130
Y,230,220,205,189,260,260,300,275,250,260,,220,225,240,250,,205,300,320,230,250,290,275,220,235,180,230,225,180,275,170,259,210,250,320,200,229,215,220,260,180,229,300,210,210,230,240,210,320,,250,175,320,300,300,230,275,159,189,310,230,300,170,175,240,150,220,205,205,200,275,225,249,250,200,300,,310,200,270,320,320,300,200,320,275,290,240,200,260,210,,259,300,320,235,310,210,320,250,315,,220,250,250,300,250,270,270,230,180,260,235,,,300,,250,240,249,250,280,275,,250,200,205,,240,200,200,,270,,210,225,220,250,170,250,200,190,200,175,300,230,200,205,,200,259,240,290,,,,,240,220,,,300,210,,240,200,250,170
Y,500,495,520,510,495,500,500,570,530,450,,505,495,525,420,,375,500,430,460,500,520,490,480,470,370,485,460,480,495,500,399,525,480,520,225,419,505,420,450,375,409,500,510,490,500,460,515,520,,480,455,520,500,550,460,530,499,510,510,460,500,455,489,525,500,520,375,375,425,480,485,439,480,480,600,,560,470,490,520,520,500,470,430,530,500,505,270,500,505,,399,500,430,485,560,520,430,480,515,,405,480,530,550,480,570,495,500,370,500,410,,,500,,480,470,399,480,580,495,,480,490,375,,495,490,470,,480,,505,460,400,500,430,400,495,495,480,495,500,460,405,375,,525,399,525,550,,,,,525,505,,,550,490,,500,540,480,470
Y,595,610,610,599,580,570,600,670,600,570,,630,595,630,530,,420,600,560,525,570,590,610,590,520,450,610,550,580,595,590,549,610,550,720,400,499,605,560,530,440,469,600,590,565,700,535,610,720,,580,530,720,600,650,535,595,599,600,610,535,610,505,570,670,615,600,420,425,505,570,605,489,550,540,680,,655,590,585,720,720,600,560,560,595,600,645,320,580,585,,549,600,560,555,660,570,560,550,665,,495,550,600,650,550,670,590,620,440,590,535,,,600,,550,555,459,580,660,570,,550,600,435,,595,570,530,,605,,570,550,530,570,495,500,575,570,530,570,600,535,505,420,,650,549,670,595,,,,,630,630,,,650,620,,570,625,550,560
