nsn,address,items_with_price,lat,lon
203,"12109 NE GLISAN STREET, PORTLAND, OR, 97220",521,45.526722,-122.538215
330,"9475 BEAVERTON HILLSDALE, BEAVERTON, OR, 97005",427,45.486866,-122.774213
384,"2875 SE POWELL BLVD, PORTLAND, OR, 97202-2051",542,45.497723,-122.635882
425,"9100 SE POWELL BLVD, PORTLAND, OR, 97266",536,45.4971,-122.568885
503,"3330 NE 82ND AVE, PORTLAND, OR, 97220-5230",554,45.546939,-122.578378
594,"1110 CENTER ST NE, SALEM, OR, 97301-2523",487,44.940332,-123.026978
1670,"55 RIVER AVE, EUGENE, OR, 97402",452,44.095994,-123.126537
1810,"2250 NW 9TH ST, CORVALLIS, OR, 97330-1555",560,44.590896,-123.254342
1818,"4020 COMMERCIAL ST SE, SALEM, OR, 97302-3839",511,44.898407,-123.037908
1914,"1874 AVALON BLVD, KLAMATH FALLS, OR, 97601",506,42.211726,-121.754287
2013,"245 BARNETT RD, MEDFORD, OR, 97504",0,42.316173,-122.861521
2014,"1565 MOHAWK BLVD, SPRINGFIELD, OR, 97477-3355",587,44.05926,-122.999386
2160,"3519 CEDAR HILLS BLVD, BEAVERTON, OR, 97005-2026",428,45.494017,-122.810679
2633,"2048 NE 3RD ST, BEND, OR, 97701-3815",531,44.070197,-121.301977
2977,"1567 NE BURNSIDE RD, GRESHAM, OR, 97030",491,45.504034,-122.415851
3110,"558 SE 10TH AVE, HILLSBORO, OR, 97123-4625",0,45.516434,-122.973413
3318,"1891 N 6TH ST, GRANTS PASS, OR, 97526-1057",476,42.461272,-123.322221
3471,"1580 COBURG RD, EUGENE, OR, 97401-4802",456,44.079693,-123.06927
3567,"511 NE GARDEN VALLEY RD, ROSEBURG, OR, 97470-2081",452,43.226461,-123.350006
3732,"12005 N CENTER ST, PORTLAND, OR, 97217-7816",515,45.610169,-122.680596
3851,"1011 LANCA STER DRIVE NE, SALEM, OR, 97301-2934",486,44.943627,-122.98371
3972,"1831 W BURNSIDE, PORTLAND, OR, 97209",497,45.523202,-122.68999
3974,"3303 BROADWAY, NORTH BEND, OR, 97459-2201",472,43.392261,-124.238837
4453,"3232 E PACIFIC, ALBANY, OR, 97321",467,44.642444,-123.064202
4482,"2910 NEWBURG HWY, WOODBURN, OR, 97071-2819",560,45.150706,-122.876839
4483,"1140 BIDDLE RD, MEDFORD, OR, 97504",487,42.340611,-122.871387
4626,"12090 SW MAIN, TIGARD, OR, 97223-6218",424,45.4323,-122.767904
4662,"1690 E IDAHO AVE, ONTARIO, OR, 97914-3028",453,44.024076,-116.940686
4675,"900 SOUTHGATE, PENDLETON, OR, 97801-3950",483,45.656635,-118.809732
4688,"1315 W 6TH, THE DALLES, OR, 97058-3517",467,45.607344,-121.201106
5171,"2308 ISLAND AVE, LA GRANDE, OR, 97850",486,45.3301,-118.075473
5218,"1320 N 1ST, HERMISTON, OR, 97838-1102",473,45.849787,-119.28952
5398,"3315 PACIFIC AVE, FOREST GROVE, OR, 97116-1914",515,45.52051,-123.088946
5563,"2250 S SANTIAM HWY, LEBANON, OR, 97355-2481",465,44.523933,-122.907498
5678,"1300 N COAST HWY, NEWPORT, OR, 97365-2445",467,44.646866,-124.052474
5679,"1691 N HWY 99 W., MCMINNVILLE, OR, 97128-2728",445,45.227023,-123.181755
5858,"1450 S MOLALLA, OREGON CITY, OR, 97045-4004",491,45.334827,-122.589672
5957,"19200 SW BOONES FERRY RD, TUALATIN, OR, 97062",514,45.380982,-122.763871
5994,"15960 SE 82ND DR, CLACKAMAS, OR, 97015-9502",554,45.408089,-122.568372
5995,"2481 CAMPUS DR, KLAMATH FALLS, OR, 97601-1102",507,42.249606,-121.789978
5996,"7421 CRATER LAKE HWY, WHITE CITY, OR, 97503",483,42.424584,-122.851711
6021,"12440 SE 82ND, PORTLAND, OR, 97206",496,45.433797,-122.578433
6209,"1910 6TH AVE W, EUGENE, OR, 97402-4308",453,44.05301,-123.121617
6284,"2435 NW TOWN CENTER DR, HILLSBORO, OR, 97006-8948",466,45.53723,-122.867108
6740,"16044 LOWER BOONES FERRY, LAKE OSWEGO, OR, 97034",476,45.409292,-122.720623
6759,"37445 SE HWY 26, SANDY, OR, 97055-9250",505,45.400972,-122.278637
6774,"1520 N.E. GRAND, PORTLAND, OR, 97232-1153",565,45.534126,-122.66043
6845,"19525 SW TUALATIN VALLEY HWY, ALOHA, OR, 97006-2340",484,45.495417,-122.878416
6933,"645 MARINE DR, ASTORIA, OR, 97103-4238",470,46.190137,-123.835955
6968,"1035 SW 6TH AVE, PORTLAND, OR, 97204-1102",0,45.516646,-122.680115
7361,"4880 NE RIVER RD, KEIZER, OR, 97303-4538",485,44.9944,-123.026079
7439,"3005 PORTLAND RD, NEWBERG, OR, 97132-2074",465,45.306363,-122.948801
7574,"4060 N HWY 101, LINCOLN CITY, OR, 97367",466,44.995131,-124.004716
7591,"1520 GATEWAY BLVD, COTTAGE GROVE, OR, 97424-1262",449,43.803506,-123.044917
7592,"2456 S HWY 97, REDMOND, OR, 97756-8874",448,44.253268,-121.182824
7789,"2010 NE CESAR E CHAVEZ BLVD, PORTLAND, OR, 97212-5333",551,45.5373,-122.622445
7966,"1049 MARINA WAY, HOOD RIVER, OR, 97031-2378",466,45.711291,-121.500129
7997,"900 SW HIGHLAND DR, GRESHAM, OR, 97080-6373",498,45.489834,-122.475029
8050,"18320 SE STARK ST, PORTLAND, OR, 97233",564,45.518742,-122.474722
10354,"3405 GATEWAY ST, SPRINGFIELD, OR, 97477-1057",450,44.082978,-123.041066
10656,"3208 NW YEON, PORTLAND, OR, 97210-1524",547,45.545702,-122.706105
10733,"2855 WILLAMETTE, EUGENE, OR, 97401",450,44.026848,-123.090267
10928,"16200 SW PACIFIC HWY, TIGARD, OR, 97223",470,45.403715,-122.79658
11026,"1002 NW FRONTAGE RD, TROUTDALE, OR, 97060-9534",513,45.543963,-122.397545
11041,"1151 SE 3RD, BEND, OR, 97702",525,44.038001,-121.30497
11042,"760 CAMPBELL ST, BAKER CITY, OR, 97814",483,44.782064,-117.815106
11080,"8011 NE MARTIN LUTHER KING JR BLVD, PORTLAND, OR, 97211",502,45.581751,-122.661914
11214,"204 NE BEACON DR, GRANTS PASS, OR, 97526-3842",477,42.436527,-123.308321
11234,"221 FERN VALLEY RD, MEDFORD, OR, 97501",479,42.28134,-122.817416
11240,"10970 SE OAK ST, MILWAUKIE, OR, 97222-6695",488,45.443344,-122.628548
11410,"772 S BROADWAY, COOS BAY, OR, 97420-1542",474,43.361385,-124.212791
11502,"12388 SW SCHOLLS FERRY RD, TIGARD, OR, 97223-3335",458,45.443259,-122.803825
11574,"5613 SE 82ND AVE, PORTLAND, OR, 97266-4813",491,45.48205,-122.579604
11621,"3990 DEVONSHIRE AVE, SALEM, OR, 97305",487,44.965581,-122.983984
11785,"227 E ELLENDALE AVE, DALLAS, OR, 97338-1511",464,44.929329,-123.309613
11794,"815 CHETCO AVE, BROOKINGS, OR, 97415-0250",514,42.053332,-124.28712
11874,"SWAN ISLAND 3110 N GOING ST, PORTLAND, OR, 97217",0,45.555647,-122.698697
11916,"28 NE OAK ST, MADRAS, OR, 97741",440,44.639907,-121.129101
11960,"1820 PACIFIC BLVD SW, ALBANY, OR, 97321-3532",475,44.623033,-123.110547
12065,"2010 CLACKAMETTE DR, OREGON CITY, OR, 97045",525,45.368954,-122.60174
12086,"225 S ROOSEVELT DR, SEASIDE, OR, 97138-6741",467,45.992238,-123.920397
12202,"1855 N MAIN ST, TILLAMOOK, OR, 97141",468,45.469147,-123.843698
12284,"5701 MAIN ST, SPRINGFIELD, OR, 97477",449,44.045384,-122.929165
12361,"709 S WEST FIRST ST, CANBY, OR, 97013-3823",559,45.258832,-122.699324
12490,"280 PRUNER RD, MYRTLE CREEK, OR, 97457",453,42.972925,-123.340583
12520,"2101 CASCADE AVENUE, HOOD RIVER, OR, 97031",466,45.709598,-121.534022
12532,"2060 HWY 101, FLORENCE, OR, 97439",452,43.984574,-124.10095
12712,"2630 NE HWY 20, BEND, OR, 97701",529,44.05523,-121.265968
12714,"225 NE NORTON LN, MCMINNVILLE, OR, 97128",444,45.201922,-123.167046
12776,"8149 SE STARK, PORTLAND, OR, 97215",576,45.519403,-122.579374
12952,"9975 NW GLENCOE RD, NORTH PLAINS, OR, 97133",501,45.592038,-122.996817
13256,"20120 PINEBROOK BLVD (W*M #2075), BEND, OR, 97702",0,44.023448,-121.317282
13319,"408 S MAIN ST, MILTON FREEWATER, OR, 97862-1058",470,45.931299,-118.38751
13471,"659 E BROADWAY (HILLYARD), EUGENE, OR, 97403",454,44.050179,-123.083049
13567,"2535 NW STEWART PARKWAY, ROSEBURG, OR, 97470",457,43.237878,-123.369593
