nsn,address,items_with_price,lat,lon
61,"3020 LEHIGH ST, ALLENTOWN, PA, 18103",473,40.559727,-75.487806
70,"4849 MCKNIGHT RD, PITTSBURGH, PA, 15237",488,40.528661,-80.008203
110,"4319 PEACH ST, ERIE, PA, 16509",446,42.08933,-80.085535
124,"1321 UNION BLVD, ALLENTOWN, PA, 18109-1572",463,40.625065,-75.435147
133,"3701 NEW ROGERS RD, LEVITTOWN, PA, 19056",0,40.129447,-74.883284
255,"746 SAN SOUCI HWY, WILKES BARRE, PA, 18702",451,41.231926,-75.921241
268,"300 OHIO RIVER BLVD, BADEN, PA, 15005",449,40.633333,-80.229814
294,"2741 LEECHBURG RD, LOWER BURRELL, PA, 15068",467,40.590869,-79.73601
375,"909 PENINSULA DR, ERIE, PA, 16505",447,42.102353,-80.146746
428,"11591 FRANKSTOWN RD, PITTSBURGH, PA, 15235",478,40.465128,-79.828945
442,"5261 LIBRARY RD, BETHEL PARK, PA, 15102",441,40.331891,-80.022367
451,"RTE 83 / CARLISLE RD, CAMP HILL, PA, 17011",410,40.230351,-76.891527
557,"8901 FRANFORD AVE, PHILADELPHIA, PA, 19136",477,40.050367,-75.009526
583,"9970 BUSTLETON AVE, PHILADELPHIA, PA, 19115",521,40.102193,-75.029522
626,"721 CEDAR CREST BLVD, ALLENTOWN, PA, 18104",464,40.598487,-75.527624
714,"10529 PERRY HWY, WEXFORD, PA, 15090",477,40.610166,-80.054025
752,"121 N YORK RD, HATBORO, PA, 19040",429,40.179979,-75.105904
842,"1663 OLD YORK RD, ABINGTON, PA, 19001",427,40.131169,-75.115847
846,"1730 E 3RD ST, WILLIAMSPORT, PA, 17701",407,41.249746,-76.970059
883,"2137 MC ARTHUR RD, WHITEHALL, PA, 18052",443,40.636127,-75.487068
921,"400 LANCASTER AVE, READING, PA, 19602",457,40.320728,-75.934301
922,"531 BALTIMORE PIKE, CLIFTON HEIGHTS, PA, 19018",436,39.926325,-75.306877
925,"321 W TRENTON AVE, MORRISVILLE, PA, 19067",451,40.210447,-74.795079
935,"1739 N KEYSER AVE, SCRANTON, PA, 18508",450,41.44534,-75.669671
1045,"1930 ST RD, BENSALEM, PA, 19020",430,40.09647,-74.94585
1072,"2730 PERKIOMEN AVE, SAINT LAWRENCE, PA, 19606",494,40.327341,-75.881014
1102,"225 MOUNT LEBANON BLVD, CASTLE SHANNON, PA, 15234",420,40.368621,-80.037877
1123,"2270 W HARRISBURG PIKE, MIDDLETOWN, PA, 17057",0,40.201625,-76.770243
1218,"407 E PLANK RD, ALTOONA, PA, 16602",418,40.479858,-78.402449
1322,"209 213 RIDGE PIKE, CONSHOHOCKEN, PA, 19428",460,40.094591,-75.28993
1341,"338 2ND ST PIKE, SOUTHAMPTON, PA, 18966",461,40.166557,-75.046737
1352,"442 E COLLEGE AVE, STATE COLLEGE, PA, 16801-5508",0,40.79853,-77.855963
1367,"710 ADAMS AVE, PHILADELPHIA, PA, 19124",486,40.032346,-75.10653
1409,"114 MOOREHEAD AVE, WEST CONSHOHOCKEN, PA, 19428",435,40.067948,-75.311567
1442,"915 WYOMING AVE, WYOMING, PA, 18644",451,41.301193,-75.853874
1450,"608 WOOD ST, PITTSBURGH, PA, 15222",0,40.440334,-79.998536
1505,"2529 BROAD ST, ERIE, PA, 16501",465,42.123057,-80.04312
1602,"3935 WALNUT ST, PHILADELPHIA, PA, 19104",0,39.954342,-75.202337
1616,"380 MEMORY LN, YORK, PA, 17402",436,39.978156,-76.681949
1637,"5219 FRANKFORD AVE, PHILADELPHIA, PA, 19124",0,40.022695,-75.07759
1643,"2711 MAC DADE BLVD, HOLMES, PA, 19043",468,39.900275,-75.30403
