any,1723,1909,1993,2808,3454,3545,3809,4830,5157,5312,5367,6153,6863,6996,7189,7526,7638,8266,10169,10620,10944,11264,11378,11444,12334,13685,16707,20875,22665,24273,26530,32479,35292
Y,219,229,219,229,229,229,239,229,229,229,199,219,219,219,229,229,219,219,229,219,,229,229,219,219,229,,229,219,229,229,199,199
Y,299,299,299,359,359,279,299,339,339,339,279,299,299,299,359,339,299,299,299,299,,339,339,299,299,339,,299,299,299,339,279,289
Y,229,239,229,259,259,259,269,249,249,249,249,229,229,269,259,249,269,229,269,229,,249,249,229,229,249,,269,229,269,249,249,249
Y,339,339,339,399,399,359,329,439,439,439,359,339,339,389,399,439,389,339,389,339,,439,439,339,339,439,,389,339,389,439,359,359
Y,659,729,689,689,689,659,659,679,679,679,679,659,679,759,689,679,729,659,729,659,,679,679,659,689,679,,729,659,729,679,649,699
Y,599,529,599,,,529,519,,,,559,599,599,569,,,599,599,599,599,,,,599,599,,,599,619,599,,559,579
Y,679,629,679,699,699,629,619,699,699,699,659,679,679,669,699,699,699,679,699,679,,699,699,679,679,699,,699,699,699,699,659,679
Y,169,149,159,199,199,139,139,199,199,199,149,159,159,179,199,199,199,169,179,159,,199,199,159,159,199,,179,159,179,199,149,149
Y,279,239,259,269,269,199,219,249,249,249,219,259,279,239,269,249,249,259,239,259,,249,249,259,279,249,,249,259,249,249,199,199
Y,489,419,489,559,559,449,469,559,559,559,479,499,499,559,559,559,569,489,539,489,,559,559,489,499,559,,549,489,549,559,499,449
Y,579,569,559,649,649,499,519,629,629,629,599,589,589,649,649,629,649,559,599,589,,629,629,589,589,629,,599,589,599,629,619,529
Y,259,219,239,269,269,149,189,239,239,239,189,239,259,189,269,239,199,239,199,239,,239,239,239,259,239,,199,239,199,239,159,159
Y,189,149,189,249,249,169,119,239,239,239,179,189,189,189,249,239,189,189,189,189,,239,239,189,189,239,,189,189,189,239,179,179
Y,249,249,239,269,269,239,259,259,259,259,249,249,249,279,269,259,279,249,279,249,,259,259,249,249,259,,279,249,279,259,249,239
Y,519,499,549,569,569,549,489,569,569,569,549,519,519,589,569,569,599,499,579,519,,569,569,519,519,569,,589,519,589,569,559,559
Y,199,169,199,,,159,169,,,,159,199,199,169,,,149,199,169,199,,,,199,199,,,159,199,149,,159,159
Y,379,329,379,369,369,369,339,359,359,359,369,379,379,389,369,359,389,379,389,379,,359,359,379,379,359,,389,379,389,359,369,369
Y,929,949,929,869,869,899,969,859,859,859,899,939,939,969,869,859,979,929,969,939,,859,859,929,939,859,,979,929,979,859,899,899
Y,229,249,229,279,279,199,189,269,269,269,199,229,229,269,279,269,269,229,269,229,,269,269,229,229,269,,269,229,269,269,219,219
Y,219,189,219,259,259,199,189,279,279,279,199,219,219,259,259,279,219,239,239,219,,279,279,239,219,279,,239,219,219,279,219,179
Y,149,129,149,139,139,129,129,139,139,139,129,149,149,149,139,139,149,149,149,149,,139,139,149,149,139,,149,149,149,139,129,129
Y,9999,,,,,,,,,,,9999,9999,,,,,,,,,,,,9999,,,,,,,,
Y,13999,,,,,,,,,,,13999,13999,,,,,,,,,,,,13999,,,,,,,,
Y,229,199,229,279,279,219,199,269,269,269,229,229,229,269,279,269,269,229,269,229,,269,269,229,229,269,,269,229,269,269,229,229
Y,100,139,100,,,119,139,,,,119,100,100,139,,,139,100,139,100,,,,100,100,,,139,100,139,,119,119
Y,219,179,219,199,199,169,179,189,189,189,169,219,219,199,199,189,199,219,199,219,,189,189,219,219,189,,199,219,199,189,169,179
Y,169,149,159,199,199,139,139,199,199,199,149,159,159,179,199,199,199,169,179,159,,199,199,159,159,199,,179,159,179,199,149,149
Y,479,329,479,449,449,489,449,449,449,449,489,479,489,449,449,449,449,479,449,479,,449,449,479,489,449,,449,479,449,449,499,489
Y,519,499,519,569,569,519,459,569,569,569,549,519,519,599,569,569,589,519,579,519,,569,569,519,549,569,,589,519,589,569,539,519
Y,519,499,519,549,549,479,419,549,549,549,479,519,519,569,549,549,569,499,579,519,,549,549,499,519,549,,579,519,569,549,479,499
Y,1039,999,1049,1089,1089,1059,999,1079,1079,1079,1059,1049,1049,1149,1089,1079,1149,1049,1149,1049,,1079,1079,1039,1049,1079,,1149,1049,1149,1079,1059,1059
Y,989,949,999,1049,1049,1009,949,1029,1029,1029,1009,989,989,1089,1049,1029,1089,989,1089,989,,1029,1029,989,999,1029,,1089,999,1089,1029,1009,1009
Y,659,599,659,679,679,659,599,679,679,679,659,659,659,679,679,679,679,659,679,659,,679,679,659,659,679,,679,659,679,679,659,659
Y,49,39,49,29,29,49,39,29,29,29,49,49,49,29,29,29,29,49,29,49,,29,29,49,49,29,,29,49,29,29,49,49
Y,669,529,649,669,669,599,499,649,649,649,599,669,669,699,669,649,699,649,699,649,,649,649,669,669,649,,699,669,699,649,599,599
Y,969,949,979,1019,1019,989,949,999,999,999,979,979,969,1129,1019,999,1129,969,1129,979,,999,999,969,969,999,,1129,979,1129,999,969,1019
Y,919,899,929,969,969,939,889,949,949,949,929,919,909,1069,969,949,1069,909,1069,919,,949,949,919,919,949,,1069,929,1069,949,919,929
Y,579,539,579,619,619,599,569,589,589,589,559,579,569,659,619,589,659,569,659,579,,589,589,579,569,589,,659,579,659,589,549,589
Y,50,,50,,,,,,,,40,50,50,,,,,50,,50,,,,50,50,,,,50,,,40,40
Y,59,99,59,79,79,99,119,79,79,79,99,59,59,89,79,79,89,59,89,59,,79,79,59,59,79,,89,59,89,79,99,139
Y,419,,399,449,449,369,,459,459,459,389,399,419,459,449,459,449,419,439,,,459,459,399,419,459,,449,,429,459,399,379
Y,249,219,249,259,259,219,219,249,249,249,219,249,249,319,259,249,319,249,319,249,,249,249,249,249,249,,319,249,319,249,219,219
Y,299,299,299,329,329,279,289,319,319,319,279,299,299,369,329,319,369,299,369,299,,319,319,299,299,319,,369,299,369,319,279,269
Y,339,359,339,389,389,319,349,379,379,379,319,339,339,419,389,379,419,339,419,339,,379,379,339,339,379,,419,339,419,379,319,319
Y,149,100,149,199,199,139,119,199,199,199,139,149,149,109,199,199,109,149,109,149,,199,199,149,149,199,,109,149,109,199,139,129
Y,239,189,239,219,219,199,189,219,219,219,199,239,239,219,219,219,229,239,219,239,,219,219,239,239,219,,229,239,219,219,199,199
