nsn,address,items_with_price,lat,lon
1723,"636 METACOM AVE, WARREN, RI, 2885",420,41.716715,-71.267871
1909,"1099 RESERVIOR AVE, CRANSTON, RI, 2910",425,41.771831,-71.453279
1993,"140 OLD TOWER HILL ROAD, WAKEFIELD, RI, 02879-3736",419,41.442477,-71.483158
2808,"1100 TIOGUE AVE / RT 3, COVENTRY, RI, 2816",407,41.678711,-71.579955
3454,"RTE 116 LINCOLN MALL, LINCOLN, RI, 2865",422,41.936007,-71.474874
3545,"US ROUTE 44 5 APPLE VALLEY MALL, SMITHFIED, RI, 2828",431,41.871108,-71.530444
3809,"649 N MAIN ST, PROVIDENCE, RI, 2904",426,41.838174,-71.408785
4830,"285 ARMISTICE BLVD, PAWTUCKET, RI, 2861",421,41.880192,-71.364674
5157,"72 NEWPORT AVE, EAST PROVIDENCE, RI, 2916",409,41.856772,-71.354077
5312,"736 BRANCH AVE, PROVIDENCE, RI, 2904",412,41.853419,-71.428714
5367,"1920 MINERAL SPRING AVE, NORTH PROVIDENCE, RI, 2904",436,41.85981,-71.46939
6153,"770 POST RD, WARWICK, RI, 2888",423,41.754149,-71.413081
6863,"2390 WARWICK AVE, WARWICK, RI, 2889",422,41.712439,-71.398408
6996,"1481 BROAD ST, PROVIDENCE, RI, 2905",453,41.786434,-71.402529
7189,"721 TAUNTON AVE, EAST PROVIDENCE, RI, 2914",429,41.821608,-71.352726
7526,"100 MENDON RD, CUMBERLAND, RI, 2864",415,41.913793,-71.404511
7638,"923 CRANSTON ST, CRANSTON, RI, 2910",456,41.801822,-71.445877
8266,"135 GRANITE ST, WESTERLY, RI, 2891",427,41.370323,-71.820557
10169,"876 BALD HILL RD, WARWICK, RI, 2886",463,41.714851,-71.487599
10620,"1425 W MAIN RD, MIDDLETOWN, RI, 2842",417,41.537915,-71.29118
10944,"262 POST RD, WESTERLY, RI, 2891",0,41.352301,-71.764856
11264,"343 BROAD ST, PROVIDENCE, RI, 2907",417,41.813784,-71.421977
11378,"12 EDDIE DOWLING HWY, NORTH SMITHFIELD, RI, 2896",412,41.982774,-71.514483
11444,"14 KINGSTON ROAD, WYOMING, RI, 2898",431,41.512337,-71.688253
12334,"1820 PLAINFIELD PIKE, CRANSTON, RI, 2921",423,41.789094,-71.500258
13685,"255 MINERAL SPRINGS AVE, PAWTUCKET, RI, 2861",391,41.874516,-71.399381
16707,"49 HARTFORD AVE, NORTH SCITUATE, RI, 2857",0,41.835783,-71.573106
20875,"1000 DIVISION ST, EAST GREENWICH, RI, 2818",462,41.662494,-71.495662
22665,"288 E MAIN RD, MIDDLETOWN, RI, 2842",416,41.519968,-71.291216
24273,"1900 DIAMOND HILL RD, WOONSOCKET, RI, 2895",471,42.015464,-71.471365
26530,"1754 MENDON RD, CUMBERLAND, RI, 2864",410,41.943536,-71.436095
32479,"1377 ATWOOD AVE, JOHNSTON, RI, 2919",438,41.814521,-71.495198
35292,"2500 NEW LONDON TURNPIKE, EAST GREENWICH, RI, 2818",438,41.661165,-71.545212
