nsn,address,items_with_price,lat,lon
260,"3024N MAIN STREET, ANDERSON, SC, 29625",464,34.537058,-82.666678
505,"4801 GARNERS FERRY RD, COLUMBIA, SC, 29209",437,33.989183,-80.97253
521,"1303 CHARLESTON HWY, WEST COLUMBIA, SC, 29169",463,33.976313,-81.075094
1109,"2200 AUGUSTA ROAD, GREENVILLE, SC, 29605-1743",463,34.823701,-82.393697
1119,"2911 TWO NOTCH RD, COLUMBIA, SC, 29204",477,34.035581,-81.004447
1387,"2016 W PALMETTO, FLORENCE, SC, 29501",530,34.186935,-79.808649
1478,"1729 BROAD RIVER RD, COLUMBIA, SC, 29210",494,34.035234,-81.08993
1667,"2109 WADE HAMPTON BLVD, GREENVILLE, SC, 29607",431,34.885434,-82.354037
2236,"1060 BROAD ST, SUMTER, SC, 29150",436,33.948838,-80.375865
2371,"1201 SAM RITTENBERG BLVD, CHARLESTON, SC, 29407",579,32.820033,-79.991972
2417,"2200 N KINGS HWY, MYRTLE BEACH, SC, 29577",448,33.702815,-78.870698
2626,"501 N MAIN ST, SUMMERVILLE, SC, 29483",440,33.025299,-80.170657
2757,"2600 N CHERRY RD, ROCK HILL, SC, 29730",461,34.972295,-80.98774
3270,"5634 CALHOUN MEMORIAL HWY, EASLEY, SC, 29640",476,34.826249,-82.569521
3464,"1622 USHY 501, CONWAY, SC, 29526",447,33.847451,-79.065487
3466,"2424 BOUNDRY ST, BEAUFORT, SC, 29902",449,32.439946,-80.705712
3691,"308 W WADE HAMPTON BLVD, GREER, SC, 29650",432,34.949486,-82.234864
3772,"1065 TIGER BLVD, CLEMSON, SC, 29631",456,34.691821,-82.837
3909,"115 S CHERRY RD, ROCK HILL, SC, 29732",480,34.941822,-81.035358
3933,"2607 S KINGS HWY, MYRTLE BEACH, SC, 29577",447,33.666395,-78.916087
4017,"316 LANCASTER BY-PASS, LANCASTER, SC, 29721",456,34.733153,-80.769501
4242,"1305 SANDIFER BLVD, SENECA, SC, 29678",462,34.692414,-82.984394
4491,"230 SPRING ST, CHARLESTON, SC, 29403-5102",434,32.787084,-79.954744
4608,"105 FLEMING ST, LAURENS, SC, 29360",522,34.505218,-82.008347
4609,"108-15/401 BYP, BENNETTSVILLE, SC, 29512",464,34.607861,-79.679573
4630,"1600 JA COCHRAN BY PASS, CHESTER, SC, 29706",498,34.695459,-81.192971
4642,"375 N HWY 52, MONCKS CORNER, SC, 29461",448,33.201194,-79.991445
4656,"215 DEKALB AVE, CAMDEN, SC, 29020",435,34.246494,-80.600261
4684,"5050 OLD BUNCONBE RD, GREENVILLE, SC, 29609",458,34.911909,-82.428912
4702,"50 NEW ORLEANS RD, HILTON HEAD ISLAND, SC, 29928",442,32.155789,-80.759722
4768,"1112 DUNBARTON RD, BARNWELL, SC, 29812",412,33.243722,-81.374743
4798,"1111 WOODRUFF RD, GREENVILLE, SC, 29607",511,34.83203,-82.306462
4987,"1241 WILSON RD, NEWBERRY, SC, 29108",512,34.283827,-81.597613
5032,"6005 W JIM BILTON BLVD, ST. GEORGE, SC, 29477",434,33.194581,-80.601217
5040,"727 N JEFFERIES BLVD, WALTERBORO, SC, 29488",434,32.911044,-80.66857
5193,"500 HEARON CIR, SPARTANBURG, SC, 29303",514,34.984953,-81.973637
5322,"1533 JOHNNY DODDS BLVD, MOUNT PLEASANT, SC, 29464",461,32.812666,-79.854959
5350,"250 COLUMBIA AVE, LEXINGTON, SC, 29072",435,33.987098,-81.243765
5396,"500 CHESTERFIELD HWY, CHERAW, SC, 29520",481,34.693562,-79.910246
5556,"106 GARNER RD, SPARTANBURG, SC, 29303",515,34.966858,-81.929578
5594,"2500 ASHLEY PHOSPHATE RD, CHARLESTON, SC, 29418",470,32.934703,-80.050364
5622,"US 17 AT US 17A, GEORGETOWN, SC, 29442",486,33.374524,-79.288391
5730,"310 HWY 301 N, DILLON, SC, 29536",461,34.418838,-79.369058
5838,"2913 HWY 17 BUSINESS, GARDEN CITY, SC, 29576",485,33.584719,-79.013097
5852,"2050 SAVANNAH HWY, CHARLESTON, SC, 29407",422,32.790252,-80.030717
5878,"10095 E DORCHESTER RD, SUMMERVILLE, SC, 29485",475,32.952286,-80.165652
6081,"HWY 6 & I 95, SANTEE, SC, 29142",438,33.486272,-80.474156
6142,"425 E MAIN, PICKENS, SC, 29671",479,34.885029,-82.704539
6782,"109 GOOSE CREEK BLVD N, GOOSE CREEK, SC, 29445",436,32.998862,-80.038984
6876,"1232 E MAIN ST, ROCK HILL, SC, 29731",468,34.914908,-81.003688
6962,"1024 ELMWOOD AVE, COLUMBIA, SC, 29201",501,34.012247,-81.04105
7055,"1734 HWY 17 N, SURFSIDE BEACH, SC, 29575",0,33.62647,-78.967059
7093,"HWY 278 & MATHEWS DR, HILTON HEAD ISLAND, SC, 29926",442,32.21429,-80.700964
7109,"9595 N KINGS HWY, MYRTLE BEACH, SC, 29582",0,33.777612,-78.794862
7117,"2050 NEW CUT RD, SPARTANBURG, SC, 29303",504,34.991814,-82.022246
7291,"1908 W LUCAS ST, FLORENCE, SC, 29501",443,34.227644,-79.798438
7298,"2390 CHESTNUT NE, ORANGEBURG, SC, 29115",494,33.521646,-80.882462
7341,"302 COLLEGE PARK BLVD, LADSON, SC, 29456",454,32.999385,-80.09159
7510,"630 HOWELL RD, GREENVILLE, SC, 29615",431,34.873553,-82.329761
7648,"U.S. HWY 17 BYPASS, SOCASTEE, SC, 29577",447,33.683166,-78.96293
7745,"101 N LAFAYETTE BLVD, SUMTER, SC, 29150",437,33.921793,-80.335625
7807,"360 PINE WOOD RD, SUMTER, SC, 29150",438,33.904821,-80.379839
7821,"1741 RED BANK RD, GOOSE CREEK, SC, 29445-6513",0,32.967596,-79.995661
7985,"7417 SAINT ANDREWS RD, IRMO, SC, 29063",444,34.085116,-81.183603
8278,"4301 HARDSCRABBLE RD, COLUMBIA, SC, 29229",436,34.140333,-80.914521
10063,"3618 PELHAM RD, GREENVILLE, SC, 29615",431,34.859804,-82.269148
10067,"6103 WHITE HORSE RD, GREENVILLE, SC, 29611",458,34.852471,-82.45282
10104,"2443 LAURENS RD, GREENVILLE, SC, 29607",510,34.828346,-82.346336
10168,"1902 A WHISKEY RD, AIKEN, SC, 29803",451,33.523587,-81.719053
10236,"2111 WOODRUFF RD (WOODRUFF RD. & HWY 14), GREENVILLE, SC, 29607",460,34.820281,-82.25678
10402,"130 FAIRFIELD SQ, WINNSBORO, SC, 29180",436,34.370639,-81.10019
10425,"2425 SUNSET BLVD, WEST COLUMBIA, SC, 29169",470,34.002459,-81.107159
10431,"3710 RIVERS AVE, NORTH CHARLESTON, SC, 29405-7039",458,32.859154,-79.982275
10496,"1598 JOHN B WHITE SR BLVD, SPARTANBURG, SC, 29301",428,34.923908,-81.976805
10524,"100 CLEMSON RD, COLUMBIA, SC, 29223",440,34.09804,-80.855597
10596,"2700 EMANUEL CHURCH RD, WEST COLUMBIA, SC, 29169",437,33.938855,-81.149326
10638,"600 SAINT ANDREWS RD, COLUMBIA, SC, 29210",436,34.044764,-81.125727
10649,"101 S BROAD ST, CLINTON, SC, 29325",527,34.472357,-81.880305
10661,"3675 SAINT MATTHEWS RD, ORANGEBURG, SC, 29115",472,33.554223,-80.827034
10689,"906 HWY 1 S, LUGOFF, SC, 29078",436,34.226513,-80.67901
10765,"1011 S LAKE DR, LEXINGTON, SC, 29072",436,33.956581,-81.231659
10826,"1392 E MAIN ST, DUNCAN, SC, 29334",502,34.916102,-82.110666
10940,"7501 GARNERS FERRY RD, COLUMBIA, SC, 29209",430,33.964881,-80.943992
11056,"4 W MAIN ST, WILLIAMSTON, SC, 29697",467,34.619084,-82.477767
11123,"2244 CHESNEE HWY, SPARTANBURG, SC, 29303",525,35.022625,-81.894977
11197,"8401 DORCHESTER ROAD, NORTH CHARLESTON, SC, 29420",445,32.913832,-80.10831
11228,"12774 HWY 56 NORTH, CLINTON, SC, 29325",532,34.508242,-81.858687
11232,"250 BLYTHEWOOD RD, BLYTHEWOOD, SC, 29016",440,34.214585,-80.981093
11268,"1326 BY PASS 72 NE, PIEDMONT PLAZA, GREENWOOD, SC, 29649",561,34.213646,-82.150932
11324,"1101 SUMTER HWY, BISHOPVILLE, SC, 29010",438,34.197023,-80.276868
11399,"706 JOHN C CALHOUN DR, ORANGEBURG, SC, 29115",478,33.491434,-80.855772
11442,"2929 CHARLESTON HWY, CAYCE, SC, 29033",463,33.93083,-81.076224
11587,"7041 PARKLANE RD, COLUMBIA, SC, 29223",502,34.067042,-80.958048
11593,"3 CANNON DR, GREENVILLE, SC, 29605",431,34.820063,-82.416107
11676,"1501 E FREDERICK ST, GAFFNEY, SC, 29340",439,35.057638,-81.640948
11697,"199 CEDAR SPRINGS RD, SPARTANBURG, SC, 29302",516,34.921107,-81.886207
11793,"4542 HWY 81 N, ANDERSON, SC, 29621",460,34.63073,-82.599722
11799,"1540 S IRBY ST, FLORENCE, SC, 29501",468,34.164767,-79.764314
11803,"3084 LANCASTER HWY, RICHBURG, SC, 29729",500,34.746205,-81.039032
11876,"2230 DECKER BLVD, COLUMBIA, SC, 29206",493,34.053709,-80.94618
12040,"203 N. RON MCNAIR BLVD., LAKE CITY, SC, 29560-2437",472,33.877954,-79.759156
12093,"102 W FRONTAGE RD, AIKEN, SC, 29803",455,33.664495,-81.674694
12125,"2513 E HIGHWAY, MARION, SC, 29571",521,34.183609,-79.366834
12236,"210 W COLUMBIA AVE, BATESBURG, SC, 29006",437,33.909601,-81.531731
12341,"7661 GREENVILLE HWY, SPARTANBURG, SC, 29301",428,34.935079,-82.001028
12504,"4403 JEFFERSON DAVIS HWY, NORTH AUGUSTA, SC, 29841",494,33.503385,-81.900452
12595,"10425 OCEAN HWY, PAWLEYS ISLAND, SC, 29585",486,33.438571,-79.128619
12790,"5 ROE CENTER CT, TRAVELERS REST, SC, 29577",461,34.96061,-82.435738
12824,"3775 MAYBANK HWY, JOHNS ISLAND, SC, 29455",564,32.720753,-80.080698
12827,"18128 HERITAGE HWY, DENMARK, SC, 29042",444,33.326173,-81.132632
12845,"1025 SOUTH STREET, SIMPSONVILLE, SC, 29681",471,34.722252,-82.255469
12916,"511 S HERLONG, ROCK HILL, SC, 29732",484,34.950759,-81.062045
13119,"1018 N MOUNTAIN ST, BLACKSBURG, SC, 29702",444,35.142871,-81.507561
13168,"HWY 278, BLUFFTON, SC, 29910",443,32.242878,-80.82596
13609,"177 SEA ISLAND PKY, BEAUFORT, SC, 29907",459,32.41299,-80.647518
13620,"4815 HWY 17 S, NORTH MYRTLE BEACH, SC, 29582",436,33.797356,-78.742359
13704,"714 AUGUSTA RD, EDGEFIELD, SC, 29824",451,33.770586,-81.912614
14270,"100 MAIN ST, NORTH MYRTLE BEACH, SC, 29577",441,33.828232,-78.679133
14497,"5480 FOREST DR, COLUMBIA, SC, 29206",439,34.022715,-80.950319
15241,"2007 MAGWOOD RD, CHARLESTON, SC, 29414",424,32.812641,-80.042876
15605,"813 W GREENWOOD ST, ABBEVILLE, SC, 29620",0,34.162473,-82.382083
15778,"659 COLUMBIA AVE, CHAPIN, SC, 29036",440,34.176678,-81.324895
15870,"1917 BOILING SPRINGS RD, SPARTANBURG, SC, 29303",506,35.01677,-81.961632
15871,"114-M WEST BUTLER ROAD, MAULDIN, SC, 29662",546,34.777962,-82.312116
16321,"2137 OLD SPARTENBURG RD, GREER, SC, 29650",0,34.892172,-82.292646
16540,"7400 RIVERS AVE (W*M #1359), NORTH CHARLESTON, SC, 29418",0,32.93853,-80.035486
17157,"I-95 EXIT 33 & US 17, YEMASSEE, SC, 29945",445,32.633123,-80.876795
17191,"367 S GEORGETOWN HWY, JOHNSONVILLE, SC, 29555",474,33.810806,-79.442793
17193,"35 RUTHERFORD ST, GREENVILLE, SC, 29609",511,34.859872,-82.404964
17357,"143 SCENIC PLAZA DR, WEST UNION, SC, 29696",461,34.752341,-83.045034
17649,"4364 AUGUSTA RD, LEXINGTON, SC, 29073",419,33.974055,-81.15514
17650,"11961 ASHVILLE HWY, INMAN, SC, 29349",494,35.041472,-82.089572
17804,"750 S ALABAMA AVE, CHESNEE, SC, 29323",512,35.134477,-81.863219
18049,"428 S MAIN ST, BELTON, SC, 29627",471,34.516464,-82.485581
18050,"2157 E MAIN ST, DUNCAN, SC, 29334",498,34.887693,-82.068357
18467,"108 HOOVER ST, HAMPTON, SC, 29924",441,32.873761,-81.116661
18816,"1706 WHITE HORSE RD, GREENVILLE, SC, 29605",427,34.794609,-82.418557
19190,"411 US HIGHWAY 521, ANDREWS, SC, 29510-5480",480,33.448602,-79.552869
19489,"502 72ND BYP NW, GREENWOOD, SC, 29649",553,34.207358,-82.188722
19554,"905 BETHEL STREET, CLOVER, SC, 29710-4123",451,35.107606,-81.211591
19567,"2883 S CAROLINA 160, FORT MILL, SC, 29708",476,35.060334,-80.992163
19591,"3805 W PALMETTO ST, FLORENCE, SC, 29501",443,34.157559,-79.868465
20056,"1404 SNIDERS HWY, WALTERBORO, SC, 29488",427,32.88025,-80.713255
20140,"1157 YORK STREET, AIKEN, SC, 29801",472,33.578365,-81.703069
20175,"1520 FLOYD BAKER BLVD, GAFFNEY, SC, 29341",442,35.092215,-81.6632
20390,"434 GERVAIS ST, COLUMBIA, SC, 29201",477,33.997286,-81.04517
20391,"1501 S MAIN ST, DARLINGTON, SC, 29532",456,34.282049,-79.855905
20522,"I 95 & RT 278 EXIT 8, HARDEEVILLE, SC, 29927",448,32.3119,-81.054458
20876,"331 SC HWY 28 BYP, ANDERSON, SC, 29624",463,34.48116,-82.663116
21509,"1765 HWY 15 S, SUMTER, SC, 29154",438,33.868938,-80.355997
22083,"3435 HIGHWAY 153, PIEDMONT, SC, 29673",476,34.787288,-82.480815
22372,"8586 RIVERS AVE, NORTH CHARLESTON, SC, 29406",422,32.963457,-80.043269
22845,"7400 WILSON BLVD, COLUMBIA, SC, 29203",491,34.075295,-80.998274
22964,"7611 AUGUSTA RD, MOONVILLE, SC, 29673",519,34.720273,-82.386988
23181,"1204 S MAIN ST, GREENWOOD, SC, 29646",550,34.178852,-82.154158
24311,"1831 GEORGIA AVE, NORTH AUGUSTA, SC, 29841",485,33.519854,-81.95556
24608,"1475 PEARMAN DAIRY RD STE G, ANDERSON, SC, 29625",0,34.529305,-82.696181
24610,"5950 RIVERS AVE, NORTH CHARLESTON, SC, 29406",465,32.903968,-80.019266
25363,"431 HARTSVILLE CROSSING RD, HARTSVILLE, SC, 29550",459,34.359661,-80.061849
26233,"596 HWY 701 N, LORIS, SC, 29569",447,34.068612,-78.879168
26445,"1998 DAVE LYLE BLVD, ROCK HILL, SC, 29730",502,34.940455,-80.977331
26519,"3730 RENEE DR, MYRTLE BEACH, SC, 29579",447,33.759286,-78.967452
26553,"3451 BOUGAINVILLE RD, MYRTLE BEACH, SC, 29577",445,33.727053,-78.870386
26608,"102 N LONGSTREET ST, KINGSTREE, SC, 29556",479,33.663565,-79.833102
26825,"2961 WILLISTON RD, FLORENCE, SC, 29506",517,34.265771,-79.703034
26985,"609 SAINT JAMES AVE, GOOSE CREEK, SC, 29445",434,33.035736,-80.063793
27117,"204 WALL ST, CAMDEN, SC, 29020",433,34.219671,-80.593266
27241,"1467 HIGHWAY 544, CONWAY, SC, 29526",447,33.778011,-79.020735
27291,"692 FAIRVIEW RD, SIMPSONVILLE, SC, 29680",478,34.706213,-82.258393
27358,"103 HAMMETT BRIDGE RD, GREER, SC, 29650",459,34.91449,-82.237768
27765,"HOME STED RD & HWY 210 EX 165, BOWMAN, SC, 29018",431,33.417008,-80.666386
27811,"1317 N MAIN STREET (WM#1037), SUMMERVILLE, SC, 29483",398,33.035255,-80.153003
27968,"108 FRONTAGE RD, PIEDMONT, SC, 29673",497,34.710788,-82.497816
28086,"1520 N MAIN ST, SUMMERVILLE, SC, 29483",461,33.03891,-80.142254
28279,"1636 SANDIFER BLVD (W*M #1123), SENECA, SC, 29678",0,34.689326,-82.998881
28438,"1201 KNOX AVE (W*M #1270), NORTH AUGUSTA, SC, 29841",0,33.501191,-81.957456
