nsn,address,items_with_price,lat,lon
223,"2223 W MAIN ST, RAPID CITY, SD, 57702",400,44.081549,-103.256461
280,"720 CLEVELAND ST, RAPID CITY, SD, 57701",397,44.061666,-103.231191
313,"3200 S MINNESOTA AVE, SIOUX FALLS, SD, 57105-5651",410,43.515547,-96.73074
886,"804 E NORTH ST, RAPID CITY, SD, 57701-1689",396,44.087953,-103.197848
1394,"2416 W 12TH ST, SIOUX FALLS, SD, 57104-3813",407,43.544734,-96.759311
2095,"1615 6TH AVE SE, ABERDEEN, SD, 57401-5025",364,45.459646,-98.463509
2363,"1704 N MAIN ST, MITCHELL, SD, 57301-1119",406,43.72605,-98.025291
2894,"1605 6TH ST, BROOKINGS, SD, 57006",417,44.311841,-96.777973
3428,"1865 DAKOTA AVE S, HURON, SD, 57350-3932",402,44.344513,-98.214589
3789,"4000 W 41ST ST, SIOUX FALLS, SD, 57103",407,43.515245,-96.774868
4208,"2301 BROADWAY AVE, YANKTON, SD, 57078-1204",396,42.894582,-97.397756
5791,"610 W SIOUX AVE, PIERRE, SD, 57501",424,44.371435,-100.361031
5862,"131 RYAN RD, SPEARFISH, SD, 57783-1212",543,44.500866,-103.860557
7736,"2351 LAZELLE ST, STURGIS, SD, 57785",412,44.419555,-103.528731
10262,"403 N 2ND ST, ABERDEEN, SD, 57401-2708",363,45.469987,-98.491434
10942,"526 E 2ND ST, WINNER, SD, 57580-1355",405,43.377045,-99.849949
11119,"3101 E 26TH ST, SIOUX FALLS, SD, 57103-4033",408,43.528929,-96.687043
11321,"200 S MAIN, CHAMBERLAIN, SD, 57325-1520",403,43.809138,-99.331829
12100,"1521 S BURR, MITCHELL, SD, 57301-4770",405,43.695134,-98.016173
12576,"820 35TH STREET CIR, WATERTOWN, SD, 57201",408,44.891328,-97.059072
14150,"100 N DERBY LN, NORTH SIOUX CITY, SD, 57049",421,42.525474,-96.496951
15359,"320 2ND ST NW, MADISON, SD, 57042",407,44.0074,-97.117808
16687,"1200 N LACROSSE ST (W*M #1604), RAPID CITY, SD, 57701",0,44.0979,-103.198975
22314,"4903 N CLIFF AVE, SIOUX FALLS, SD, 57104",411,43.600945,-96.71232
23437,"5201 S LOUISE AVE, SIOUX FALLS, SD, 57108",410,43.498415,-96.771771
29089,"702 N DAKOTA ST, VERMILLION, SD, 57069-1405",420,42.787304,-96.929699
29213,"917 E. 10TH STREET, SIOUX FALLS, SD, 57103",410,43.546382,-96.714683
29631,"922 SPLITROCK BLVD, BRANDON, SD, 57005",406,43.60519,-96.571382
29778,"3919 CHEYENNE BLVD., RAPID CITY, SD, 57703",397,44.095735,-103.150143
31268,"407 - 9TH AVENUE SOUTH, WATERTOWN, SD, 57201",407,44.890445,-97.111078
