nsn,address,items_with_price,lat,lon
264,"2818 MAGNOLIA AVE, KNOXVILLE, TN, 37918",442,35.991068,-83.889623
288,"3120 N BROADWAY, KNOXVILLE, TN, 37912",473,36.000893,-83.925265
392,"2505 CHAPMAN HWY, KNOXVILLE, TN, 37912",475,35.950546,-83.914622
407,"2330 FORT HENRY DR, KINGSPORT, TN, 37664",434,36.525304,-82.520807
565,"792 N 2ND ST, CLARKSVILLE, TN, 37040-2996",421,36.539721,-87.365001
789,"3068 S PERKINS RD, MEMPHIS, TN, 38118-3240",453,35.064907,-89.905201
790,"657 S HIGHLAND AVE, MEMPHIS, TN, 38111-4355",0,35.11377,-89.946246
965,"2633 W STATE, BRISTOL, TN, 37620",567,36.594779,-82.214266
1083,"5263 POPLAR DR, MEMPHIS, TN, 38119-3513",469,35.10777,-89.886173
1219,"1915 N HIGHLAND AVE, JACKSON, TN, 38305-4509",421,35.652982,-88.829128
1243,"7030 KINGSTON PIKE, KNOXVILLE, TN, 37919",435,35.931447,-84.023464
1281,"4123 HIXSON PIKE, CHATTANOOGA, TN, 37415",446,35.115276,-85.254478
1421,"2612 FRANKLIN PIKE, NASHVILLE, TN, 37204-3008",430,36.120827,-86.774905
1422,"4041 NOLENSVILLE RD, NASHVILLE, TN, 37211-4547",417,36.081972,-86.727361
1423,"524 MURFREESBORO RD, NASHVILLE, TN, 37210-3510",449,36.142965,-86.743719
1738,"1102 VOLUNTEER PKY, BRISTOL, TN, 37620",559,36.573059,-82.193573
1739,"1620 E STONE DR, KINGSPORT, TN, 37660",435,36.548642,-82.519492
2067,"2212 W ANDREW JOHNSON, MORRISTOWN, TN, 37814",430,36.206453,-83.323228
2174,"3363 AUSTIN PEAY HWY, MEMPHIS, TN, 38128-3801",420,35.217676,-89.913513
2268,"106 SE BROAD ST, MURFREESBORO, TN, 37130-4229",482,35.841513,-86.391134
2338,"3470 LEBANON RD, HERMITAGE, TN, 37076-2008",415,36.192422,-86.624795
2339,"1350 25TH ST NW, CLEVELAND, TN, 37312",427,35.189909,-84.880148
2356,"906 TWO MILE PKY, GOODLETTSVILLE, TN, 37072-2322",411,36.300169,-86.700042
2357,"1352 E SHELBY DR, MEMPHIS, TN, 38116",0,35.021532,-90.018761
2365,"215 BROAD ST, ELIZABETHTON, TN, 37643",441,36.350914,-82.221734
2414,"4114 HILLSBORO RD, NASHVILLE, TN, 37215-2701",416,36.101442,-86.817832
2415,"1001 S JEFFERSON ST, COOKEVILLE, TN, 38501-4019",440,36.137562,-85.502536
2495,"1720 W CUMBERLAND AVE, KNOXVILLE, TN, 37912",436,35.955964,-83.933319
2755,"7010 HWY 70 S, NASHVILLE, TN, 37221-2211",431,36.074784,-86.921428
2776,"5084 SUMMER AVE, MEMPHIS, TN, 38122-4408",465,35.151328,-89.891472
2994,"1173 MURFREESBORO RD, NASHVILLE, TN, 37217-2214",455,36.121714,-86.705319
3037,"1225 TROTWOOD AVE, COLUMBIA, TN, 38401-4801",425,35.605713,-87.065261
3041,"2073 UNION AVE, MEMPHIS, TN, 38104-4137",419,35.134062,-89.992695
3114,"154 MCGAVOCK PIKE, NASHVILLE, TN, 37214-2144",415,36.170671,-86.680055
3201,"1710 W MARKET ST, JOHNSON CITY, TN, 37601",436,36.312794,-82.384407
3205,"322 CEDAR BLUFF RD, KNOXVILLE, TN, 37923",435,35.921112,-84.09191
