nsn,address,items_with_price,lat,lon
15,"SEC BROADWAY/AVE F, DENVER CITY, TX, 79323",451,32.964046,-102.834796
424,"5355 N INTERREGIONAL HWY, AUSTIN, TX, 78723",438,30.313138,-97.707297
833,"303 E OLTORF ST, AUSTIN, TX, 78704-5532",410,30.237517,-97.752039
945,"611 W ABRAMS ST, ARLINGTON, TX, 76010-1018",437,32.736032,-97.113758
1087,"109 E RANCIER ST, KILLEEN, TX, 76541-3422",473,31.126505,-97.727464
1107,"1910 50TH ST, LUBBOCK, TX, 79412-2706",418,33.549202,-101.858967
1116,"7950 BURNET RD, AUSTIN, TX, 78758",483,30.358184,-97.731012
1154,"1401 W PIPELINE RD, HURST, TX, 76053-4628",469,32.82326,-97.202391
1180,"2000 S WESTERN AVENUE, AMARILLO, TX, 79106-5933",385,35.192486,-101.884784
1221,"2339 19TH ST, LUBBOCK, TX, 79401-4411",417,33.577474,-101.866355
1266,"408 E MARSHALL AVE, LONGVIEW, TX, 75601-5422",455,32.500217,-94.734211
1284,"3103 KEMP BLVD, WICHITA FALLS, TX, 76308-1829",459,33.881218,-98.528403
1300,"3602 N 1ST ST, ABILENE, TX, 79603-6822",411,32.4525,-99.767587
1301,"1300 S BECKHAM AVE, TYLER, TX, 75701-3322",468,32.334311,-95.290546
1316,"1800 E 8TH ST, ODESSA, TX, 79760",410,31.8601,-102.348817
1399,"9461 DYER ST, EL PASO, TX, 79924-6407",424,31.881256,-106.420255
1480,"1330 S LAREDO, SAN ANTONIO, TX, 78207",409,29.411839,-98.506525
1488,"400 E AMARILLO BLVD, AMARILLO, TX, 79107-5314",388,35.221651,-101.830011
1509,"4800 SOUTH FWY, FORT WORTH, TX, 76115",429,32.676211,-97.321154
1669,"4101 LEOPARD ST, CORPUS CHRISTI, TX, 78408-2825",503,27.796706,-97.440735
1680,"5305 E PAISANO, EL PASO, TX, 79905",388,31.769828,-106.426221
1699,"5934 ABRAMS RD, DALLAS, TX, 75231-8002",424,32.857425,-96.748227
1703,"2135 SW MILITARY, SAN ANTONIO, TX, 78224-1402",408,29.357075,-98.527975
1725,"6967 SAN PEDRO AVE, SAN ANTONIO, TX, 78216-6206",408,29.507011,-98.499871
1755,"13105 MONTFORT DR, DALLAS, TX, 75240-5112",495,32.927082,-96.811669
1843,"3971 FREDERICKSBURG, SAN ANTONIO, TX, 78201-3231",475,29.483944,-98.545982
1844,"2410 N STORY RD, IRVING, TX, 75062-7068",419,32.839749,-96.976076
1910,"4720 BROADWAY, SAN ANTONIO, TX, 78209-6216",518,29.469971,-98.463164
1911,"5722 W LOVERS LN, DALLAS, TX, 75209-5116",469,32.850816,-96.813986
1929,"705 W JEFFERSON, DALLAS, TX, 75208-4926",442,32.743503,-96.834377
1943,"4439 LEMMON AVE, DALLAS, TX, 75219-2143",424,32.818532,-96.813839
1948,"713 PAT BOOKER RD, UNIVERSAL CITY, TX, 78148-4127",480,29.548336,-98.292014
1966,"6921 MILITARY DR W, SAN ANTONIO, TX, 78227-3619",462,29.406651,-98.629639
2001,"3025 ELLA BLVD, HOUSTON, TX, 77018-7313",477,29.814534,-95.430066
2010,"1225 N VALLEY MILLS DR, WACO, TX, 76710-4427",490,31.531189,-97.188595
2022,"3223 SPENCER HWY, PASADENA, TX, 77504-1103",546,29.665427,-95.194144
2043,"650 INDUSTRIAL BLVD, DALLAS, TX, 75207",424,32.782949,-96.814271
2046,"5440 DYER ST, EL PASO, TX, 79904-6238",419,31.826434,-106.444627
2080,"1303 GESSNER, HOUSTON, TX, 77055-4004",402,29.791288,-95.545123
2132,"430 UVALDE DR, HOUSTON, TX, 77015-3718",402,29.790473,-95.187525
2134,"14450 MEMORIAL DR, HOUSTON, TX, 77079-6706",424,29.770546,-95.601642
2182,"105 SPUR 350, EULESS, TX, 76039",449,32.838001,-97.083613
2183,"2000 VICTORY DR, MARSHALL, TX, 75670-3624",408,32.547692,-94.347626
2200,"6950 WOODRIDGE, HOUSTON, TX, 77087-2717",427,29.702968,-95.294343
