any,308,589,706,719,867,1105,2108,2204,2929,2933,3320,3334,3411,4010,4037,4120,4419,5065,5231,5688,5861,5997,6048,6232,6343,6384,6396,6408,6805,7490,7971,8209,10047,10299,10437,10575,10781,10803,11046,11107,11193,11456,11462,11655,11735,11854,11855,11945,12328,13504,14202,14234,14285,14294,14997,15151,15628,15629,15710,16556,16909,17330,17863,17961,17972,18187,18188,19334,19335,19635,20553,20695,20759,20816,22179,22757,22758,22943,23491,23894,24037,24042,25733,26133,27439,27739,28862,28879,28980,29589,29590,30203,30204,30363,30706,30707,31044,31125,31301,31431,31437,31466,31710,31840,32035,32093,33152,33425,33534,33930,34265,34272,34870,35201,35427,36055
Y,159,169,185,190,189,195,189,165,179,195,189,179,179,189,190,199,189,195,180,189,199,199,180,179,209,189,189,189,189,219,299,219,199,190,189,199,170,189,185,199,190,189,199,195,269,189,189,229,299,180,179,219,189,185,199,239,180,199,179,199,179,199,169,189,219,189,180,219,189,189,189,195,169,179,199,199,189,179,219,199,229,199,219,189,180,,,,199,,199,,,,,,,,,,199,,189,,199,199,185,199,,180,169,185,219,,190,169
Y,179,179,195,215,219,215,219,195,189,215,219,189,199,219,215,229,219,215,190,219,219,229,195,189,219,219,219,219,219,229,329,229,229,215,199,219,185,219,195,229,225,219,219,215,279,219,219,239,329,195,189,229,219,195,229,249,195,219,189,219,199,219,179,219,229,219,195,229,199,219,219,220,199,189,219,229,219,189,229,219,239,229,229,219,195,,,,219,,229,,,,,,,,,,219,,219,,229,229,195,229,,195,189,195,229,,215,219
Y,299,279,320,320,329,320,329,320,299,320,329,320,309,329,320,319,319,320,320,329,339,349,320,309,339,329,329,329,329,349,380,349,349,325,329,319,320,319,320,349,330,329,319,320,419,309,309,349,369,325,309,359,319,325,329,339,320,289,309,349,309,319,299,329,349,319,320,349,319,319,329,320,299,299,319,349,319,309,309,319,319,339,339,339,320,,,,299,,349,,,,,,,,,,329,,319,,349,349,320,319,,320,319,330,349,,330,319
Y,489,499,500,530,529,540,549,530,529,570,519,520,519,529,540,499,549,570,540,529,529,529,550,519,569,549,529,529,549,559,649,559,559,530,529,539,540,529,530,559,540,529,579,520,699,529,549,539,669,540,519,559,549,520,499,619,530,489,519,559,519,549,499,529,559,559,530,529,519,569,549,540,529,499,569,559,519,519,489,519,529,529,529,539,520,,,,499,,559,,,,,,,,,,559,,559,,559,559,530,559,,530,499,520,559,,540,569
Y,519,529,540,550,579,575,549,540,529,575,519,549,549,579,540,569,579,550,540,519,529,539,540,549,549,519,579,579,519,559,675,549,559,540,599,539,550,559,540,529,540,519,539,555,679,549,579,519,679,540,549,589,579,540,529,619,540,529,549,589,549,569,559,579,549,519,540,549,529,599,519,540,549,579,599,549,549,549,539,579,549,519,549,539,540,,,,519,,549,,,,,,,,,,549,,579,,549,549,540,579,,540,559,540,549,,540,569
Y,139,159,135,145,149,150,139,135,100,145,149,140,139,149,145,139,149,150,135,149,119,139,145,139,129,149,149,149,139,139,225,139,139,145,100,79,140,100,140,139,140,139,79,145,129,149,149,179,215,135,129,149,149,145,129,179,135,159,139,119,139,149,159,149,139,159,140,139,129,89,149,135,100,149,79,139,149,149,159,149,149,139,149,139,135,,,,139,,139,,,,,,,,,,149,,139,,139,139,135,149,,135,100,135,139,,135,79
Y,219,199,190,190,239,195,229,190,239,195,199,190,199,239,190,219,199,195,190,199,245,179,190,199,199,199,239,239,229,179,259,179,179,190,219,239,190,229,190,179,190,199,239,195,219,199,199,219,259,190,199,219,199,190,245,199,190,199,199,199,199,219,199,239,179,199,190,179,179,239,219,190,229,199,239,179,199,199,199,199,239,219,199,219,190,,,,189,,179,,,,,,,,,,219,,219,,179,179,190,219,,190,239,190,179,,190,239
Y,519,399,470,425,469,470,479,470,459,480,459,479,399,469,460,459,469,480,440,469,489,479,420,449,459,459,469,469,459,489,499,459,459,435,449,469,440,479,470,469,430,469,489,480,589,459,449,479,499,450,429,469,449,470,469,529,470,489,449,449,429,479,479,469,479,449,460,479,429,499,469,450,479,459,489,469,449,429,449,429,489,469,469,459,460,,,,429,,459,,,,,,,,,,449,,439,,459,469,470,469,,460,459,470,489,,430,459
Y,569,489,530,500,559,525,549,520,539,530,569,599,529,559,530,579,569,530,565,569,599,589,550,529,589,529,559,559,569,599,590,559,559,570,569,529,525,599,540,559,540,569,559,570,679,539,569,559,579,530,489,549,539,520,539,639,530,589,529,529,499,569,549,559,599,539,530,529,529,599,559,530,569,579,599,529,569,529,529,499,599,569,579,539,550,,,,479,,519,,,,,,,,,,539,,539,,519,539,560,529,,550,599,550,589,,520,569
