nsn,address,items_with_price,lat,lon
308,"1111 WASHINGTON BLVD, OGDEN, UT, 84404-4950",414,41.245583,-111.970455
589,"3875 S WASHINGTON BLVD, SOUTH OGDEN, UT, 84401",413,41.192477,-111.971604
706,"1879 E 4800 S, SALT LAKE CITY, UT, 84117-5110",432,40.666265,-111.837446
719,"1533 S STATE ST, SALT LAKE CITY, UT, 84115-1610",418,40.736413,-111.887733
867,"2310 E 2100 S, SALT LAKE CITY, UT, 84109-1319",402,40.725596,-111.824048
1105,"5875 S STATE ST, MURRAY, UT, 84107-6134",469,40.643813,-111.888331
2108,"242 S 700 E, SALT LAKE CITY, UT, 84102-2106",406,40.763817,-111.871491
2204,"5413 S 1900 W, ROY, UT, 84067-2908",418,41.165025,-112.026452
2929,"798 E SAINT GEORGE BLVD, ST. GEORGE, UT, 84770",424,37.109546,-113.566623
2933,"9346 S 700 E, SANDY, UT, 84070",467,40.581581,-111.8727
3320,"3464 W 3500 S, WEST VALLEY, UT, 84119",407,40.696966,-111.973979
3334,"15 N STATE, OREM, UT, 84057-5507",430,40.297427,-111.695629
3411,"810 N MAIN ST, LOGAN, UT, 84321",442,41.746779,-111.83379
4010,"3289 E VALLEY ST, SALT LAKE CITY, UT, 84109-4217",407,40.700272,-111.800222
4037,"17 E 3300 SOUTH ST, SALT LAKE CITY, UT, 84115",417,40.700124,-111.889949
4120,"1026 W 200 N, CEDAR CITY, UT, 84720-2306",431,37.681128,-113.076528
4419,"1780 W 7800 S, WEST JORDAN, UT, 84084",403,40.609897,-111.940653
5065,"425 W 7200 S, MIDVALE, UT, 84047-1040",465,40.620234,-111.902142
5231,"406 E STATE, AMERICAN FORK, UT, 84003-2559",425,40.373917,-111.787621
5688,"5400 S 3900 W, KEARNS, UT, 84118",402,40.653412,-111.984314
5861,"1050 W HWY 40, VERNAL, UT, 84079",423,40.453951,-109.546505
5997,"950 E EXPRESSWAY LN, SPANISH FORK, UT, 84660-1300",384,40.120723,-111.638899
6048,"2080 N MAIN, LAYTON, UT, 84041-4942",423,41.091079,-112.00251
6232,"902 S MAIN ST, BRIGHAM CITY, UT, 84302-3162",439,41.492218,-112.016584
6343,"1000 S US HWY 89, RICHFIELD, UT, 84701-3101",424,38.753709,-112.086648
6384,"4217 S REDWOOD RD, TAYLORSVILLE, UT, 84123",400,40.679339,-111.938386
6396,"916 W NORTH TEMPLE, SALT LAKE CITY, UT, 84116-3350",407,40.771879,-111.918543
6408,"945 E 2100 S, SALT LAKE CITY, UT, 84105",402,40.725661,-111.86429
6805,"1655 S REDWOOD RD, SALT LAKE CITY, UT, 84104",401,40.733919,-111.93822
7490,"529 N 700 W, CENTERVILLE, UT, 84014",390,40.923206,-111.889757
7971,"6450 N LANDMARK DR, PARK CITY, UT, 84060-5958",421,40.724913,-111.545325
8209,"NEC 12300 SOUTH 300 EAST, DRAPER, UT, 84020",382,40.52721,-111.881274
10047,"789 MAIN ST, PAYSON, UT, 84651",384,40.052554,-111.732946
10299,"691 N MAIN ST, CLEARFIELD, UT, 84015-3249",417,41.123722,-112.026816
10437,"211 W 1230 N, PROVO, UT, 84604-2546",422,40.250212,-111.662478
10575,"10550 S 1300 E, SANDY, UT, 84070",431,40.559834,-111.85379
10781,"210 W 5TH S, SALT LAKE CITY, UT, 84106",418,40.759083,-111.897341
10803,"1235 S BLUFF, ST. GEORGE, UT, 84770-5249",417,37.08737,-113.5844
11046,"1075 E GENTILE, LAYTON, UT, 84041",418,41.061755,-111.94601
11107,"1225 S UNIVERSITY AVE, PROVO, UT, 84601-5944",391,40.217404,-111.658431
11193,"1155 N HILLFIELD RD, LAYTON, UT, 84041-4845",419,41.076788,-111.974201
11456,"3497 S 5600 W, WEST VALLEY CITY, UT, 84120-1319",407,40.696966,-112.024162
11462,"895 E FORT UNION BLVD, MIDVALE, UT, 84047-1711",433,40.62269,-111.866497
11655,"4452 S 300 WEST, MURRAY, UT, 84107-2632",467,40.675179,-111.900213
11735,"640 S MAIN, MOAB, UT, 84532-2926",438,38.563317,-109.549792
11854,"8727 N HWY 40, LAKE POINT, UT, 84074",402,40.688484,-112.266717
