any,1157,1553,1841,1872,2557,3015,3021,3852,4363,6373,6830,8031,10092,10688,10982,11335,12233,12242,12751,14325,14670,14960,15795,17552,22198,23316,24998,26456
Y,199,249,239,199,259,199,199,249,,249,249,219,199,199,199,199,199,199,249,259,199,199,249,199,239,,199,
Y,259,259,259,259,269,259,259,259,,259,259,259,259,249,259,259,259,259,259,269,259,259,259,259,249,,249,
Y,479,389,399,479,359,479,479,379,,399,399,409,479,429,479,479,479,479,399,359,479,479,399,479,399,,479,
Y,699,699,719,699,669,699,699,699,,699,719,699,699,739,699,699,699,699,699,649,699,699,689,699,689,,699,
Y,699,679,649,699,649,699,699,669,,659,679,689,699,739,699,699,699,699,659,649,699,699,679,699,649,,699,
Y,199,169,169,199,159,199,199,169,,169,169,179,199,199,199,199,199,199,169,159,199,199,169,199,169,,199,
Y,229,299,299,229,249,229,229,329,,299,299,239,229,300,229,229,229,229,299,249,229,229,299,229,299,,239,
Y,549,499,499,549,509,549,549,509,,499,499,589,549,499,549,549,549,549,499,449,549,549,499,549,509,,549,
Y,599,599,599,599,559,599,599,659,,579,599,659,599,569,599,599,599,599,639,549,599,599,629,599,599,,599,
Y,229,229,229,229,239,229,229,269,,269,229,189,229,229,229,229,229,229,229,259,229,229,249,229,229,,239,
Y,219,209,209,219,209,219,219,209,,209,219,189,219,179,219,219,219,219,199,199,219,219,209,219,219,,219,
Y,269,299,279,269,259,269,269,279,,289,279,279,269,269,269,269,269,269,269,259,269,269,289,269,309,,269,
Y,599,519,539,599,499,599,599,519,,519,539,569,599,559,599,599,599,599,539,519,599,599,529,599,499,,599,
Y,189,149,159,189,149,189,189,149,,149,159,159,189,149,189,189,189,189,149,159,189,189,159,189,159,,179,
Y,399,349,349,399,389,399,399,349,,349,349,439,399,399,399,399,399,399,349,379,399,399,349,399,359,,399,
Y,849,779,769,849,819,849,849,779,,759,769,939,849,839,849,849,849,849,759,819,849,849,759,849,769,,849,
Y,269,259,259,269,219,269,269,259,,259,259,269,269,289,269,269,269,269,259,219,269,269,259,269,259,,269,
Y,259,229,239,259,199,259,259,219,,259,259,219,259,199,259,259,259,259,219,209,259,259,239,259,219,,259,
