nsn,address,items_with_price,lat,lon
1157,"1205 WILLISTON RD, SOUTH BURLINGTON, VT, 5403",413,44.467519,-73.17561
1553,"1332 US RTE 302, BARRE, VT, 5641",399,44.227417,-72.551763
1841,"182 SOUTH MAIN ST, RUTLAND, VT, 5701",383,43.595704,-72.969509
1872,"106 PEARL ST, ESSEX JUNCTION, VT, 5452",414,44.494921,-73.122299
2557,"RT 5, DERBY, VT, 5829",431,44.952,-72.159216
3015,"183 SWANTON RD, SAINT ALBANS, VT, 5478",421,44.83765,-73.080765
3021,"1027 PUTNEY RD, BRATTLEBORO, VT, 5301",416,42.882069,-72.557579
3852,"1 CHESTER ROAD, SPRINGFIELD, VT, 5156",397,43.304046,-72.493137
4363,"275 RAILROAD ST ROUTE 5, SAINT JOHNSBURY, VT, 5819",0,44.416619,-72.016477
6373,"195 WOODSTOCK AVE, RUTLAND, VT, 5701",374,43.618313,-72.957384
6830,"280 COURT ST, MIDDLEBURY, VT, 5753",378,44.002359,-73.154379
8031,"RT 11 & 30TH, MANCHESTER, VT, 5255",447,43.17491,-73.054104
10092,"79 HEINEBERG RD, COLCHESTER, VT, 5446",412,44.535276,-73.248101
10688,"RT 22A WASHINGTON STREET, FAIR HAVEN, VT, 5743",437,43.604287,-73.275914
10982,"105 MORRISVILLE PLZ, MORRISVILLE, VT, 5661",412,44.574316,-72.591088
11335,"44 S PARK DR, COLCHESTER, VT, 5446",414,44.50336,-73.18096
12233,"5 HAYDENBERRY DR, MILTON, VT, 5468",413,44.622631,-73.123412
12242,"1125 SHELBURNE RD, SOUTH BURLINGTON, VT, 5403",410,44.437714,-73.210819
12751,"478 S BARRE RD, BARRE, VT, 5641",399,44.173954,-72.506675
14325,"U S RT 5, LYNDONVILLE, VT, 5851",430,44.521148,-72.000233
14670,"45 BESWICK DR, WHITE RIVER JUNCTION, VT, 5001",415,43.646313,-72.335526
14960,"153 FIRST ST, SWANTON, VT, 5488",413,44.922015,-73.110955
15795,"ROUTE 66, RANDOLPH, VT, 5060",381,43.943937,-72.62595
17552,"71 UPPER MAIN ST, ESSEX, VT, 5452",414,44.507308,-73.086612
22198,"112 NORTHSIDE DR, BENNINGTON, VT, 5201",390,42.895475,-73.204756
23316,"155 DORSET ST SOUTH, SOUTH BURLINGTO, VT, 5403",0,44.464895,-73.184211
24998,"41 JAYVIEW DR, ENOSBURG FALLS, VT, 5450",413,44.913104,-72.796838
26456,"228 GROVE ST RTE 7, BRANDON, VT, 5733",0,43.802337,-73.096406
