nsn,address,items_with_price,lat,lon
57,"7614 RICHMOND HWY, ALEXANDRIA, VA, 22306",460,38.75097,-77.083683
123,"6729 ARLINGTON BLVD, FALLS CHURCH, VA, 22042",507,38.868838,-77.176824
200,"10775 LEE HWY, FAIRFAX, VA, 22030",476,38.854789,-77.31566
253,"3510 DUKE ST, ALEXANDRIA, VA, 22304",437,38.808568,-77.09081
445,"4834 LEE HWY, ARLINGTON, VA, 22207",459,38.896324,-77.126247
612,"5520 W BOARD ST, RICHMOND, VA, 23230",489,37.588731,-77.501499
649,"6302 LITTLE RIVER TRPK, ALEXANDRIA, VA, 22312",437,38.819018,-77.144091
847,"121 W GLEBE RD, ALEXANDRIA, VA, 22305",452,38.836902,-77.060752
863,"7600 LITTLE RIVER TRNP, ANNANDALE, VA, 22003",452,38.832968,-77.207788
892,"9001 CENTERVILLE RD, MANASSAS, VA, 20110-5257",474,38.759928,-77.461557
918,"3013 COLUMBIA PIKE, ARLINGTON, VA, 22204",463,38.862649,-77.088562
968,"544 MAPLE AVE W, VIENNA, VA, 22180",459,38.893034,-77.274962
999,"5009 WILSON BLVD, ARLINGTON, VA, 22203",481,38.878457,-77.121484
1146,"335 E MARKET, LEESBURG, VA, 20176",500,39.111182,-77.557488
1220,"2135 WARDS RD, LYNCHBURG, VA, 24502",481,37.372484,-79.184735
1222,"13707 JEFFERSON DAVIS HWY, WOODBRIDGE, VA, 22191",0,38.654505,-77.252067
1235,"6 VALLEY AVE, WINCHESTER, VA, 22601",445,39.176563,-78.169421
1239,"8060 W BROAD ST, RICHMOND, VA, 23294",511,37.627642,-77.532454
1255,"348 OLD RIVERSIDE DR, DANVILLE, VA, 24541",470,36.587622,-79.42297
1384,"3212 WESTERN BRANCH BLVD, CHESAPEAKE, VA, 23321",450,36.86417,-76.405036
1416,"4608 HAYGOOD RD, VIRGINIA BEACH, VA, 23455",448,36.875525,-76.13546
1417,"5761 E VIRGINIA BEACH BLVD, NORFOLK, VA, 23502",542,36.85503,-76.20709
1459,"3309 OAKLAWN BLVD, HOPEWELL, VA, 23860",450,37.278348,-77.309302
1466,"6680 INDIAN RIVER RD, VIRGINIA BEACH, VA, 23462",445,36.820205,-76.222769
1471,"9635 DUFFYS LN, NORFOLK, VA, 23503",457,36.953535,-76.252378
1552,"8735 RICHMOND HWY, ALEXANDRIA, VA, 22309",458,38.719945,-77.124781
1575,"821 HULL ST, RICHMOND, VA, 23224",0,37.52289,-77.441626
1576,"2011 CHAMBERLAYNE AVE, RICHMOND, VA, 23222",458,37.562119,-77.442624
1577,"5106 NINE MILE RD, RICHMOND, VA, 23223",457,37.546952,-77.364046
1614,"30 W MERCURY BLVD, HAMPTON, VA, 23669",0,37.044103,-76.350451
1629,"6808 MIDLOTHIAN TRNPKE, RICHMOND, VA, 23225",473,37.502716,-77.52053
1630,"1212 JEFFERSON DAVIS HWY, FREDERICKSBURG, VA, 22401",450,38.305161,-77.479876
1631,"351 BROADVIEW AVE, WARRENTON, VA, 20186",446,38.726315,-77.803167
1632,"941 EMMETT ST, CHARLOTTESVILLE, VA, 22902",443,38.048547,-78.50438
1638,"3195 OLD LEE HWY, FAIRFAX, VA, 22030",448,38.86375,-77.275367
1750,"417 DENBIGH BLVD, NEWPORT NEWS, VA, 23602",452,37.130182,-76.535835
1796,"1131 W MERCURY BLVD, HAMPTON, VA, 23666",490,37.041402,-76.387288
1799,"3009 GALLOWS RD, FALLS CHURCH, VA, 22042",403,38.869057,-77.226756
1831,"5600 FRANCONIA RD, ALEXANDRIA, VA, 22310",433,38.784419,-77.131528
1892,"4803 LEESBURG PIKE, ALEXANDRIA, VA, 22302",418,38.843455,-77.112022
1899,"2801 FRANKLIN RD SW, ROANOKE, VA, 24014",524,37.246471,-79.960621
1963,"1501 W MAIN ST, WAYNESBORO, VA, 22980",442,38.073183,-78.902275
1981,"601 N MAIN ST, SUFFOLK, VA, 23434",423,36.738071,-76.58314
1982,"110 JAMES MADISON, CULPEPER, VA, 22701",444,38.480806,-77.992537
