nsn,address,items_with_price,lat,lon
22,"310 31ST AVE SE (W*M #2403), PUYALLUP, WA, 98374",0,47.161263,-122.289459
411,"15620 1ST AVE S, BURIEN, WA, 98148-1209",411,47.462651,-122.33336
435,"2336 25TH AVE S, SEATTLE, WA, 98144-5337",497,47.581633,-122.300053
459,"5400 14TH AVE NW, SEATTLE, WA, 98107-3733",482,47.668354,-122.37307
472,"15210 PACIFIC HWY W, TUKWILA, WA, 98188-2246",436,47.466338,-122.287806
570,"N 6321 MONROE, SPOKANE, WA, 99208",471,47.715911,-117.425689
585,"802 TACOMA AVE S, TACOMA, WA, 98402-2204",396,47.255153,-122.445446
590,"6002 100TH ST SW, TACOMA, WA, 98499",449,47.166382,-122.518366
618,"7217 PACIFIC AVE, TACOMA, WA, 98408-7114",446,47.191662,-122.43364
953,"73 RAINIER AVE S, RENTON, WA, 98057-2005",488,47.484108,-122.217821
1010,"6311 6TH AVE, TACOMA, WA, 98406-2021",396,47.255825,-122.521484
1022,"15201 AURORA AVE N, SHORELINE, WA, 98133-6123",452,47.738646,-122.345756
1364,"6546 CALIFORNIA AVE SW, SEATTLE, WA, 98136-1834",451,47.543301,-122.386888
1365,"1914 KING ST, BELLINGHAM, WA, 98225-4237",412,48.755522,-122.463039
1498,"1401 156TH AVE NE, BELLEVUE, WA, 98004",412,47.622584,-122.132783
1525,"3580 WHEATON WAY, BREMERTON, WA, 98310-3545",418,47.597471,-122.62904
1582,"7010 HWY 99, VANCOUVER, WA, 98665",389,45.673791,-122.663405
1593,"W 517 THIRD AVENUE, SPOKANE, WA, 99204",473,47.653181,-117.420343
1697,"5146 25TH AVE NE, SEATTLE, WA, 98105-4121",468,47.667733,-122.300355
1747,"1305 S 1ST ST, YAKIMA, WA, 98901-3503",472,46.586542,-120.496953
2206,"520 SLEATER KINNEY RD, LACEY, WA, 98503",444,47.044251,-122.833332
2609,"10125 SE 256TH ST, KENT, WA, 98030-6405",476,47.371993,-122.205064
2610,"1024 MISSION ST, WENATCHEE, WA, 98801-1517",400,47.436613,-120.324055
2796,"N 4436 DIVISION STREET, SPOKANE, WA, 99207-1503",472,47.698552,-117.410481
2931,"2130 E ISAACS AVE, WALLA WALLA, WA, 99362-2216",469,46.075631,-118.303047
2934,"1531 AUBURN WAY N, AUBURN, WA, 98002-3307",439,47.321699,-122.221843
2978,"304 2ND ST NE, PUYALLUP, WA, 98372",456,47.193672,-122.292419
3066,"1101 E WISHKAH ST, ABERDEEN, WA, 98520-4222",470,46.97701,-123.80426
3067,"14900 PACIFIC AVE SOUTH, TACOMA, WA, 98444-4657",453,47.121583,-122.435414
3317,"12514 116TH AVE NE, KIRKLAND, WA, 98034-4313",472,47.712568,-122.186172
3412,"2814 NE ANDRESEN RD, VANCOUVER, WA, 98661",388,45.64286,-122.601243
