nsn,address,items_with_price,lat,lon
1461,"2106 5TH AVE, HUNTINGTON, WV, 25703",433,38.42376,-82.420495
2369,"2932 UNIVERSITY AVE, MORGANTOWN, WV, 26505",464,39.650034,-79.96426
2549,"745 W PIKE ST, CLARKSBURG, WV, 26301",453,39.282065,-80.348617
2676,"2508 OHIO AVE, PARKERSBURG, WV, 26101",460,39.283131,-81.548866
2802,"409 LAFAYETTE AVE, MOUNDSVILLE, WV, 26041",442,39.920591,-80.748594
2836,"1301 N QUEEN ST, MARTINSBURG, WV, 25401",0,39.474382,-77.952588
3116,"3 SPRINGS DR, WEIRTON, WV, 26062",449,40.399927,-80.550331
3165,"555 BLUEFIELD AVE, BLUEFIELD, WV, 24701",445,37.266229,-81.231718
3516,"ST ALBANS MALL / RT 60 PO BOX 419, SAINT ALBANS, WV, 25177",449,38.387781,-81.824262
3615,"1000 DIVISION ST, SOUTH PARKERSBURG, WV, 26101",524,39.248744,-81.555593
3645,"910 FAIRMONT, FAIRMONT, WV, 26554",457,39.473058,-80.152586
3648,"732 E WASHINGTON ST, CHARLES TOWN, WV, 25414",455,39.291874,-77.850555
3669,"1805 PATRICK STREET PLZ, CHARLESTON, WV, 25312",0,38.369401,-81.667097
3884,"1021 W MAIN ST, BRIDGEPORT, WV, 26330",442,39.280871,-80.272177
4288,"4072 ROBERT C BYRD DR, BECKLEY, WV, 25801",454,37.808358,-81.184847
4290,"1310 STAFFORD DR, PRINCETON, WV, 24740",450,37.360652,-81.101509
4387,"700 S MINERAL ST, KEYSER, WV, 26726",456,39.429674,-78.989643
5167,"751 N MAIN ST, MOOREFIELD, WV, 26836",456,39.076447,-78.96494
5282,"903 GRAND CENTRAL AVE, VIENNA, WV, 26105",495,39.308599,-81.553204
5341,"1000 SPEEDWAY AVE, FAIRMONT, WV, 26554",458,39.477252,-80.120529
5552,"4175 STATE ROUTE 34, HURRICANE, WV, 25526",451,38.453686,-81.936469
5639,"909 FAIRMONT RD, MORGANTOWN, WV, 26501",461,39.63043,-79.984343
5986,"ONA MALL 10 RING ROAD, BARBOURSVILLE, WV, 25504",453,38.421085,-82.262657
6037,"14634 APPLE HARVEST DR, MARTINSBURG, WV, 25401",455,39.44263,-77.987259
6046,"111 S KANAWHA ST, BUCKHANNON, WV, 26201",458,38.985573,-80.225815
6049,"1552 E MAIN ST, OAK HILL, WV, 25901",454,37.991205,-81.132575
6055,"101 NEW STONE RIDGE, RIPLEY, WV, 25271",488,38.820354,-81.724701
6105,"2700 E DUPONT AVE, BELLE, WV, 25015",443,38.204779,-81.50466
6133,"RT 119 HARMEN PLAZA, GRAFTON, WV, 26354",450,39.348017,-80.003041
6495,"176 N STATE RT, NEW MARTINSVILLE, WV, 26155",447,39.665227,-80.858546
6497,"101 MAPLEWOOD AVE, FAIRLEA, WV, 24902",438,37.769398,-80.465485
6954,"RT 19 & 41 PO BOX 399, SUMMERSVILLE, WV, 26651",447,38.309935,-80.834773
7086,"ROUTE 16 LESTER SQUARE, SOPHIA, WV, 25921",453,37.728156,-81.243619
7090,"200 AIRPORT RD, BEAVER, WV, 25813",450,37.749586,-81.133737
7632,"5178 RT 60E, HUNTINGTON, WV, 25705",450,38.413367,-82.343896
7725,"1820 STURGES ST, MORGANTOWN, WV, 26505",460,39.622394,-79.922882
7931,"4108 1ST AVE, NITRO, WV, 25143",449,38.433652,-81.836209
8255,"1511 E MAIN ST, MANNINGTON, WV, 26582",440,39.519298,-80.320844
10021,"715 OAKVALE RD, PRINCETON, WV, 24740",452,37.363095,-81.058614
10059,"446 S RANDOLPH AVE, ELKINS, WV, 26241",450,38.917313,-79.843906
10071,"303 JEFFERSON, SOUTH CHARLESTON, WV, 25309",438,38.358358,-81.716565
10266,"465 W MAIN ST, SPENCER, WV, 25276",495,38.804316,-81.360248
10318,"11 MARKET PL, WESTON, WV, 26452",450,39.01927,-80.420966
10506,"1514 MAIN ST, FOLLANSBEE, WV, 26037",415,40.338626,-80.596482
10608,"1990 SUTTON LN, SUTTON, WV, 26601",467,38.699816,-80.66396
10648,"US HWY 60, SMITHERS, WV, 25186",450,38.181599,-81.3067
10752,"312 HURRICANE CREEK RD, HURRICANE, WV, 25526",449,38.43876,-82.017417
10767,"370 MAIN ST, ROMNEY, WV, 26757",452,39.339444,-78.752011
10779,"1445 HAL GREER BLVD, HUNTINGTON, WV, 25701",448,38.407734,-82.428315
10804,"ROUTE 85, MADISON, WV, 25130",466,38.073996,-81.822686
10995,"20 MAIN AVE, LOGAN, WV, 25601",461,37.849643,-81.9977
11167,"4739 GERRADSTOWN RD, INWOOD, WV, 25428",459,39.362968,-78.045397
11220,"210 3RD ST, SAINT MARYS, WV, 26170",450,39.388416,-81.20614
11256,"105 CROSSINGS MALL, ELKVIEW, WV, 25071",453,38.457007,-81.499174
11429,"SR 10, OCEANA, WV, 24870",451,37.69232,-81.628061
11645,"6414 MACCORKIE AVE, CHARLESTON, WV, 25304",432,38.305319,-81.562835
11658,"US RT 60 - HARTS RUN RD BOX 26, WHITE SULPHUR SPRINGS, WV, 24986",460,37.773015,-80.355424
11715,"56 FRONTAGE RD, MINERALWELLS, WV, 26150",524,39.189197,-81.527662
12038,"2764 WHITE HALL BLVD, WHITE HALL, WV, 26554",457,39.424385,-80.187965
12071,"ROUTE 19, SHINNSTON, WV, 26431",463,39.376901,-80.310428
12143,"28 MORGAN SQUARE, BERKELEY SPRINGS, WV, 25411",453,39.606519,-78.238403
12194,"101 KRUGER, WHEELING, WV, 26003",443,40.0433,-80.657905
12197,"431 CAROLINA AVE, CHESTER, WV, 26034-1129",450,40.613129,-80.563522
12414,"509 WASHINGTON ST, RAVENSWOOD, WV, 26164",491,38.95329,-81.764235
12531,"5448 BIG TYLER RD, CROSS LANES, WV, 25313",449,38.426944,-81.785183
12676,"1067 EAST MAIN ST, MILTON, WV, 25541",446,38.433576,-82.123223
12766,"SR 107 MAIN ST, HINTON, WV, 25951",448,37.656944,-80.887948
13445,"31 MADDEX SQUARE DR, SHEPHERDSTOWN, WV, 25443",453,39.434842,-77.820754
13488,"2535 MOUNTAINEER BLVD, SOUTH CHARLESTON, WV, 25309",464,38.320815,-81.716323
