nsn,address,items_with_price,lat,lon
68,"8056 SHERIDAN RD, KENOSHA, WI, 53142",467,42.55688,-87.825703
77,"2100 LATHROP AVE, RACINE, WI, 53405-4135",412,42.703697,-87.826356
79,"2402 S PARK ST, MADISON, WI, 53713-2008",454,43.039516,-89.394539
91,"1587 SHAWANO AVE, GREEN BAY, WI, 54303-3218",391,44.529799,-88.060829
94,"1443 MADISON RD, BELOIT, WI, 53511-4080",414,42.517168,-89.063455
95,"1622 MILTON AVE, JANESVILLE, WI, 53545-1133",435,42.704061,-89.006395
121,"2307 NORTH AVE, SHEBOYGAN, WI, 53083",427,43.773853,-87.736611
132,"1863 N JACKSON ST, OSHKOSH, WI, 54901-2203",427,44.040673,-88.54334
162,"1513 S HASTINGS WAY, EAU CLAIRE, WI, 54701-4464",392,44.802458,-91.469387
163,"699 S MILITARY RD, FOND DU LAC, WI, 54935-4702",429,43.763684,-88.466201
164,"3512 CALUMET AVE, MANITOWOC, WI, 54220-5430",425,44.083625,-87.691753
165,"3137 S 76TH ST, MILWAUKEE, WI, 53219-3702",465,42.987331,-88.00806
173,"10915 W NATIONAL AVE, WEST ALLIS, WI, 53227",461,42.99282,-88.047909
385,"3037 N DOUGLAS AVE, RACINE, WI, 53402-4177",463,42.756584,-87.799467
492,"2612 W MORGAN AVE, MILWAUKEE, WI, 53221-1442",465,42.981475,-87.947341
643,"3131 N MAYFAIR RD, WAUWATOSA, WI, 53222-3201",474,43.075236,-88.0484
652,"3926 52ND ST, KENOSHA, WI, 53144",492,42.588678,-87.856818
722,"1220 N 35TH ST, MILWAUKEE, WI, 53208-2804",0,43.046339,-87.957229
723,"N83 W15515 APPLETON AVE, MENOMONEE FALLS, WI, 53051-3713",454,43.168534,-88.102964
780,"5344 N PORT WASHINGTON RD, GLENDALE, WI, 53217",445,43.114218,-87.91628
830,"1609 S MAIN ST, GREEN BAY, WI, 54302-2626",399,44.505019,-87.984672
852,"6000 S 108TH ST, HALES CORNERS, WI, 53130-2523",475,42.935458,-88.048116
976,"191 W LAYTON AVE, MILWAUKEE, WI, 53207-5916",405,42.958776,-87.913243
1021,"4905 MONONA DR, MONONA, WI, 53716",454,43.06676,-89.32652
1163,"300 N MOORLAND RD, BROOKFIELD, WI, 53005-6037",447,43.033958,-88.106159
1208,"2715 S CHICAGO AVE, SOUTH MILWAUKEE, WI, 53172-3129",404,42.903619,-87.865267
1267,"2700 W CAPITAL DR, MILWAUKEE, WI, 53216-2641",450,43.0902,-87.947511
1546,"5739 W SILVER SPRING DR, MILWAUKEE, WI, 53218",439,43.119007,-87.984808
1740,"920 W NORTH AVE, MILWAUKEE, WI, 53205-1329",418,43.060716,-87.923305
1759,"2520 W NATIONAL AVE, MILWAUKEE, WI, 53204-1055",452,43.022506,-87.945379
1935,"6631 W NORTH AVE, WAUWATOSA, WI, 53213-2049",510,43.060596,-87.995602
2079,"1140 W GEORGE ST, LA CROSSE, WI, 54601",395,43.858422,-91.240701
2170,"2425 S BUSINESS DR, SHEBOYGAN, WI, 53081-6134",428,43.728326,-87.732324
2175,"2026 TOWER AVE, SUPERIOR, WI, 54880-2546",481,46.713741,-92.103281
2226,"1425 S WEST AVE, WAUKESHA, WI, 53186-7414",463,42.987432,-88.236748
2256,"2128 8TH ST S, WISCONSIN RAPIDS, WI, 54494-6153",406,44.375922,-89.817808
2317,"4687 VERONA DR, MADISON, WI, 53711-2736",462,43.032319,-89.457157
2320,"8100 W BROWN DEER RD, MILWAUKEE, WI, 53223-1704",449,43.178346,-88.011099
2322,"5040 S 76TH ST, GREENFIELD, WI, 53220-4308",425,42.953177,-88.007947
2506,"840 PARK AVE, BEAVER DAM, WI, 53916-2206",460,43.456788,-88.81689
2828,"2340 S ONEIDA ST, GREEN BAY, WI, 54304-5231",391,44.488132,-88.066837
2890,"4502 E WASHINGTON AVE, MADISON, WI, 53704-3234",454,43.128761,-89.308611
2897,"1101 N CENTRAL, MARSHFIELD, WI, 54449-1504",402,44.677373,-90.165611
2976,"1200 WISCONSIN DELLS PKWY S, BARABOO, WI, 53913",394,43.574759,-89.779485
3001,"7170 N TEUTONIA, MILWAUKEE, WI, 53209-2320",447,43.147914,-87.955954
3145,"5265 W FOND DU LAC AVE, MILWAUKEE, WI, 53216-1363",450,43.091859,-87.979374
3374,"1069 W MAIN ST, WHITEWATER, WI, 53190-1616",448,42.834554,-88.749592
3578,"625 S CHURCH ST, WATERTOWN, WI, 53094-6298",441,43.187245,-88.729201
3593,"2455 W WISCONSIN AVE, MILWAUKEE, WI, 53233-1827",0,43.038475,-87.944477
3596,"127 N DIVISON ST, STEVENS POINT, WI, 54481-1150",397,44.536115,-89.574303
3741,"1614 E NORTH AVE, MILWAUKEE, WI, 53202-1035",409,43.060327,-87.889795
3744,"2810 LOSEY BLVD S, LA CROSSE, WI, 54601",398,43.782575,-91.219701
3756,"6910 ODANA RD, MADISON, WI, 53719-1018",425,43.057109,-89.501722
3777,"240 E. JEFFERSON STREET, BURLINGTON, WI, 53105-1494",415,42.679334,-88.274389
