nsn,address,items_with_price,lat,lon
226,"2535 E LINCOLNWAY, CHEYENNE, WY, 82001-5449",381,41.138131,-104.786108
3631,"1687 SUNSET DR, ROCK SPRINGS, WY, 82901-7061",426,41.576904,-109.255796
4163,"3000 GRAND AVE, LARAMIE, WY, 82070-5105",396,41.308638,-105.556927
4206,"2590 N MAIN, SHERIDAN, WY, 82801",366,44.82696,-106.959461
4703,"806 CAMEL DR, GILLETTE, WY, 82716-4923",368,44.281376,-105.493291
5701,"5701 N YELLOWSTONE RD, CHEYENNE, WY, 82009-4132",382,41.171527,-104.8293
6139,"2225 E CEDAR, RAWLINS, WY, 82301-6027",400,41.793508,-107.212236
6435,"1110 W BROADWAY, JACKSON, WY, 83001",465,43.47323,-110.786832
6770,"2005 17TH ST, CODY, WY, 82414-4718",434,44.516224,-109.054124
6814,"212 FRONT ST, EVANSTON, WY, 82930-3632",417,41.263188,-110.957046
7107,"599 E 4TH S, GREEN RIVER, WY, 82935-4570",424,41.52122,-109.464569
7608,"1090 W YELLOWSTONE HWY, DOUGLAS, WY, 82633",421,42.76347,-105.401046
7611,"235 MCFARLANE DR, LANDER, WY, 82520-2949",436,42.831908,-108.72392
8067,"40 SE WYOMING BLVD, CASPER, WY, 82609-1937",423,42.852369,-106.271932
12500,"4000 W COLLEGE DR, CHEYENNE, WY, 82007",383,41.10021,-104.853713
12530,"111 N EVARTS ST, POWELL, WY, 82435",424,44.753323,-108.753001
13848,"1666 SNOWY RANGE RD, LARAMIE, WY, 82070",396,41.308706,-105.617967
14293,"611 SHOSHONI ST, THERMOPOLIS, WY, 82443",438,43.638083,-108.212844
17071,"1700 BIG HORN AVE, WORLAND, WY, 82401",437,44.016507,-107.945311
17332,"480 E HART ST (US HWY 16), BUFFALO, WY, 82834",368,44.354579,-106.692067
23556,"1607 ELK ST, ROCK SPRINGS, WY, 82901",423,41.610071,-109.230753
24984,"3410 DELL RANGE RD, CHEYENNE, WY, 82009",379,41.160577,-104.767768
31034,"2032 DELL RANGE BLVD (W*M #1315), CHEYENNE, WY, 82009",0,41.161289,-104.791261
32780,"4010 PLAZA DRIVE, CASPER, WY, 82604",423,42.818398,-106.368242
32975,"2146 COFFEEN AVENUE, SHERIDAN, WY, 82801",366,44.773823,-106.942817
33658,"800 EAST VALLEY HIGHWAY, TORRINGTON, WY, 82240",411,42.059087,-104.174337
35345,"813 N FEDERAL BLVD, RIVERTON, WY, 82501",438,43.032402,-108.380595
